Sub_Directory,Description_Type,Judge_1_Score,Judge_2_Score,Judge_3_Score,LLM_Average_Score,LLM_Consensus,ST_Similarity_Score,Score_Difference,Agreement,LLM_Success,ST_Success,Both_Success,Neither_Success
p00003,Description_Simple,1.0,1.0,1.0,1.0,True,0.6165826320648193,0.38341736793518066,True,True,True,True,False
p02264,Description_Simple,1.0,1.0,1.0,1.0,True,0.7332483530044556,0.26675164699554443,True,True,True,True,False
p00006,Description_Simple,0.9,0.9,0.9,0.9,True,0.46215400099754333,0.4378459990024567,False,True,False,False,False
p00002,Description_Simple,1.0,1.0,1.0,1.0,True,0.4543612003326416,0.5456387996673584,False,True,False,False,False
p00001,Description_Simple,1.0,1.0,1.0,1.0,True,0.37875378131866455,0.6212462186813354,False,True,False,False,False
p00007,Description_Simple,1.0,1.0,1.0,1.0,True,0.3674398958683014,0.6325601041316986,False,True,False,False,False
p02255,Description_Simple,1.0,1.0,1.0,1.0,True,0.5919283032417297,0.40807169675827026,True,True,True,True,False
p02258,Description_Simple,1.0,1.0,1.0,1.0,True,0.6155145764350891,0.3844854235649109,True,True,True,True,False
p00005,Description_Simple,1.0,1.0,1.0,1.0,True,0.6803509593009949,0.3196490406990051,True,True,True,True,False
p02260,Description_Simple,1.0,1.0,1.0,1.0,True,0.7167768478393555,0.28322315216064453,True,True,True,True,False
p02256,Description_Simple,0.8,0.8,0.8,0.8,True,0.6557289361953735,0.1442710638046265,True,True,True,True,False
p02263,Description_Simple,1.0,1.0,1.0,1.0,True,0.7285398840904236,0.2714601159095764,True,True,True,True,False
p02268,Description_Simple,1.0,1.0,1.0,1.0,True,0.40977609157562256,0.5902239084243774,False,True,False,False,False
p02259,Description_Simple,1.0,1.0,1.0,1.0,True,0.8299623727798462,0.1700376272201538,True,True,True,True,False
p02257,Description_Simple,0.9,0.9,0.9,0.9,True,0.6487655639648438,0.25123443603515627,True,True,True,True,False
p00011,Description_Simple,0.2,0.2,0.2,0.2,False,0.38522717356681824,0.18522717356681823,True,False,False,False,True
p02388,Description_Simple,1.0,1.0,1.0,1.0,True,0.4357110261917114,0.5642889738082886,False,True,False,False,False
p02389,Description_Simple,0.2,0.2,0.2,0.2,False,0.17916476726531982,0.020835232734680187,True,False,False,False,True
p02381,Description_Simple,0.4,0.4,0.4,0.4,False,0.5183523893356323,0.1183523893356323,False,False,True,False,False
p02392,Description_Simple,0.9,0.9,0.9,0.9,True,0.6842780113220215,0.21572198867797854,True,True,True,True,False
p02393,Description_Simple,1.0,1.0,1.0,1.0,True,0.6096132397651672,0.39038676023483276,True,True,True,True,False
p02390,Description_Simple,0.5,0.5,0.5,0.5,True,0.4602415859699249,0.03975841403007507,False,True,False,False,False
p02394,Description_Simple,1.0,1.0,1.0,1.0,True,0.6313778162002563,0.36862218379974365,True,True,True,True,False
p02399,Description_Simple,1.0,1.0,1.0,1.0,True,0.5110580921173096,0.48894190788269043,True,True,True,True,False
p02402,Description_Simple,1.0,1.0,1.0,1.0,True,0.4420884847640991,0.5579115152359009,False,True,False,False,False
p02396,Description_Simple,0.9,0.9,0.9,0.9,True,0.35899069905281067,0.5410093009471894,False,True,False,False,False
p02400,Description_Simple,1.0,1.0,1.0,1.0,True,0.7110065817832947,0.2889934182167053,True,True,True,True,False
p02397,Description_Simple,0.8,0.8,0.8,0.8,True,0.4898384213447571,0.31016157865524296,False,True,False,False,False
p02403,Description_Simple,1.0,1.0,1.0,1.0,True,0.5350487232208252,0.4649512767791748,True,True,True,True,False
p02398,Description_Simple,0.8,0.8,0.8,0.8,True,0.7257218956947327,0.07427810430526738,True,True,True,True,False
p02404,Description_Simple,0.9,0.9,0.9,0.9,True,0.38409897685050964,0.5159010231494904,False,True,False,False,False
p02401,Description_Simple,1.0,1.0,1.0,1.0,True,0.4307638704776764,0.5692361295223236,False,True,False,False,False
p02407,Description_Simple,1.0,1.0,1.0,1.0,True,0.7350733280181885,0.2649266719818115,True,True,True,True,False
p02405,Description_Simple,1.0,1.0,1.0,1.0,True,0.3755972981452942,0.6244027018547058,False,True,False,False,False
p02411,Description_Simple,0.6,0.6,0.6,0.6,True,0.5904610753059387,0.009538924694061257,True,True,True,True,False
p02409,Description_Simple,1.0,1.0,1.0,1.0,True,0.48009708523750305,0.519902914762497,False,True,False,False,False
p02410,Description_Simple,1.0,1.0,1.0,1.0,True,0.3775533437728882,0.6224466562271118,False,True,False,False,False
p02413,Description_Simple,1.0,1.0,1.0,1.0,True,0.5029765367507935,0.49702346324920654,True,True,True,True,False
p02408,Description_Simple,1.0,1.0,1.0,1.0,True,0.597480833530426,0.402519166469574,True,True,True,True,False
p02412,Description_Simple,1.0,1.0,1.0,1.0,True,0.5855302214622498,0.41446977853775024,True,True,True,True,False
p02414,Description_Simple,1.0,1.0,1.0,1.0,True,0.5964913368225098,0.40350866317749023,True,True,True,True,False
p02406,Description_Simple,1.0,1.0,1.0,1.0,True,0.1974467933177948,0.8025532066822052,False,True,False,False,False
p02415,Description_Simple,1.0,1.0,1.0,1.0,True,0.6634199023246765,0.3365800976753235,True,True,True,True,False
p02419,Description_Simple,1.0,1.0,1.0,1.0,True,0.5893648862838745,0.4106351137161255,True,True,True,True,False
p02418,Description_Simple,1.0,1.0,1.0,1.0,True,0.5330039858818054,0.4669960141181946,True,True,True,True,False
p02420,Description_Simple,1.0,1.0,1.0,1.0,True,0.35215383768081665,0.6478461623191833,False,True,False,False,False
p02416,Description_Simple,1.0,1.0,1.0,1.0,True,0.6446101665496826,0.3553898334503174,True,True,True,True,False
p02417,Description_Simple,1.0,1.0,1.0,1.0,True,0.6602559089660645,0.33974409103393555,True,True,True,True,False
p02547,Description_Simple,1.0,1.0,1.0,1.0,True,0.2524958848953247,0.7475041151046753,False,True,False,False,False
p02552,Description_Simple,0.1,0.1,0.1,0.1,False,0.22546733915805817,0.12546733915805816,True,False,False,False,True
p02553,Description_Simple,0.9,0.9,0.9,0.9,True,0.6796079277992249,0.22039207220077517,True,True,True,True,False
p02570,Description_Simple,1.0,1.0,1.0,1.0,True,0.1655428409576416,0.8344571590423584,False,True,False,False,False
p02576,Description_Simple,1.0,1.0,1.0,1.0,True,0.14941337704658508,0.8505866229534149,False,True,False,False,False
p02421,Description_Simple,1.0,1.0,1.0,1.0,True,0.45608848333358765,0.5439115166664124,False,True,False,False,False
p02612,Description_Simple,0.0,0.0,0.0,0.0,False,0.04771510884165764,0.04771510884165764,True,False,False,False,True
