dataset,model_key,model,source,is_completed,s_enc,s_dead,level_tau045,level_tau050,level_tau055,stable_across_tau,near_threshold_tau050,dist_s_enc_to_050
java250,glm5,GLM-5,direct,false,0.780240,0.852600,Semantic,Semantic,Semantic,yes,no,+0.2802
java250,gemini,Gemini-3-preview,direct,false,0.777480,0.831300,Semantic,Semantic,Semantic,yes,no,+0.2775
java250,kimi_k25,Kimi-K2.7,direct,false,0.775000,0.872750,Semantic,Semantic,Semantic,yes,no,+0.2750
java250,o4mini,O4-mini,direct,false,0.741360,0.852850,Semantic,Semantic,Semantic,yes,no,+0.2414
java250,qwen37_plus,Qwen3.7-plus,direct,false,0.736760,0.838150,Semantic,Semantic,Semantic,yes,no,+0.2368
java250,deepseek_r1,DeepSeek-R1,direct,false,0.727000,0.859500,Semantic,Semantic,Semantic,yes,no,+0.2270
java250,claude_sonnet_5,Claude Sonnet 5,direct,false,0.682180,0.798300,Semantic,Semantic,Semantic,yes,no,+0.1822
java250,gpt5,GPT-5-nano,direct,false,0.677090,0.822200,Semantic,Semantic,Semantic,yes,no,+0.1771
java250,deepseek_v4_pro,DeepSeek-V4-Pro,direct,false,0.664440,0.793700,Semantic,Semantic,Semantic,yes,no,+0.1644
java250,deepseek_v31,DeepSeek-V3.1,direct,false,0.655000,0.823650,Semantic,Semantic,Semantic,yes,no,+0.1550
java250,gpt4o,GPT-4o,direct,false,0.583160,0.791500,Semantic,Semantic,Semantic,yes,no,+0.0832
java250,gpt35,GPT-3.5-turbo,direct,false,0.422600,0.619750,Structural,Structural,Structural,yes,no,-0.0774
java250,llama70b,Llama-70B,direct,false,0.418600,0.598750,Structural,Structural,Structural,yes,no,-0.0814
java250,qwencoder32b,Qwen2.5-Coder-32B,direct,false,0.409360,0.621750,Structural,Structural,Structural,yes,no,-0.0906
java250,mistral,Mistral,direct,false,0.372200,0.489150,Structural,Lexical,Lexical,no,s_dead,-0.1278
java906,o4mini,O4-mini,direct,false,0.828521,0.880040,Semantic,Semantic,Semantic,yes,no,+0.3285
java906,kimi_k25,Kimi-K2.7,direct,false,0.828399,0.884108,Semantic,Semantic,Semantic,yes,no,+0.3284
java906,glm5,GLM-5,direct,false,0.827752,0.876885,Semantic,Semantic,Semantic,yes,no,+0.3278
java906,gemini,Gemini-3-preview,direct,false,0.824909,0.862233,Semantic,Semantic,Semantic,yes,no,+0.3249
java906,qwen37_plus,Qwen3.7-plus,direct,false,0.804735,0.835499,Semantic,Semantic,Semantic,yes,no,+0.3047
java906,deepseek_r1,DeepSeek-R1,direct,false,0.784970,0.860290,Semantic,Semantic,Semantic,yes,no,+0.2850
java906,claude_sonnet_5,Claude Sonnet 5,direct,false,0.774741,0.858784,Semantic,Semantic,Semantic,yes,no,+0.2747
java906,gpt5,GPT-5-nano,direct,false,0.757550,0.862919,Semantic,Semantic,Semantic,yes,no,+0.2575
java906,deepseek_v31,DeepSeek-V3.1,direct,false,0.734552,0.822375,Semantic,Semantic,Semantic,yes,no,+0.2346
java906,gpt4o,GPT-4o,direct,false,0.722634,0.793831,Semantic,Semantic,Semantic,yes,no,+0.2226
java906,deepseek_v4_pro,DeepSeek-V4-Pro,direct,false,0.705274,0.778963,Semantic,Semantic,Semantic,yes,no,+0.2053
java906,llama70b,Llama-70B,direct,false,0.702838,0.820785,Semantic,Semantic,Semantic,yes,no,+0.2028
java906,gpt35,GPT-3.5-turbo,direct,false,0.659421,0.789298,Semantic,Semantic,Semantic,yes,no,+0.1594
java906,mistral,Mistral,direct,false,0.658445,0.785890,Semantic,Semantic,Semantic,yes,no,+0.1584
java906,qwencoder32b,Qwen2.5-Coder-32B,direct,false,0.626598,0.757562,Semantic,Semantic,Semantic,yes,no,+0.1266
javascript250,glm5,GLM-5,direct,false,0.843680,0.886700,Semantic,Semantic,Semantic,yes,no,+0.3437
javascript250,kimi_k25,Kimi-K2.7,direct,false,0.833880,0.894300,Semantic,Semantic,Semantic,yes,no,+0.3339
javascript250,o4mini,O4-mini,direct,false,0.816400,0.861850,Semantic,Semantic,Semantic,yes,no,+0.3164
javascript250,qwen37_plus,Qwen3.7-plus,direct,false,0.776918,0.850000,Semantic,Semantic,Semantic,yes,no,+0.2769
javascript250,deepseek_r1,DeepSeek-R1,direct,false,0.774320,0.850900,Semantic,Semantic,Semantic,yes,no,+0.2743
javascript250,claude_sonnet_5,Claude Sonnet 5,direct,false,0.753036,0.819248,Semantic,Semantic,Semantic,yes,no,+0.2530
javascript250,deepseek_v31,DeepSeek-V3.1,direct,false,0.701880,0.763400,Semantic,Semantic,Semantic,yes,no,+0.2019
javascript250,deepseek_v4_pro,DeepSeek-V4-Pro,direct,false,0.688280,0.763450,Semantic,Semantic,Semantic,yes,no,+0.1883
javascript250,gpt5,GPT-5-nano,direct,false,0.624547,0.684800,Semantic,Semantic,Semantic,yes,no,+0.1245
javascript250,gpt4o,GPT-4o,direct,false,0.601997,0.670091,Semantic,Semantic,Semantic,yes,no,+0.1020
javascript250,qwencoder32b,Qwen2.5-Coder-32B,direct,false,0.528840,0.566100,Semantic,Semantic,Structural,no,s_enc,+0.0288
javascript250,mistral,Mistral,direct,false,0.500918,0.642666,Semantic,Semantic,Structural,no,s_enc,+0.0009
javascript250,llama70b,Llama-70B,direct,false,0.393902,0.462448,Structural,Lexical,Lexical,no,s_dead,-0.1061
javascript250,gpt35,GPT-3.5-turbo,direct,false,0.370960,0.493900,Structural,Lexical,Lexical,no,s_dead,-0.1290
javascript250,gemini,Gemini-3-preview,direct,false,0.362000,0.341500,Lexical,Lexical,Lexical,yes,no,-0.1380
javascript454,glm5,GLM-5,direct,false,0.813371,0.879736,Semantic,Semantic,Semantic,yes,no,+0.3134
javascript454,qwen37_plus,Qwen3.7-plus,direct,false,0.798652,0.863822,Semantic,Semantic,Semantic,yes,no,+0.2987
javascript454,kimi_k25,Kimi-K2.7,direct,false,0.791236,0.868502,Semantic,Semantic,Semantic,yes,no,+0.2912
javascript454,deepseek_v4_pro,DeepSeek-V4-Pro,direct,false,0.746742,0.785518,Semantic,Semantic,Semantic,yes,no,+0.2467
javascript454,deepseek_r1,DeepSeek-R1,direct,false,0.734045,0.817704,Semantic,Semantic,Semantic,yes,no,+0.2340
javascript454,deepseek_v31,DeepSeek-V3.1,direct,false,0.722697,0.800870,Semantic,Semantic,Semantic,yes,no,+0.2227
javascript454,o4mini,O4-mini,direct,false,0.711461,0.851680,Semantic,Semantic,Semantic,yes,no,+0.2115
javascript454,claude_sonnet_5,Claude Sonnet 5,direct,false,0.672135,0.835187,Semantic,Semantic,Semantic,yes,no,+0.1721
javascript454,gpt4o,GPT-4o,direct,false,0.597191,0.786096,Semantic,Semantic,Semantic,yes,no,+0.0972
javascript454,qwencoder32b,Qwen2.5-Coder-32B,direct,false,0.530000,0.670787,Semantic,Semantic,Structural,no,s_enc,+0.0300
javascript454,mistral,Mistral,direct,false,0.449663,0.719108,Structural,Structural,Structural,yes,no,-0.0503
javascript454,gpt5,GPT-5-nano,direct,false,0.428989,0.765529,Structural,Structural,Structural,yes,no,-0.0710
javascript454,gpt35,GPT-3.5-turbo,direct,false,0.411910,0.731382,Structural,Structural,Structural,yes,no,-0.0881
javascript454,llama70b,Llama-70B,direct,false,0.277528,0.592291,Structural,Structural,Structural,yes,no,-0.2225
javascript454,gemini,Gemini-3-preview,direct,false,0.393708,0.359170,Lexical,Lexical,Lexical,yes,no,-0.1063
