,DeepseekV3.1,GPT3.5,GPT4o,Gemini,LlamaVL,O4-mini,Qwen3VL,codellama,deepseek-r1,mistral,qwencoder32B,starchat,starcoder,Llama70B
DeepseekV3.1,99.2,99.2,99.6,100.0,99.2,100.0,99.18032786885246,99.19678714859438,100.0,99.6,100.0,99.2,99.2,99.2
GPT3.5,99.2,78.0,98.4,100.0,78.0,99.2,86.88524590163934,78.714859437751,100.0,92.80000000000001,97.98387096774194,83.6,78.4,88.8
GPT4o,99.6,98.4,97.2,100.0,97.2,100.0,98.77049180327869,97.18875502008032,100.0,99.2,99.59677419354838,98.0,97.2,99.2
Gemini,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
LlamaVL,99.2,78.0,97.2,100.0,0.8,98.8,42.21311475409836,4.819277108433735,100.0,78.8,97.17741935483872,36.8,2.4,72.0
O4-mini,100.0,99.2,100.0,100.0,98.8,98.8,99.18032786885246,98.79518072289156,100.0,99.6,99.59677419354838,99.2,98.8,99.2
Qwen3VL,99.18032786885246,86.88524590163934,98.77049180327869,100.0,42.21311475409836,99.18032786885246,42.21311475409836,43.62139917695473,100.0,84.8360655737705,97.93388429752066,61.065573770491795,43.44262295081967,81.9672131147541
codellama,99.19678714859438,78.714859437751,97.18875502008032,100.0,4.819277108433735,98.79518072289156,43.62139917695473,4.417670682730924,100.0,78.714859437751,97.16599190283401,38.95582329317269,6.024096385542169,72.69076305220884
deepseek-r1,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
mistral,99.6,92.80000000000001,99.2,100.0,78.8,99.6,84.8360655737705,78.714859437751,100.0,78.4,98.38709677419355,87.2,78.8,92.80000000000001
qwencoder32B,100.0,97.98387096774194,99.59677419354838,100.0,97.17741935483872,99.59677419354838,97.93388429752066,97.16599190283401,100.0,98.38709677419355,97.17741935483872,97.98387096774194,97.58064516129032,98.38709677419355
starchat,99.2,83.6,98.0,100.0,36.8,99.2,61.065573770491795,38.95582329317269,100.0,87.2,97.98387096774194,36.8,38.4,80.4
starcoder,99.2,78.4,97.2,100.0,2.4,98.8,43.44262295081967,6.024096385542169,100.0,78.8,97.58064516129032,38.4,1.6,72.0
Llama70B,99.2,88.8,99.2,100.0,72.0,99.2,81.9672131147541,72.69076305220884,100.0,92.80000000000001,98.38709677419355,80.4,72.0,72.0
