Sub_Directory,Description_Type,Judge_1_Score,Judge_2_Score,Judge_3_Score,LLM_Average_Score,LLM_Consensus,ST_Similarity_Score,Score_Difference,Agreement,LLM_Success,ST_Success,Both_Success,Neither_Success
mbpp_0635,Description_Simple,1.0,1.0,1.0,1.0,True,0.619202733039856,0.38079726696014404,True,True,True,True,False
mbpp_0031,Description_Simple,1.0,1.0,1.0,1.0,True,0.674544095993042,0.325455904006958,True,True,True,True,False
mbpp_0408,Description_Simple,0.4,0.4,0.4,0.4,False,0.46808600425720215,0.06808600425720213,True,False,False,False,True
mbpp_0342,Description_Simple,1.0,1.0,1.0,1.0,True,0.5685058832168579,0.4314941167831421,True,True,True,True,False
mbpp_0159,Description_Simple,0.2,0.2,0.2,0.2,False,0.6090524792671204,0.40905247926712035,False,False,True,False,False
mbpp_0771,Description_Simple,1.0,1.0,1.0,1.0,True,0.41975292563438416,0.5802470743656158,False,True,False,False,False
mbpp_0843,Description_Simple,1.0,1.0,1.0,1.0,True,0.6557668447494507,0.3442331552505493,True,True,True,True,False
mbpp_0323,Description_Simple,0.9,0.9,0.9,0.9,True,0.7268798351287842,0.17312016487121584,True,True,True,True,False
mbpp_0189,Description_Simple,1.0,1.0,1.0,1.0,True,0.5875115990638733,0.4124884009361267,True,True,True,True,False
mbpp_0039,Description_Simple,0.9,0.9,0.9,0.9,True,0.6011586785316467,0.2988413214683533,True,True,True,True,False
mbpp_0245,Description_Simple,1.0,1.0,1.0,1.0,True,0.6074110269546509,0.3925889730453491,True,True,True,True,False
mbpp_0004,Description_Simple,0.9,0.9,0.9,0.9,True,0.6446747183799744,0.25532528162002566,True,True,True,True,False
mbpp_0496,Description_Simple,1.0,1.0,1.0,1.0,True,0.49664306640625,0.50335693359375,False,True,False,False,False
mbpp_0522,Description_Simple,1.0,1.0,1.0,1.0,True,0.7941478490829468,0.20585215091705322,True,True,True,True,False
mbpp_0069,Description_Simple,1.0,1.0,1.0,1.0,True,0.6273831129074097,0.37261688709259033,True,True,True,True,False
mbpp_0822,Description_Simple,0.4,0.4,0.4,0.4,False,0.6081257462501526,0.20812574625015257,False,False,True,False,False
mbpp_0209,Description_Simple,0.9,0.9,0.9,0.9,True,0.6203224658966064,0.2796775341033936,True,True,True,True,False
mbpp_0123,Description_Simple,1.0,1.0,1.0,1.0,True,0.6584043502807617,0.3415956497192383,True,True,True,True,False
