Sub_Directory,Description_Type,Judge_1_Score,Judge_2_Score,Judge_3_Score,LLM_Average_Score,LLM_Consensus,ST_Similarity_Score,Score_Difference,Agreement,LLM_Success,ST_Success,Both_Success,Neither_Success
mbpp_0159,Description_Simple,0.9,0.9,0.9,0.9,True,0.6708007454872131,0.2291992545127869,True,True,True,True,False
mbpp_0771,Description_Simple,1.0,1.0,1.0,1.0,True,0.5126811861991882,0.48731881380081177,True,True,True,True,False
mbpp_0189,Description_Simple,1.0,1.0,1.0,1.0,True,0.7048254609107971,0.2951745390892029,True,True,True,True,False
mbpp_0323,Description_Simple,0.1,0.1,0.1,0.1,False,0.5802294611930847,0.48022946119308474,False,False,True,False,False
mbpp_0776,Description_Simple,0.0,0.0,0.0,0.0,False,0.6487869620323181,0.6487869620323181,False,False,True,False,False
mbpp_0522,Description_Simple,0.9,0.9,0.9,0.9,True,0.8122884035110474,0.08771159648895266,True,True,True,True,False
mbpp_0039,Description_Simple,0.8,0.8,0.8,0.8,True,0.5750425457954407,0.22495745420455937,True,True,True,True,False
mbpp_0245,Description_Simple,1.0,1.0,1.0,1.0,True,0.55119788646698,0.44880211353302,True,True,True,True,False
mbpp_0515,Description_Simple,1.0,1.0,1.0,1.0,True,0.6841729879379272,0.31582701206207275,True,True,True,True,False
mbpp_0223,Description_Simple,0.9,0.9,0.9,0.9,True,0.7319102883338928,0.1680897116661072,True,True,True,True,False
mbpp_0069,Description_Simple,1.0,1.0,1.0,1.0,True,0.6127169728279114,0.3872830271720886,True,True,True,True,False
mbpp_0123,Description_Simple,1.0,1.0,1.0,1.0,True,0.6264090538024902,0.37359094619750977,True,True,True,True,False
mbpp_0423,Description_Simple,0.2,0.2,0.2,0.2,False,0.6016261577606201,0.4016261577606201,False,False,True,False,False
mbpp_0838,Description_Simple,0.6,0.6,0.6,0.6,True,0.7379460334777832,0.13794603347778323,True,True,True,True,False
mbpp_0408,Description_Simple,0.4,0.4,0.4,0.4,False,0.5176519751548767,0.11765197515487669,False,False,True,False,False
mbpp_0747,Description_Simple,1.0,1.0,1.0,1.0,True,0.7612560987472534,0.23874390125274658,True,True,True,True,False
mbpp_0628,Description_Simple,1.0,1.0,1.0,1.0,True,0.5206718444824219,0.4793281555175781,True,True,True,True,False
mbpp_0940,Description_Simple,1.0,1.0,1.0,1.0,True,0.6933658719062805,0.3066341280937195,True,True,True,True,False
mbpp_0387,Description_Simple,1.0,1.0,1.0,1.0,True,0.727799654006958,0.272200345993042,True,True,True,True,False
mbpp_0315,Description_Simple,0.2,0.2,0.2,0.2,False,0.7758884429931641,0.5758884429931641,False,False,True,False,False
mbpp_0516,Description_Simple,1.0,1.0,1.0,1.0,True,0.6443928480148315,0.35560715198516846,True,True,True,True,False
mbpp_0834,Description_Simple,0.2,0.2,0.2,0.2,False,0.7770191431045532,0.5770191431045533,False,False,True,False,False
mbpp_0152,Description_Simple,1.0,1.0,1.0,1.0,True,0.6852377653121948,0.3147622346878052,True,True,True,True,False
mbpp_0901,Description_Simple,0.2,0.2,0.2,0.2,False,0.6118894815444946,0.4118894815444946,False,False,True,False,False
mbpp_0501,Description_Simple,0.4,0.4,0.4,0.4,False,0.6469990015029907,0.2469990015029907,False,False,True,False,False
mbpp_0938,Description_Simple,1.0,1.0,1.0,1.0,True,0.6859683394432068,0.3140316605567932,True,True,True,True,False
mbpp_0898,Description_Simple,0.2,0.2,0.2,0.2,False,0.5761438608169556,0.37614386081695556,False,False,True,False,False
mbpp_0665,Description_Simple,0.1,0.1,0.1,0.1,False,0.5319175124168396,0.4319175124168396,False,False,True,False,False
mbpp_0149,Description_Simple,1.0,1.0,1.0,1.0,True,0.710571825504303,0.289428174495697,True,True,True,True,False
mbpp_0822,Description_Simple,0.4,0.4,0.4,0.4,False,0.592557430267334,0.19255743026733396,False,False,True,False,False
mbpp_0060,Description_Simple,0.1,0.1,0.1,0.1,False,0.6821025013923645,0.5821025013923645,False,False,True,False,False
mbpp_0548,Description_Simple,1.0,1.0,1.0,1.0,True,0.6704198718070984,0.3295801281929016,True,True,True,True,False
mbpp_0550,Description_Simple,0.6,0.6,0.6,0.6,True,0.5707231760025024,0.029276823997497536,True,True,True,True,False
mbpp_0468,Description_Simple,1.0,1.0,1.0,1.0,True,0.7601675391197205,0.23983246088027954,True,True,True,True,False
mbpp_0523,Description_Simple,0.4,0.4,0.4,0.4,False,0.508125364780426,0.108125364780426,False,False,True,False,False
mbpp_0524,Description_Simple,1.0,1.0,1.0,1.0,True,0.6943573951721191,0.30564260482788086,True,True,True,True,False
mbpp_0926,Description_Simple,0.2,0.2,0.2,0.2,False,0.5134131908416748,0.3134131908416748,False,False,True,False,False
mbpp_0755,Description_Simple,0.7,0.7,0.7,0.7,True,0.599385142326355,0.10061485767364498,True,True,True,True,False
mbpp_0068,Description_Simple,1.0,1.0,1.0,1.0,True,0.7960011959075928,0.20399880409240723,True,True,True,True,False
mbpp_0881,Description_Simple,1.0,1.0,1.0,1.0,True,0.5532063841819763,0.4467936158180237,True,True,True,True,False
mbpp_0907,Description_Simple,0.6,0.6,0.6,0.6,True,0.8054704666137695,0.20547046661376955,True,True,True,True,False
mbpp_0866,Description_Simple,1.0,1.0,1.0,1.0,True,0.7778116464614868,0.22218835353851318,True,True,True,True,False
mbpp_0455,Description_Simple,1.0,1.0,1.0,1.0,True,0.7295640707015991,0.2704359292984009,True,True,True,True,False
mbpp_0850,Description_Simple,0.4,0.4,0.4,0.4,False,0.5633598566055298,0.16335985660552976,False,False,True,False,False
mbpp_0031,Description_Simple,1.0,1.0,1.0,1.0,True,0.6269639730453491,0.3730360269546509,True,True,True,True,False
mbpp_0463,Description_Simple,1.0,1.0,1.0,1.0,True,0.7554219961166382,0.24457800388336182,True,True,True,True,False
mbpp_0453,Description_Simple,0.1,0.1,0.1,0.1,False,0.7105985879898071,0.6105985879898072,False,False,True,False,False
mbpp_0074,Description_Simple,0.7,0.7,0.7,0.7,True,0.5382061004638672,0.16179389953613277,True,True,True,True,False
mbpp_0854,Description_Simple,1.0,1.0,1.0,1.0,True,0.5343877673149109,0.4656122326850891,True,True,True,True,False
mbpp_0469,Description_Simple,1.0,1.0,1.0,1.0,True,0.7484673261642456,0.2515326738357544,True,True,True,True,False
mbpp_0129,Description_Simple,0.1,0.1,0.1,0.1,False,0.6713731288909912,0.5713731288909912,False,False,True,False,False
mbpp_0113,Description_Simple,1.0,1.0,1.0,1.0,True,0.6561899185180664,0.3438100814819336,True,True,True,True,False
mbpp_0247,Description_Simple,0.9,0.9,0.9,0.9,True,0.7433672547340393,0.15663274526596072,True,True,True,True,False
mbpp_0382,Description_Simple,1.0,1.0,1.0,1.0,True,0.6715205311775208,0.32847946882247925,True,True,True,True,False
mbpp_0306,Description_Simple,0.2,0.2,0.2,0.2,False,0.5958598256111145,0.3958598256111145,False,False,True,False,False
mbpp_0639,Description_Simple,0.4,0.4,0.4,0.4,False,0.5493796467781067,0.14937964677810667,False,False,True,False,False
mbpp_0689,Description_Simple,1.0,1.0,1.0,1.0,True,0.7890508770942688,0.2109491229057312,True,True,True,True,False
mbpp_0239,Description_Simple,1.0,1.0,1.0,1.0,True,0.5235458016395569,0.4764541983604431,True,True,True,True,False
mbpp_0466,Description_Simple,1.0,1.0,1.0,1.0,True,0.7025344967842102,0.2974655032157898,True,True,True,True,False
mbpp_0107,Description_Simple,0.1,0.1,0.1,0.1,False,0.7268322706222534,0.6268322706222534,False,False,True,False,False
mbpp_0885,Description_Simple,0.4,0.4,0.4,0.4,False,0.7628339529037476,0.36283395290374754,False,False,True,False,False
mbpp_0826,Description_Simple,0.4,0.4,0.4,0.4,False,0.714758038520813,0.31475803852081297,False,False,True,False,False
mbpp_0121,Description_Simple,0.9,0.9,0.9,0.9,True,0.5646183490753174,0.33538165092468264,True,True,True,True,False
mbpp_0108,Description_Simple,0.6,0.6,0.6,0.6,True,0.5494672656059265,0.050532734394073464,True,True,True,True,False
mbpp_0570,Description_Simple,0.4,0.4,0.4,0.4,False,0.6499456763267517,0.2499456763267517,False,False,True,False,False
mbpp_0231,Description_Simple,0.4,0.4,0.4,0.4,False,0.7028977870941162,0.3028977870941162,False,False,True,False,False
