Sub_Directory,Description_Type,Judge_1_Score,Judge_2_Score,Judge_3_Score,LLM_Average_Score,LLM_Consensus,ST_Similarity_Score,Score_Difference,Agreement,LLM_Success,ST_Success,Both_Success,Neither_Success
mbpp_0031,Description_Simple,0.8,0.8,0.8,0.8,True,0.6789557933807373,0.12104420661926274,True,True,True,True,False
mbpp_0635,Description_Simple,0.9,0.9,0.9,0.9,True,0.5473341941833496,0.3526658058166504,True,True,True,True,False
mbpp_0342,Description_Simple,1.0,1.0,1.0,1.0,True,0.4982730746269226,0.5017269253730774,False,True,False,False,False
mbpp_0408,Description_Simple,0.4,0.4,0.4,0.4,False,0.493729829788208,0.09372982978820799,True,False,False,False,True
mbpp_0771,Description_Simple,0.9,0.9,0.9,0.9,True,0.3091461956501007,0.5908538043498993,False,True,False,False,False
mbpp_0323,Description_Simple,0.6,0.6,0.6,0.6,True,0.7413519620895386,0.1413519620895386,True,True,True,True,False
mbpp_0159,Description_Simple,1.0,1.0,1.0,1.0,True,0.7735114693641663,0.22648853063583374,True,True,True,True,False
mbpp_0843,Description_Simple,1.0,1.0,1.0,1.0,True,0.5906820297241211,0.4093179702758789,True,True,True,True,False
mbpp_0004,Description_Simple,0.6,0.6,0.6,0.6,True,0.6690706014633179,0.0690706014633179,True,True,True,True,False
mbpp_0245,Description_Simple,0.0,0.0,0.0,0.0,False,0.5543538928031921,0.5543538928031921,False,False,True,False,False
mbpp_0189,Description_Simple,1.0,1.0,1.0,1.0,True,0.6837828159332275,0.31621718406677246,True,True,True,True,False
mbpp_0039,Description_Simple,0.6,0.6,0.6,0.6,True,0.6614945530891418,0.06149455308914187,True,True,True,True,False
mbpp_0069,Description_Simple,1.0,1.0,1.0,1.0,True,0.6499614119529724,0.3500385880470276,True,True,True,True,False
mbpp_0496,Description_Simple,0.9,0.9,0.9,0.9,True,0.7201845049858093,0.1798154950141907,True,True,True,True,False
mbpp_0822,Description_Simple,0.4,0.4,0.4,0.4,False,0.7030184268951416,0.3030184268951416,False,False,True,False,False
mbpp_0522,Description_Simple,1.0,1.0,1.0,1.0,True,0.8221919536590576,0.17780804634094238,True,True,True,True,False
mbpp_0108,Description_Simple,0.5,0.5,0.5,0.5,True,0.489125519990921,0.01087448000907898,False,True,False,False,False
mbpp_0372,Description_Simple,0.9,0.9,0.9,0.9,True,0.7521451711654663,0.1478548288345337,True,True,True,True,False
mbpp_0123,Description_Simple,0.9,0.9,0.9,0.9,True,0.7301101684570312,0.16988983154296877,True,True,True,True,False
mbpp_0209,Description_Simple,0.6,0.6,0.6,0.6,True,0.5988950133323669,0.0011049866676330344,True,True,True,True,False
mbpp_0747,Description_Simple,1.0,1.0,1.0,1.0,True,0.7849555015563965,0.21504449844360352,True,True,True,True,False
mbpp_0223,Description_Simple,0.8,0.8,0.8,0.8,True,0.7480733394622803,0.05192666053771977,True,True,True,True,False
mbpp_0776,Description_Simple,0.4,0.4,0.4,0.4,False,0.7954483032226562,0.39544830322265623,False,False,True,False,False
mbpp_0515,Description_Simple,0.8,0.8,0.8,0.8,True,0.37064647674560547,0.4293535232543946,False,True,False,False,False
mbpp_0423,Description_Simple,0.9,0.9,0.9,0.9,True,0.5652506947517395,0.3347493052482605,True,True,True,True,False
mbpp_0940,Description_Simple,1.0,1.0,1.0,1.0,True,0.7420729994773865,0.2579270005226135,True,True,True,True,False
mbpp_0315,Description_Simple,0.2,0.2,0.2,0.2,False,0.5900539755821228,0.3900539755821228,False,False,True,False,False
mbpp_0838,Description_Simple,1.0,1.0,1.0,1.0,True,0.8164577484130859,0.18354225158691406,True,True,True,True,False
mbpp_0834,Description_Simple,0.4,0.4,0.4,0.4,False,0.7717697620391846,0.37176976203918455,False,False,True,False,False
mbpp_0501,Description_Simple,0.4,0.4,0.4,0.4,False,0.6088323593139648,0.20883235931396482,False,False,True,False,False
mbpp_0938,Description_Simple,1.0,1.0,1.0,1.0,True,0.8548056483268738,0.14519435167312622,True,True,True,True,False
mbpp_0074,Description_Simple,0.3,0.3,0.3,0.3,False,0.553869366645813,0.253869366645813,False,False,True,False,False
mbpp_0550,Description_Simple,0.5,0.5,0.5,0.5,True,0.5743675827980042,0.07436758279800415,True,True,True,True,False
