Sub_Directory,Description_Type,LLM_GPT4.5_Score,LLM_Claude_Score,LLM_Average_Score,LLM_Consensus,ST_Similarity_Score,Score_Difference,Agreement,LLM_Success,ST_Success,Both_Success,Neither_Success
p03086,Description_Fewshot,0.0,0.4,0.2,False,0.5224609375,0.3224609375,False,False,True,False,False
p03086,Description_Reason,0.0,0.0,0.0,False,0.6212781071662903,0.6212781071662903,False,False,True,False,False
p03086,Description_Simple,0.0,0.0,0.0,False,0.5564026236534119,0.5564026236534119,False,False,True,False,False
p03325,Description_Fewshot,0.1,0.4,0.25,False,0.3602244555950165,0.11022445559501648,True,False,False,False,True
p03325,Description_Reason,0.4,0.7,0.55,True,0.27946844696998596,0.2705315530300141,False,True,False,False,False
p03325,Description_Simple,0.9,0.1,0.5,True,0.3458334505558014,0.1541665494441986,False,True,False,False,False
p03493,Description_Fewshot,0.7,0.9,0.8,True,0.48836982250213623,0.3116301774978638,False,True,False,False,False
p03493,Description_Reason,0.4,0.0,0.2,False,0.5018496513366699,0.3018496513366699,False,False,True,False,False
p03493,Description_Simple,0.1,0.1,0.1,False,0.31972643733024597,0.21972643733024597,True,False,False,False,True
p02755,Description_Fewshot,0.0,0.0,0.0,False,0.5223369002342224,0.5223369002342224,False,False,True,False,False
p02755,Description_Reason,0.0,0.0,0.0,False,0.3523005545139313,0.3523005545139313,True,False,False,False,True
p02755,Description_Simple,0.0,0.0,0.0,False,0.4832640588283539,0.4832640588283539,True,False,False,False,True
p02394,Description_Fewshot,0.0,0.0,0.0,False,0.22264167666435242,0.22264167666435242,True,False,False,False,True
p02394,Description_Reason,0.0,0.1,0.05,False,0.20830005407333374,0.15830005407333375,True,False,False,False,True
p02394,Description_Simple,0.1,0.0,0.05,False,0.27598458528518677,0.22598458528518678,True,False,False,False,True
p02945,Description_Fewshot,1.0,1.0,1.0,True,0.6317657232284546,0.3682342767715454,True,True,True,True,False
p02945,Description_Reason,0.1,0.1,0.1,False,0.43357598781585693,0.33357598781585696,True,False,False,False,True
p02945,Description_Simple,0.1,0.4,0.25,False,0.5954500436782837,0.3454500436782837,False,False,True,False,False
p03469,Description_Fewshot,0.1,0.1,0.1,False,0.5257105827331543,0.4257105827331543,False,False,True,False,False
p03469,Description_Reason,0.1,1.0,0.55,True,0.5559177398681641,0.005917739868164018,True,True,True,True,False
p03469,Description_Simple,1.0,0.1,0.55,True,0.4472321569919586,0.10276784300804143,False,True,False,False,False
p02934,Description_Fewshot,0.4,0.1,0.25,False,0.45656445622444153,0.20656445622444153,True,False,False,False,True
p02934,Description_Reason,0.4,0.4,0.4,False,0.23861999809741974,0.16138000190258028,True,False,False,False,True
p02934,Description_Simple,1.0,0.9,0.95,True,0.3021886944770813,0.6478113055229187,False,True,False,False,False
p03448,Description_Fewshot,0.9,0.9,0.9,True,0.6251988410949707,0.2748011589050293,True,True,True,True,False
p03448,Description_Reason,0.1,0.1,0.1,False,0.5826151371002197,0.48261513710021975,False,False,True,False,False
p03448,Description_Simple,0.1,0.9,0.5,True,0.6790143847465515,0.1790143847465515,True,True,True,True,False
p02420,Description_Fewshot,0.1,1.0,0.55,True,0.5207499265670776,0.029250073432922408,True,True,True,True,False
p02420,Description_Reason,0.9,0.1,0.5,True,0.19204238057136536,0.30795761942863464,False,True,False,False,False
p02420,Description_Simple,0.9,0.1,0.5,True,0.450726717710495,0.049273282289505005,False,True,False,False,False
p02268,Description_Fewshot,0.0,0.0,0.0,False,0.2893204092979431,0.2893204092979431,True,False,False,False,True
p02268,Description_Reason,0.0,0.0,0.0,False,0.1130494773387909,0.1130494773387909,True,False,False,False,True
p02268,Description_Simple,0.0,0.0,0.0,False,0.3612693250179291,0.3612693250179291,True,False,False,False,True
p03324,Description_Fewshot,0.0,0.1,0.05,False,0.4932050108909607,0.4432050108909607,True,False,False,False,True
p03324,Description_Reason,0.0,0.1,0.05,False,0.3030940294265747,0.2530940294265747,True,False,False,False,True
p03324,Description_Simple,0.0,0.0,0.0,False,0.5127873420715332,0.5127873420715332,False,False,True,False,False
p02390,Description_Fewshot,0.1,0.0,0.05,False,0.3305353820323944,0.2805353820323944,True,False,False,False,True
p02390,Description_Reason,0.1,0.1,0.1,False,0.4285551905632019,0.3285551905632019,True,False,False,False,True
p02390,Description_Simple,0.3,0.1,0.2,False,0.3610239028930664,0.1610239028930664,True,False,False,False,True
p02675,Description_Fewshot,0.3,0.0,0.15,False,0.5004523992538452,0.3504523992538452,False,False,True,False,False
p02675,Description_Reason,0.0,0.0,0.0,False,0.21859171986579895,0.21859171986579895,True,False,False,False,True
p02675,Description_Simple,0.1,0.0,0.05,False,0.4791128635406494,0.4291128635406494,True,False,False,False,True
p02730,Description_Fewshot,0.0,0.1,0.05,False,0.4299279451370239,0.37992794513702394,True,False,False,False,True
p02730,Description_Reason,0.0,0.0,0.0,False,0.36853596568107605,0.36853596568107605,True,False,False,False,True
p02730,Description_Simple,0.0,0.0,0.0,False,0.3834112286567688,0.3834112286567688,True,False,False,False,True
p02778,Description_Fewshot,0.4,0.4,0.4,False,0.5340015888214111,0.1340015888214111,False,False,True,False,False
p02778,Description_Reason,0.1,1.0,0.55,True,0.25492388010025024,0.2950761198997498,False,True,False,False,False
p02778,Description_Simple,1.0,0.0,0.5,True,0.4201212227344513,0.0798787772655487,False,True,False,False,False
p02578,Description_Fewshot,0.3,0.9,0.6,True,0.4039839506149292,0.19601604938507078,False,True,False,False,False
p02578,Description_Reason,0.9,0.0,0.45,False,0.34149113297462463,0.10850886702537538,True,False,False,False,True
p02578,Description_Simple,0.0,0.3,0.15,False,0.4815642833709717,0.33156428337097166,True,False,False,False,True
p02553,Description_Fewshot,0.0,0.1,0.05,False,0.2464158982038498,0.1964158982038498,True,False,False,False,True
p02553,Description_Reason,0.0,0.0,0.0,False,0.2937794625759125,0.2937794625759125,True,False,False,False,True
p02553,Description_Simple,0.9,0.9,0.9,True,0.70390385389328,0.19609614610672,True,True,True,True,False
p02993,Description_Fewshot,0.3,0.0,0.15,False,0.6275988817214966,0.47759888172149656,False,False,True,False,False
p02993,Description_Reason,0.9,0.9,0.9,True,0.3821262717247009,0.5178737282752991,False,True,False,False,False
p02993,Description_Simple,0.9,0.3,0.6,True,0.4661465883255005,0.1338534116744995,False,True,False,False,False
p02658,Description_Fewshot,0.4,0.9,0.65,True,0.6522074341773987,0.0022074341773986594,True,True,True,True,False
p02658,Description_Reason,0.1,0.4,0.25,False,0.20660516619682312,0.04339483380317688,True,False,False,False,True
p02658,Description_Simple,0.0,0.2,0.1,False,0.7596555948257446,0.6596555948257447,False,False,True,False,False
p02622,Description_Fewshot,1.0,1.0,1.0,True,0.47925519943237305,0.520744800567627,False,True,False,False,False
p02622,Description_Reason,0.3,1.0,0.65,True,0.34285247325897217,0.30714752674102785,False,True,False,False,False
p02622,Description_Simple,0.0,0.8,0.4,False,0.41181403398513794,0.011814033985137917,True,False,False,False,True
p02959,Description_Fewshot,1.0,1.0,1.0,True,0.23460374772548676,0.7653962522745132,False,True,False,False,False
p02959,Description_Reason,1.0,0.8,0.9,True,0.07156659662723541,0.8284334033727646,False,True,False,False,False
p02959,Description_Simple,0.8,0.0,0.4,False,0.06997738033533096,0.33002261966466906,True,False,False,False,True
p03059,Description_Fewshot,0.8,0.4,0.6000000000000001,True,0.4545246660709381,0.14547533392906198,False,True,False,False,False
p03059,Description_Reason,0.1,0.1,0.1,False,0.16892319917678833,0.06892319917678832,True,False,False,False,True
p03059,Description_Simple,0.4,0.0,0.2,False,0.2793653607368469,0.07936536073684691,True,False,False,False,True
p03471,Description_Fewshot,0.1,0.0,0.05,False,0.37480422854423523,0.32480422854423524,True,False,False,False,True
p03471,Description_Reason,0.1,0.0,0.05,False,0.28475916385650635,0.23475916385650636,True,False,False,False,True
p03471,Description_Simple,0.0,0.1,0.05,False,0.31438666582107544,0.26438666582107545,True,False,False,False,True
p02419,Description_Fewshot,0.0,0.4,0.2,False,0.6490947604179382,0.4490947604179382,False,False,True,False,False
p02419,Description_Reason,0.0,0.1,0.05,False,0.5041623711585999,0.45416237115859986,False,False,True,False,False
p02419,Description_Simple,0.1,0.1,0.1,False,0.5358437299728394,0.4358437299728394,False,False,True,False,False
p02958,Description_Fewshot,0.3,0.0,0.15,False,0.38171231746673584,0.23171231746673585,True,False,False,False,True
p02958,Description_Reason,0.9,0.9,0.9,True,0.4845980405807495,0.4154019594192505,False,True,False,False,False
p02958,Description_Simple,0.0,0.3,0.15,False,0.6866206526756287,0.5366206526756286,False,False,True,False,False
p02772,Description_Fewshot,0.9,0.3,0.6,True,0.6444552540779114,0.0444552540779114,True,True,True,True,False
p02772,Description_Reason,0.3,0.0,0.15,False,0.44286826252937317,0.29286826252937315,True,False,False,False,True
p02772,Description_Simple,0.1,0.9,0.5,True,0.6640306711196899,0.16403067111968994,True,True,True,True,False
p02629,Description_Fewshot,0.1,0.1,0.1,False,0.5356333255767822,0.43563332557678225,False,False,True,False,False
p02629,Description_Reason,0.0,0.3,0.15,False,0.3933030962944031,0.24330309629440308,True,False,False,False,True
p02629,Description_Simple,0.9,0.9,0.9,True,0.5094447135925293,0.3905552864074707,True,True,True,True,False
p03000,Description_Fewshot,0.9,0.4,0.65,True,0.3723483979701996,0.27765160202980044,False,True,False,False,False
p03000,Description_Reason,0.7,0.3,0.5,True,0.16594012081623077,0.3340598791837692,False,True,False,False,False
p03000,Description_Simple,0.4,0.0,0.2,False,0.39489588141441345,0.19489588141441344,True,False,False,False,True
p02835,Description_Fewshot,0.1,0.9,0.5,True,0.6474239826202393,0.14742398262023926,True,True,True,True,False
p02835,Description_Reason,0.9,0.7,0.8,True,0.4885766804218292,0.3114233195781708,False,True,False,False,False
p02835,Description_Simple,0.0,0.9,0.45,False,0.5502977967262268,0.1002977967262268,False,False,True,False,False
p02922,Description_Fewshot,0.4,0.9,0.65,True,0.3558708727359772,0.29412912726402285,False,True,False,False,False
p02922,Description_Reason,0.0,0.9,0.45,False,0.3978605270385742,0.05213947296142579,True,False,False,False,True
p02922,Description_Simple,0.9,0.0,0.45,False,0.35490337014198303,0.09509662985801698,True,False,False,False,True
p03239,Description_Fewshot,0.4,0.4,0.4,False,0.19596955180168152,0.2040304481983185,True,False,False,False,True
p03239,Description_Reason,0.9,0.9,0.9,True,0.12354637682437897,0.776453623175621,False,True,False,False,False
p03239,Description_Simple,0.4,0.4,0.4,False,0.4101822078227997,0.01018220782279966,True,False,False,False,True
p03316,Description_Fewshot,0.9,0.1,0.5,True,0.65523362159729,0.15523362159729004,True,True,True,True,False
p03316,Description_Reason,0.0,0.7,0.35,False,0.16833415627479553,0.18166584372520445,True,False,False,False,True
p03316,Description_Simple,0.9,0.9,0.9,True,0.6087071299552917,0.2912928700447083,True,True,True,True,False
p02705,Description_Fewshot,0.9,0.9,0.9,True,0.772990882396698,0.12700911760330202,True,True,True,True,False
p02705,Description_Reason,0.9,0.9,0.9,True,0.7428795099258423,0.15712049007415774,True,True,True,True,False
p02705,Description_Simple,0.1,0.9,0.5,True,0.7712661623954773,0.2712661623954773,True,True,True,True,False
p03478,Description_Fewshot,0.9,0.9,0.9,True,0.5356827974319458,0.3643172025680542,True,True,True,True,False
p03478,Description_Reason,0.4,0.1,0.25,False,0.48844876885414124,0.23844876885414124,True,False,False,False,True
p03478,Description_Simple,0.9,0.4,0.65,True,0.5000947713851929,0.14990522861480715,True,True,True,True,False
p02628,Description_Fewshot,1.0,0.1,0.55,True,0.5755690336227417,0.025569033622741655,True,True,True,True,False
p02628,Description_Reason,1.0,1.0,1.0,True,0.3801092505455017,0.6198907494544983,False,True,False,False,False
p02628,Description_Simple,1.0,0.0,0.5,True,0.5953238606452942,0.09532386064529419,True,True,True,True,False
p02687,Description_Fewshot,0.0,1.0,0.5,True,0.24570700526237488,0.2542929947376251,False,True,False,False,False
p02687,Description_Reason,0.1,0.0,0.05,False,0.12414470314979553,0.07414470314979553,True,False,False,False,True
p02687,Description_Simple,0.0,0.0,0.0,False,0.2408331036567688,0.2408331036567688,True,False,False,False,True
p00007,Description_Fewshot,0.4,0.4,0.4,False,0.5393264293670654,0.1393264293670654,False,False,True,False,False
p00007,Description_Reason,0.0,1.0,0.5,True,0.2720582187175751,0.22794178128242493,False,True,False,False,False
p00007,Description_Simple,0.1,1.0,0.55,True,0.2760872542858124,0.27391274571418767,False,True,False,False,False
p02887,Description_Fewshot,0.1,0.4,0.25,False,0.6687431335449219,0.4187431335449219,False,False,True,False,False
p02887,Description_Reason,1.0,0.1,0.55,True,0.5759783983230591,0.025978398323059038,True,True,True,True,False
p02887,Description_Simple,0.0,1.0,0.5,True,0.7218924760818481,0.22189247608184814,True,True,True,True,False
