model,GPT-4o,GPT-3.5,O4-mini,Gemini,Llama-70B,Mistral,DeepSeek-V3.1,DeepSeek-R1,DeepSeek-V4-Pro,QwenCoder,Qwen3.7,Claude-5,GLM-5,Kimi-K2.7,GPT-5
GPT-4o,1,0.568182,0.671429,0.639594,0.385965,0.283019,0.538462,0.487685,0.525773,0.297468,0.529703,0.520833,0.558252,0.529126,0.5
GPT-3.5,0.568182,1,0.567442,0.537313,0.359756,0.283784,0.481865,0.469388,0.484211,0.273333,0.467662,0.440415,0.490291,0.461165,0.413265
O4-mini,0.671429,0.567442,1,0.72973,0.40566,0.255924,0.633484,0.613333,0.600897,0.254717,0.644444,0.597285,0.682819,0.649123,0.578475
Gemini,0.639594,0.537313,0.72973,1,0.363636,0.240838,0.556075,0.565421,0.544601,0.226804,0.554545,0.540284,0.623853,0.589041,0.535545
Llama-70B,0.385965,0.359756,0.40566,0.363636,1,0.258333,0.411429,0.360656,0.396552,0.310345,0.391304,0.422619,0.410526,0.393617,0.367816
Mistral,0.283019,0.283784,0.255924,0.240838,0.258333,1,0.289157,0.278107,0.288344,0.226804,0.289017,0.263804,0.25,0.265193,0.289308
DeepSeek-V3.1,0.538462,0.481865,0.633484,0.556075,0.411429,0.289157,1,0.743017,0.768786,0.335404,0.752747,0.677778,0.723958,0.710526,0.672222
DeepSeek-R1,0.487685,0.469388,0.613333,0.565421,0.360656,0.278107,0.743017,1,0.740113,0.315152,0.783333,0.67033,0.734375,0.730159,0.721591
DeepSeek-V4-Pro,0.525773,0.484211,0.600897,0.544601,0.396552,0.288344,0.768786,0.740113,1,0.335443,0.711957,0.683616,0.730159,0.773481,0.706897
QwenCoder,0.297468,0.273333,0.254717,0.226804,0.310345,0.226804,0.335404,0.315152,0.335443,1,0.317647,0.326923,0.303867,0.314286,0.2875
Qwen3.7,0.529703,0.467662,0.644444,0.554545,0.391304,0.289017,0.752747,0.783333,0.711957,0.317647,1,0.718232,0.798942,0.776596,0.712707
Claude-5,0.520833,0.440415,0.597285,0.540284,0.422619,0.263804,0.677778,0.67033,0.683616,0.326923,0.718232,1,0.727273,0.741758,0.674286
GLM-5,0.558252,0.490291,0.682819,0.623853,0.410526,0.25,0.723958,0.734375,0.730159,0.303867,0.798942,0.727273,1,0.774359,0.677083
Kimi-K2.7,0.529126,0.461165,0.649123,0.589041,0.393617,0.265193,0.710526,0.730159,0.773481,0.314286,0.776596,0.741758,0.774359,1,0.726776
GPT-5,0.5,0.413265,0.578475,0.535545,0.367816,0.289308,0.672222,0.721591,0.706897,0.2875,0.712707,0.674286,0.677083,0.726776,1
