model,GPT-4o,GPT-3.5,O4-mini,Gemini,Llama-70B,Mistral,DeepSeek-V3.1,DeepSeek-R1,DeepSeek-V4-Pro,QwenCoder,Qwen3.7,Claude-5,GLM-5,Kimi-K2.7,GPT-5
GPT-4o,0,33.6283,39.233,47.1976,35.9882,25.9587,32.7434,41.0029,30.3835,24.7788,36.8732,35.3982,41.0029,39.823,27.1386
GPT-3.5,33.6283,0,59.292,28.3186,14.1593,19.469,47.4926,59.882,48.6726,25.9587,58.7021,52.5074,67.5516,62.8319,24.1888
O4-mini,39.233,59.292,0,58.7021,60.472,49.2625,29.4985,20.059,27.1386,45.7227,19.469,26.8437,15.9292,15.3392,48.0826
Gemini,47.1976,28.3186,58.7021,0,24.7788,34.8083,53.3923,59.292,52.8024,41.2979,59.882,55.4572,66.3717,61.6519,34.2183
Llama-70B,35.9882,14.1593,60.472,24.7788,0,20.649,49.8525,59.882,50.4425,28.3186,59.292,53.6873,68.1416,64.6018,21.8289
Mistral,25.9587,19.469,49.2625,34.8083,20.649,0,38.0531,46.3127,39.233,20.649,49.8525,43.0678,56.3422,50.4425,18.8791
DeepSeek-V3.1,32.7434,47.4926,29.4985,53.3923,49.8525,38.0531,0,21.8289,23.0088,35.6932,25.3687,23.8938,26.5487,25.9587,36.8732
DeepSeek-R1,41.0029,59.882,20.059,59.292,59.882,46.3127,21.8289,0,24.1888,43.9528,22.4189,26.2537,16.5192,18.2891,46.9027
DeepSeek-V4-Pro,30.3835,48.6726,27.1386,52.8024,50.4425,39.233,23.0088,24.1888,0,36.8732,25.9587,29.2035,28.3186,27.7286,36.2832
QwenCoder,24.7788,25.9587,45.7227,41.2979,28.3186,20.649,35.6932,43.9528,36.8732,0,42.7729,39.528,50.4425,48.6726,24.1888
Qwen3.7,36.8732,58.7021,19.469,59.882,59.292,49.8525,25.3687,22.4189,25.9587,42.7729,0,25.6637,15.9292,18.2891,48.6726
Claude-5,35.3982,52.5074,26.8437,55.4572,53.6873,43.0678,23.8938,26.2537,29.2035,39.528,25.6637,0,24.4838,26.8437,46.0177
GLM-5,41.0029,67.5516,15.9292,66.3717,68.1416,56.3422,26.5487,16.5192,28.3186,50.4425,15.9292,24.4838,0,14.1593,54.5723
Kimi-K2.7,39.823,62.8319,15.3392,61.6519,64.6018,50.4425,25.9587,18.2891,27.7286,48.6726,18.2891,26.8437,14.1593,0,50.4425
GPT-5,27.1386,24.1888,48.0826,34.2183,21.8289,18.8791,36.8732,46.9027,36.2832,24.1888,48.6726,46.0177,54.5723,50.4425,0
