Sub_Directory,Description_Type,Judge_1_Score,Judge_2_Score,Judge_3_Score,LLM_Average_Score,LLM_Consensus,ST_Similarity_Score,Score_Difference,Agreement,LLM_Success,ST_Success,Both_Success,Neither_Success
p00005,Description_Simple,0.6,0.6,0.6,0.6,True,0.7566954493522644,0.15669544935226443,True,True,True,True,False
p00007,Description_Simple,0.5,0.5,0.5,0.5,True,0.5333856344223022,0.033385634422302246,True,True,True,True,False
p00006,Description_Simple,0.1,0.6,0.35,0.35,False,0.5418375730514526,0.19183757305145266,False,False,True,False,False
p02255,Description_Simple,0.6,0.4,0.5,0.55,True,0.6088611483573914,0.05886114835739131,True,True,True,True,False
p02260,Description_Simple,0.9,0.9,0.9,0.9,True,0.6777453422546387,0.22225465774536135,True,True,True,True,False
p02268,Description_Simple,0.3,0.3,0.3,0.3,False,0.3672794699668884,0.06727946996688844,True,False,False,False,True
p02263,Description_Simple,0.6,0.6,0.6,0.6,True,0.69889235496521,0.09889235496520998,True,True,True,True,False
p00011,Description_Simple,0.0,0.0,0.0,0.0,False,0.35975533723831177,0.35975533723831177,True,False,False,False,True
p00001,Description_Simple,0.2,0.2,0.2,0.2,False,0.5183595418930054,0.31835954189300536,False,False,True,False,False
p02259,Description_Simple,0.6,0.6,0.6,0.6,True,0.47087496519088745,0.12912503480911253,False,True,False,False,False
p00003,Description_Simple,0.2,0.1,0.15000000000000002,0.17500000000000002,False,0.49643078446388245,0.3214307844638824,True,False,False,False,True
p00002,Description_Simple,0.1,0.1,0.1,0.1,False,0.48998597264289856,0.3899859726428986,True,False,False,False,True
p02257,Description_Simple,0.2,0.2,0.2,0.2,False,0.7774291038513184,0.5774291038513184,False,False,True,False,False
p02256,Description_Simple,0.3,0.2,0.25,0.275,False,0.7643530368804932,0.48935303688049314,False,False,True,False,False
p02258,Description_Simple,0.8,0.6,0.7,0.6499999999999999,True,0.6575689315795898,0.007568931579589933,True,True,True,True,False
p02264,Description_Simple,0.9,0.9,0.9,0.9,True,0.6242105960845947,0.2757894039154053,True,True,True,True,False
p02390,Description_Simple,0.2,0.2,0.2,0.2,False,0.32641491293907166,0.12641491293907164,True,False,False,False,True
p02394,Description_Simple,0.0,0.0,0.0,0.0,False,0.12168863415718079,0.12168863415718079,True,False,False,False,True
p02392,Description_Simple,0.1,0.1,0.1,0.1,False,0.4566938281059265,0.35669382810592654,True,False,False,False,True
p02389,Description_Simple,0.0,0.0,0.0,0.0,False,0.28592169284820557,0.28592169284820557,True,False,False,False,True
p02401,Description_Simple,0.3,0.3,0.3,0.3,False,0.6562738418579102,0.35627384185791017,False,False,True,False,False
p02396,Description_Simple,0.1,0.1,0.1,0.1,False,0.4398050308227539,0.33980503082275393,True,False,False,False,True
p02381,Description_Simple,0.2,0.2,0.2,0.2,False,0.5286723375320435,0.32867233753204345,False,False,True,False,False
p02400,Description_Simple,0.0,0.0,0.0,0.0,False,0.6277445554733276,0.6277445554733276,False,False,True,False,False
p02402,Description_Simple,0.2,0.1,0.15000000000000002,0.17500000000000002,False,0.5426074266433716,0.36760742664337154,False,False,True,False,False
p02398,Description_Simple,0.2,0.2,0.2,0.2,False,0.5900396108627319,0.3900396108627319,False,False,True,False,False
p02388,Description_Simple,0.6,0.6,0.6,0.6,True,0.7118788957595825,0.11187889575958254,True,True,True,True,False
p02399,Description_Simple,0.0,0.0,0.0,0.0,False,0.5437854528427124,0.5437854528427124,False,False,True,False,False
p02393,Description_Simple,0.8,0.6,0.7,0.6499999999999999,True,0.6209831833839417,0.02901681661605826,True,True,True,True,False
p02397,Description_Simple,0.1,0.1,0.1,0.1,False,0.5566518902778625,0.45665189027786257,False,False,True,False,False
p02403,Description_Simple,0.2,0.2,0.2,0.2,False,0.4109686315059662,0.21096863150596618,True,False,False,False,True
p02391,Description_Simple,0.2,0.2,0.2,0.2,False,0.5441786050796509,0.34417860507965087,False,False,True,False,False
p02413,Description_Simple,0.6,0.6,0.6,0.6,True,0.7181543707847595,0.11815437078475954,True,True,True,True,False
p02404,Description_Simple,0.1,0.1,0.1,0.1,False,0.46017006039619446,0.3601700603961945,True,False,False,False,True
p02416,Description_Simple,0.0,0.0,0.0,0.0,False,0.368563711643219,0.368563711643219,True,False,False,False,True
p02407,Description_Simple,0.0,0.0,0.0,0.0,False,0.35263708233833313,0.35263708233833313,True,False,False,False,True
p02408,Description_Simple,0.5,0.5,0.5,0.5,True,0.10655760765075684,0.39344239234924316,False,True,False,False,False
p02415,Description_Simple,0.0,0.0,0.0,0.0,False,0.19813701510429382,0.19813701510429382,True,False,False,False,True
p02410,Description_Simple,0.1,0.1,0.1,0.1,False,0.49834632873535156,0.3983463287353516,True,False,False,False,True
p02412,Description_Simple,0.3,0.2,0.25,0.275,False,0.5916906595230103,0.31669065952301023,False,False,True,False,False
p02405,Description_Simple,0.0,0.0,0.0,0.0,False,0.22798210382461548,0.22798210382461548,True,False,False,False,True
p02411,Description_Simple,0.2,0.2,0.2,0.2,False,0.3508147597312927,0.1508147597312927,True,False,False,False,True
p02414,Description_Simple,0.1,0.1,0.1,0.1,False,0.5032973885536194,0.4032973885536194,False,False,True,False,False
p02409,Description_Simple,0.1,0.0,0.05,0.07500000000000001,False,0.27493801712989807,0.19993801712989806,True,False,False,False,True
p02418,Description_Simple,0.1,0.2,0.15000000000000002,0.17500000000000002,False,0.36938366293907166,0.19438366293907164,True,False,False,False,True
p02419,Description_Simple,0.1,0.2,0.15000000000000002,0.17500000000000002,False,0.4409606456756592,0.26596064567565914,True,False,False,False,True
p02417,Description_Simple,0.1,0.2,0.15000000000000002,0.17500000000000002,False,0.413118451833725,0.23811845183372496,True,False,False,False,True
p02406,Description_Simple,0.3,0.3,0.3,0.3,False,0.4469544291496277,0.1469544291496277,True,False,False,False,True
p02552,Description_Simple,0.0,0.0,0.0,0.0,False,0.3653724491596222,0.3653724491596222,True,False,False,False,True
p02571,Description_Simple,0.5,0.2,0.35,0.275,False,0.433455228805542,0.15845522880554197,True,False,False,False,True
p02577,Description_Simple,0.2,0.2,0.2,0.2,False,0.34459787607192993,0.14459787607192992,True,False,False,False,True
p02420,Description_Simple,0.2,0.2,0.2,0.2,False,0.35493576526641846,0.15493576526641845,True,False,False,False,True
p02595,Description_Simple,0.9,0.9,0.9,0.9,True,0.5727129578590393,0.3272870421409607,True,True,True,True,False
p02547,Description_Simple,0.1,0.2,0.15000000000000002,0.17500000000000002,False,0.3472156822681427,0.17221568226814268,True,False,False,False,True
