Sub_Directory,Description_Type,Judge_1_Score,Judge_2_Score,Judge_3_Score,LLM_Average_Score,LLM_Consensus,ST_Similarity_Score,Score_Difference,Agreement,LLM_Success,ST_Success,Both_Success,Neither_Success
p00002,Description_Simple,1.0,1.0,1.0,1.0,True,0.33019331097602844,0.6698066890239716,False,True,False,False,False
p02257,Description_Simple,0.2,0.2,0.2,0.2,False,0.5729079842567444,0.3729079842567444,False,False,True,False,False
p00005,Description_Simple,1.0,1.0,1.0,1.0,True,0.6096714735031128,0.3903285264968872,True,True,True,True,False
p02260,Description_Simple,0.9,0.9,0.9,0.9,True,0.7504785060882568,0.1495214939117432,True,True,True,True,False
p00001,Description_Simple,0.2,0.2,0.2,0.2,False,0.6251662969589233,0.42516629695892333,False,False,True,False,False
p02255,Description_Simple,0.9,0.9,0.9,0.9,True,0.5682759881019592,0.3317240118980408,True,True,True,True,False
p00007,Description_Simple,0.0,0.0,0.0,0.0,False,0.1891215592622757,0.1891215592622757,True,False,False,False,True
p00003,Description_Simple,0.9,0.9,0.9,0.9,True,0.37246307730674744,0.5275369226932526,False,True,False,False,False
p02258,Description_Simple,0.1,0.1,0.1,0.1,False,0.3708046078681946,0.2708046078681946,True,False,False,False,True
p00006,Description_Simple,0.0,0.0,0.0,0.0,False,0.16232620179653168,0.16232620179653168,True,False,False,False,True
p02268,Description_Simple,0.0,0.0,0.0,0.0,False,0.17332765460014343,0.17332765460014343,True,False,False,False,True
p02263,Description_Simple,1.0,1.0,1.0,1.0,True,0.36095136404037476,0.6390486359596252,False,True,False,False,False
p02256,Description_Simple,1.0,1.0,1.0,1.0,True,0.6616623401641846,0.33833765983581543,True,True,True,True,False
p02264,Description_Simple,0.4,0.4,0.4,0.4,False,0.36024966835975647,0.03975033164024355,True,False,False,False,True
p00011,Description_Simple,0.0,0.0,0.0,0.0,False,0.09769553691148758,0.09769553691148758,True,False,False,False,True
p02259,Description_Simple,1.0,1.0,1.0,1.0,True,0.8160905838012695,0.18390941619873047,True,True,True,True,False
p02398,Description_Simple,0.0,0.0,0.0,0.0,False,0.046308308839797974,0.046308308839797974,True,False,False,False,True
p02390,Description_Simple,0.0,0.0,0.0,0.0,False,0.3545994758605957,0.3545994758605957,True,False,False,False,True
p02393,Description_Simple,1.0,1.0,1.0,1.0,True,0.5866797566413879,0.41332024335861206,True,True,True,True,False
p02381,Description_Simple,0.3,0.3,0.3,0.3,False,0.6096749305725098,0.3096749305725098,False,False,True,False,False
p02404,Description_Simple,0.9,0.9,0.9,0.9,True,0.26363903284072876,0.6363609671592713,False,True,False,False,False
p02396,Description_Simple,0.0,0.0,0.0,0.0,False,0.18821710348129272,0.18821710348129272,True,False,False,False,True
p02397,Description_Simple,0.9,0.9,0.9,0.9,True,0.31425490975379944,0.5857450902462006,False,True,False,False,False
p02401,Description_Simple,0.9,0.9,0.9,0.9,True,0.5313410758972168,0.3686589241027832,True,True,True,True,False
p02388,Description_Simple,0.0,0.0,0.0,0.0,False,0.15560637414455414,0.15560637414455414,True,False,False,False,True
p02389,Description_Simple,0.2,0.2,0.2,0.2,False,0.20370261371135712,0.0037026137113571056,True,False,False,False,True
p02392,Description_Simple,1.0,1.0,1.0,1.0,True,0.5340512990951538,0.4659487009048462,True,True,True,True,False
p02402,Description_Simple,0.9,0.9,0.9,0.9,True,0.4897007346153259,0.4102992653846741,False,True,False,False,False
p02399,Description_Simple,0.9,0.9,0.9,0.9,True,0.35093843936920166,0.5490615606307984,False,True,False,False,False
p02400,Description_Simple,1.0,1.0,1.0,1.0,True,0.7750001549720764,0.22499984502792358,True,True,True,True,False
p02403,Description_Simple,0.1,0.1,0.1,0.1,False,0.27991530299186707,0.17991530299186706,True,False,False,False,True
p02394,Description_Simple,0.1,0.1,0.1,0.1,False,0.23185735940933228,0.13185735940933227,True,False,False,False,True
p02418,Description_Simple,1.0,1.0,1.0,1.0,True,0.39414769411087036,0.6058523058891296,False,True,False,False,False
p02407,Description_Simple,0.0,0.0,0.0,0.0,False,0.1618904173374176,0.1618904173374176,True,False,False,False,True
p02413,Description_Simple,0.1,0.1,0.1,0.1,False,0.1842513233423233,0.0842513233423233,True,False,False,False,True
p02406,Description_Simple,0.1,0.1,0.1,0.1,False,0.23805302381515503,0.13805302381515502,True,False,False,False,True
p02416,Description_Simple,0.0,0.0,0.0,0.0,False,0.20371104776859283,0.20371104776859283,True,False,False,False,True
p02409,Description_Simple,1.0,1.0,1.0,1.0,True,0.5430876016616821,0.45691239833831787,True,True,True,True,False
p02408,Description_Simple,0.0,0.0,0.0,0.0,False,0.013250895775854588,0.013250895775854588,True,False,False,False,True
p02412,Description_Simple,1.0,1.0,1.0,1.0,True,0.6535382270812988,0.34646177291870117,True,True,True,True,False
p02414,Description_Simple,1.0,1.0,1.0,1.0,True,0.4777951240539551,0.5222048759460449,False,True,False,False,False
p02410,Description_Simple,0.8,0.8,0.8,0.8,True,0.498827189207077,0.301172810792923,False,True,False,False,False
p02419,Description_Simple,1.0,1.0,1.0,1.0,True,0.4446549415588379,0.5553450584411621,False,True,False,False,False
p02417,Description_Simple,1.0,1.0,1.0,1.0,True,0.5047951340675354,0.4952048659324646,True,True,True,True,False
p02405,Description_Simple,0.1,0.1,0.1,0.1,False,0.23556070029735565,0.13556070029735565,True,False,False,False,True
p02420,Description_Simple,0.2,0.2,0.2,0.2,False,0.11994296312332153,0.08005703687667848,True,False,False,False,True
p02415,Description_Simple,0.0,0.0,0.0,0.0,False,0.1380954086780548,0.1380954086780548,True,False,False,False,True
p02411,Description_Simple,0.7,0.7,0.7,0.7,True,0.6724352240562439,0.02756477594375606,True,True,True,True,False
p02553,Description_Simple,0.0,0.0,0.0,0.0,False,0.2616961598396301,0.2616961598396301,True,False,False,False,True
p02552,Description_Simple,0.0,0.0,0.0,0.0,False,0.20081666111946106,0.20081666111946106,True,False,False,False,True
p02576,Description_Simple,1.0,1.0,1.0,1.0,True,0.2511104941368103,0.7488895058631897,False,True,False,False,False
p02570,Description_Simple,0.0,0.0,0.0,0.0,False,0.18608951568603516,0.18608951568603516,True,False,False,False,True
p02421,Description_Simple,0.0,0.0,0.0,0.0,False,0.4195001721382141,0.4195001721382141,True,False,False,False,True
p02577,Description_Simple,0.0,0.0,0.0,0.0,False,0.24636176228523254,0.24636176228523254,True,False,False,False,True
p02578,Description_Simple,0.0,0.0,0.0,0.0,False,0.1528179943561554,0.1528179943561554,True,False,False,False,True
p02582,Description_Simple,1.0,1.0,1.0,1.0,True,0.47259581089019775,0.5274041891098022,False,True,False,False,False
p02571,Description_Simple,0.0,0.0,0.0,0.0,False,0.09352368116378784,0.09352368116378784,True,False,False,False,True
p02612,Description_Simple,0.0,0.0,0.0,0.0,False,0.07335887849330902,0.07335887849330902,True,False,False,False,True
p02621,Description_Simple,0.0,0.0,0.0,0.0,False,0.18616726994514465,0.18616726994514465,True,False,False,False,True
p02547,Description_Simple,0.2,0.2,0.2,0.2,False,0.20703953504562378,0.007039535045623768,True,False,False,False,True
p02627,Description_Simple,0.0,0.0,0.0,0.0,False,0.17670626938343048,0.17670626938343048,True,False,False,False,True
p02595,Description_Simple,0.1,0.1,0.1,0.1,False,0.1351824402809143,0.0351824402809143,True,False,False,False,True
p02622,Description_Simple,0.0,0.0,0.0,0.0,False,0.12368378043174744,0.12368378043174744,True,False,False,False,True
p02613,Description_Simple,0.1,0.1,0.1,0.1,False,0.43111568689346313,0.33111568689346316,True,False,False,False,True
p02657,Description_Simple,0.0,0.0,0.0,0.0,False,0.17589811980724335,0.17589811980724335,True,False,False,False,True
p02639,Description_Simple,0.0,0.0,0.0,0.0,False,0.19028379023075104,0.19028379023075104,True,False,False,False,True
p02682,Description_Simple,0.1,0.1,0.1,0.1,False,0.21107058227062225,0.11107058227062225,True,False,False,False,True
p02659,Description_Simple,0.0,0.0,0.0,0.0,False,0.06911154836416245,0.06911154836416245,True,False,False,False,True
p02629,Description_Simple,0.1,0.1,0.1,0.1,False,0.20132677257061005,0.10132677257061004,True,False,False,False,True
p02681,Description_Simple,0.0,0.0,0.0,0.0,False,0.2386581152677536,0.2386581152677536,True,False,False,False,True
p02693,Description_Simple,0.0,0.0,0.0,0.0,False,0.2227732241153717,0.2227732241153717,True,False,False,False,True
p02687,Description_Simple,0.0,0.0,0.0,0.0,False,0.25148990750312805,0.25148990750312805,True,False,False,False,True
p02658,Description_Simple,0.0,0.0,0.0,0.0,False,0.2637958228588104,0.2637958228588104,True,False,False,False,True
p02641,Description_Simple,0.0,0.0,0.0,0.0,False,0.21327824890613556,0.21327824890613556,True,False,False,False,True
p02640,Description_Simple,0.0,0.0,0.0,0.0,False,0.19447419047355652,0.19447419047355652,True,False,False,False,True
p02688,Description_Simple,0.0,0.0,0.0,0.0,False,0.0675748884677887,0.0675748884677887,True,False,False,False,True
p02675,Description_Simple,0.0,0.0,0.0,0.0,False,0.17390596866607666,0.17390596866607666,True,False,False,False,True
p02628,Description_Simple,0.0,0.0,0.0,0.0,False,0.12428335845470428,0.12428335845470428,True,False,False,False,True
p02676,Description_Simple,0.0,0.0,0.0,0.0,False,0.2312794327735901,0.2312794327735901,True,False,False,False,True
p02694,Description_Simple,0.0,0.0,0.0,0.0,False,0.18511833250522614,0.18511833250522614,True,False,False,False,True
p02700,Description_Simple,0.0,0.0,0.0,0.0,False,0.16771015524864197,0.16771015524864197,True,False,False,False,True
p02706,Description_Simple,0.1,0.1,0.1,0.1,False,0.06452541798353195,0.035474582016468054,True,False,False,False,True
p02713,Description_Simple,1.0,1.0,1.0,1.0,True,0.5802618861198425,0.41973811388015747,True,True,True,True,False
p02707,Description_Simple,0.1,0.1,0.1,0.1,False,0.048872075974941254,0.05112792402505875,True,False,False,False,True
p02701,Description_Simple,0.2,0.2,0.2,0.2,False,0.3083660900592804,0.10836609005928038,True,False,False,False,True
p02699,Description_Simple,0.0,0.0,0.0,0.0,False,0.16440068185329437,0.16440068185329437,True,False,False,False,True
p02711,Description_Simple,0.0,0.0,0.0,0.0,False,0.05246631056070328,0.05246631056070328,True,False,False,False,True
p02719,Description_Simple,0.0,0.0,0.0,0.0,False,0.29339399933815,0.29339399933815,True,False,False,False,True
p02717,Description_Simple,0.0,0.0,0.0,0.0,False,0.23211324214935303,0.23211324214935303,True,False,False,False,True
p02718,Description_Simple,0.2,0.2,0.2,0.2,False,0.16663090884685516,0.03336909115314485,True,False,False,False,True
p02729,Description_Simple,1.0,1.0,1.0,1.0,True,0.20236288011074066,0.7976371198892593,False,True,False,False,False
p02724,Description_Simple,0.0,0.0,0.0,0.0,False,0.03263581171631813,0.03263581171631813,True,False,False,False,True
p02712,Description_Simple,1.0,1.0,1.0,1.0,True,0.5239023566246033,0.47609764337539673,True,True,True,True,False
p02723,Description_Simple,0.2,0.2,0.2,0.2,False,0.24159064888954163,0.041590648889541615,True,False,False,False,True
p02730,Description_Simple,0.2,0.2,0.2,0.2,False,0.4197643995285034,0.2197643995285034,True,False,False,False,True
p02725,Description_Simple,0.0,0.0,0.0,0.0,False,-0.0461856946349144,0.0461856946349144,True,False,False,False,True
p02754,Description_Simple,0.0,0.0,0.0,0.0,False,0.13206128776073456,0.13206128776073456,True,False,False,False,True
p02753,Description_Simple,0.4,0.4,0.4,0.4,False,0.2831141948699951,0.1168858051300049,True,False,False,False,True
p02784,Description_Simple,0.2,0.2,0.2,0.2,False,0.1480191946029663,0.0519808053970337,True,False,False,False,True
p02759,Description_Simple,1.0,1.0,1.0,1.0,True,0.2428596019744873,0.7571403980255127,False,True,False,False,False
p02773,Description_Simple,0.7,0.7,0.7,0.7,True,0.2189669907093048,0.48103300929069515,False,True,False,False,False
p02772,Description_Simple,1.0,1.0,1.0,1.0,True,0.4517168700695038,0.5482831299304962,False,True,False,False,False
p02777,Description_Simple,0.2,0.2,0.2,0.2,False,0.23029442131519318,0.030294421315193165,True,False,False,False,True
p02767,Description_Simple,0.2,0.2,0.2,0.2,False,0.18944311141967773,0.010556888580322277,True,False,False,False,True
p02778,Description_Simple,0.0,0.0,0.0,0.0,False,0.1958816945552826,0.1958816945552826,True,False,False,False,True
p02755,Description_Simple,0.0,0.0,0.0,0.0,False,0.16329950094223022,0.16329950094223022,True,False,False,False,True
p02779,Description_Simple,1.0,1.0,1.0,1.0,True,0.3125991225242615,0.6874008774757385,False,True,False,False,False
p02786,Description_Simple,0.4,0.4,0.4,0.4,False,0.2479713410139084,0.15202865898609164,True,False,False,False,True
p02783,Description_Simple,1.0,1.0,1.0,1.0,True,0.22588956356048584,0.7741104364395142,False,True,False,False,False
p02771,Description_Simple,0.1,0.1,0.1,0.1,False,0.309201717376709,0.20920171737670898,True,False,False,False,True
p02766,Description_Simple,0.0,0.0,0.0,0.0,False,0.12196525186300278,0.12196525186300278,True,False,False,False,True
p02785,Description_Simple,0.1,0.1,0.1,0.1,False,0.18698234856128693,0.08698234856128692,True,False,False,False,True
p02801,Description_Simple,0.0,0.0,0.0,0.0,False,0.1332734078168869,0.1332734078168869,True,False,False,False,True
p02812,Description_Simple,1.0,1.0,1.0,1.0,True,0.45517098903656006,0.5448290109634399,False,True,False,False,False
p02829,Description_Simple,0.0,0.0,0.0,0.0,False,0.07927875220775604,0.07927875220775604,True,False,False,False,True
p02802,Description_Simple,0.0,0.0,0.0,0.0,False,0.25238996744155884,0.25238996744155884,True,False,False,False,True
p02790,Description_Simple,0.1,0.1,0.1,0.1,False,0.1981787383556366,0.09817873835563659,True,False,False,False,True
p02791,Description_Simple,0.1,0.1,0.1,0.1,False,0.19100843369960785,0.09100843369960784,True,False,False,False,True
p02832,Description_Simple,0.0,0.0,0.0,0.0,False,0.06802526116371155,0.06802526116371155,True,False,False,False,True
p02818,Description_Simple,0.0,0.0,0.0,0.0,False,0.15916654467582703,0.15916654467582703,True,False,False,False,True
p02819,Description_Simple,1.0,1.0,1.0,1.0,True,0.4959123730659485,0.5040876269340515,False,True,False,False,False
p02836,Description_Simple,0.0,0.0,0.0,0.0,False,0.08164418488740921,0.08164418488740921,True,False,False,False,True
