Sub_Directory,Description_Type,Judge_1_Score,Judge_2_Score,Judge_3_Score,LLM_Average_Score,LLM_Consensus,ST_Similarity_Score,Score_Difference,Agreement,LLM_Success,ST_Success,Both_Success,Neither_Success
p00003,Description_Simple,0.9,0.9,0.9,0.9,True,0.6872025728225708,0.21279742717742922,True,True,True,True,False
p00007,Description_Simple,0.6,0.6,0.6,0.6,True,0.448843777179718,0.15115622282028196,False,True,False,False,False
p00006,Description_Simple,0.9,0.9,0.9,0.9,True,0.7021822929382324,0.1978177070617676,True,True,True,True,False
p02256,Description_Simple,0.9,0.9,0.9,0.9,True,0.8436335325241089,0.056366467475891135,True,True,True,True,False
p00001,Description_Simple,0.6,0.6,0.6,0.6,True,0.5599654912948608,0.04003450870513914,True,True,True,True,False
p00002,Description_Simple,0.3,0.3,0.3,0.3,False,0.539626955986023,0.23962695598602296,False,False,True,False,False
p00005,Description_Simple,0.6,0.6,0.6,0.6,True,0.7077731490135193,0.10777314901351931,True,True,True,True,False
p02263,Description_Simple,0.9,0.9,0.9,0.9,True,0.5657774806022644,0.3342225193977356,True,True,True,True,False
p02259,Description_Simple,0.9,0.9,0.9,0.9,True,0.47868141531944275,0.4213185846805573,False,True,False,False,False
p02260,Description_Simple,0.9,0.9,0.9,0.9,True,0.7610355019569397,0.13896449804306032,True,True,True,True,False
p02258,Description_Simple,0.6,0.6,0.6,0.6,True,0.5582966208457947,0.0417033791542053,True,True,True,True,False
p00011,Description_Simple,0.1,0.1,0.1,0.1,False,0.2916297912597656,0.19162979125976562,True,False,False,False,True
p02255,Description_Simple,0.9,0.9,0.9,0.9,True,0.6612846851348877,0.23871531486511233,True,True,True,True,False
p02257,Description_Simple,0.3,0.3,0.3,0.3,False,0.7949632406234741,0.49496324062347413,False,False,True,False,False
p02264,Description_Simple,0.9,0.9,0.9,0.9,True,0.5924670100212097,0.3075329899787903,True,True,True,True,False
p02268,Description_Simple,0.9,0.9,0.9,0.9,True,0.4349338114261627,0.4650661885738373,False,True,False,False,False
p02381,Description_Simple,0.6,0.6,0.6,0.6,True,0.5886874198913574,0.011312580108642556,True,True,True,True,False
p02389,Description_Simple,0.3,0.3,0.3,0.3,False,0.45372113585472107,0.15372113585472108,True,False,False,False,True
p02396,Description_Simple,0.9,0.9,0.9,0.9,True,0.5474307537078857,0.3525692462921143,True,True,True,True,False
p02391,Description_Simple,0.6,0.6,0.6,0.6,True,0.8557011485099792,0.25570114850997927,True,True,True,True,False
p02398,Description_Simple,0.6,0.6,0.6,0.6,True,0.5101558566093445,0.0898441433906555,True,True,True,True,False
