Sub_Directory,Description_Type,Judge_1_Score,Judge_2_Score,Judge_3_Score,LLM_Average_Score,LLM_Consensus,ST_Similarity_Score,Score_Difference,Agreement,LLM_Success,ST_Success,Both_Success,Neither_Success
mbpp_0159,Description_Simple,0.9,0.9,0.9,0.9,True,0.5236039161682129,0.37639608383178713,True,True,True,True,False
mbpp_0189,Description_Simple,1.0,1.0,1.0,1.0,True,0.6406604647636414,0.35933953523635864,True,True,True,True,False
mbpp_0323,Description_Simple,1.0,1.0,1.0,1.0,True,0.7400223612785339,0.25997763872146606,True,True,True,True,False
mbpp_0771,Description_Simple,0.8,0.8,0.8,0.8,True,0.4630012512207031,0.3369987487792969,False,True,False,False,False
mbpp_0522,Description_Simple,1.0,1.0,1.0,1.0,True,0.8125291466712952,0.18747085332870483,True,True,True,True,False
mbpp_0776,Description_Simple,0.0,0.0,0.0,0.0,False,0.58225417137146,0.58225417137146,False,False,True,False,False
mbpp_0245,Description_Simple,1.0,1.0,1.0,1.0,True,0.6204232573509216,0.37957674264907837,True,True,True,True,False
mbpp_0039,Description_Simple,0.3,0.3,0.3,0.3,False,0.5841129422187805,0.28411294221878053,False,False,True,False,False
mbpp_0515,Description_Simple,0.9,0.9,0.9,0.9,True,0.7253752946853638,0.17462470531463625,True,True,True,True,False
mbpp_0069,Description_Simple,1.0,1.0,1.0,1.0,True,0.49854812026023865,0.5014518797397614,False,True,False,False,False
mbpp_0223,Description_Simple,0.9,0.9,0.9,0.9,True,0.7522069811820984,0.14779301881790163,True,True,True,True,False
mbpp_0123,Description_Simple,1.0,1.0,1.0,1.0,True,0.5633457899093628,0.4366542100906372,True,True,True,True,False
mbpp_0423,Description_Simple,1.0,1.0,1.0,1.0,True,0.6213534474372864,0.3786465525627136,True,True,True,True,False
mbpp_0838,Description_Simple,1.0,1.0,1.0,1.0,True,0.7564935684204102,0.24350643157958984,True,True,True,True,False
mbpp_0408,Description_Simple,0.4,0.4,0.4,0.4,False,0.4993111491203308,0.09931114912033079,True,False,False,False,True
mbpp_0747,Description_Simple,1.0,1.0,1.0,1.0,True,0.7690110802650452,0.23098891973495483,True,True,True,True,False
mbpp_0628,Description_Simple,0.2,0.2,0.2,0.2,False,0.5057094693183899,0.3057094693183899,False,False,True,False,False
mbpp_0940,Description_Simple,1.0,1.0,1.0,1.0,True,0.6276747584342957,0.37232524156570435,True,True,True,True,False
mbpp_0387,Description_Simple,0.8,0.8,0.8,0.8,True,0.668098509311676,0.13190149068832402,True,True,True,True,False
mbpp_0315,Description_Simple,0.7,0.7,0.7,0.7,True,0.727471649646759,0.027471649646759078,True,True,True,True,False
mbpp_0152,Description_Simple,1.0,1.0,1.0,1.0,True,0.5370279550552368,0.4629720449447632,True,True,True,True,False
mbpp_0516,Description_Simple,1.0,1.0,1.0,1.0,True,0.5625796914100647,0.4374203085899353,True,True,True,True,False
mbpp_0901,Description_Simple,0.0,0.0,0.0,0.0,False,0.6311208605766296,0.6311208605766296,False,False,True,False,False
mbpp_0834,Description_Simple,0.2,0.2,0.2,0.2,False,0.7730558514595032,0.5730558514595032,False,False,True,False,False
mbpp_0938,Description_Simple,1.0,1.0,1.0,1.0,True,0.645845353603363,0.35415464639663696,True,True,True,True,False
mbpp_0665,Description_Simple,0.2,0.2,0.2,0.2,False,0.4944671392440796,0.2944671392440796,True,False,False,False,True
mbpp_0501,Description_Simple,0.4,0.4,0.4,0.4,False,0.7547324895858765,0.35473248958587644,False,False,True,False,False
mbpp_0898,Description_Simple,0.1,0.1,0.1,0.1,False,0.5203253030776978,0.4203253030776978,False,False,True,False,False
mbpp_0548,Description_Simple,1.0,1.0,1.0,1.0,True,0.6980043649673462,0.3019956350326538,True,True,True,True,False
mbpp_0822,Description_Simple,0.7,0.7,0.7,0.7,True,0.4669577181339264,0.23304228186607356,False,True,False,False,False
mbpp_0060,Description_Simple,0.7,0.7,0.7,0.7,True,0.7562997341156006,0.05629973411560063,True,True,True,True,False
mbpp_0149,Description_Simple,1.0,1.0,1.0,1.0,True,0.8385792970657349,0.16142070293426514,True,True,True,True,False
mbpp_0550,Description_Simple,0.6,0.6,0.6,0.6,True,0.5552260875701904,0.04477391242980955,True,True,True,True,False
mbpp_0524,Description_Simple,1.0,1.0,1.0,1.0,True,0.7158093452453613,0.28419065475463867,True,True,True,True,False
mbpp_0468,Description_Simple,1.0,1.0,1.0,1.0,True,0.7956019639968872,0.2043980360031128,True,True,True,True,False
mbpp_0523,Description_Simple,0.6,0.6,0.6,0.6,True,0.4267776310443878,0.17322236895561216,False,True,False,False,False
mbpp_0881,Description_Simple,1.0,1.0,1.0,1.0,True,0.729611337184906,0.270388662815094,True,True,True,True,False
mbpp_0068,Description_Simple,1.0,1.0,1.0,1.0,True,0.7533895969390869,0.24661040306091309,True,True,True,True,False
mbpp_0755,Description_Simple,0.7,0.7,0.7,0.7,True,0.45215222239494324,0.24784777760505672,False,True,False,False,False
mbpp_0926,Description_Simple,0.7,0.7,0.7,0.7,True,0.6006008386611938,0.09939916133880611,True,True,True,True,False
mbpp_0907,Description_Simple,1.0,1.0,1.0,1.0,True,0.7096251845359802,0.2903748154640198,True,True,True,True,False
mbpp_0850,Description_Simple,0.0,0.0,0.0,0.0,False,0.46241989731788635,0.46241989731788635,True,False,False,False,True
mbpp_0866,Description_Simple,0.1,0.1,0.1,0.1,False,0.4970783293247223,0.3970783293247223,True,False,False,False,True
mbpp_0455,Description_Simple,1.0,1.0,1.0,1.0,True,0.6395519375801086,0.36044806241989136,True,True,True,True,False
mbpp_0031,Description_Simple,0.9,0.9,0.9,0.9,True,0.7322742938995361,0.1677257061004639,True,True,True,True,False
mbpp_0074,Description_Simple,0.3,0.3,0.3,0.3,False,0.49943825602531433,0.19943825602531434,True,False,False,False,True
mbpp_0463,Description_Simple,1.0,1.0,1.0,1.0,True,0.7429622411727905,0.2570377588272095,True,True,True,True,False
mbpp_0453,Description_Simple,0.2,0.2,0.2,0.2,False,0.728661298751831,0.5286612987518311,False,False,True,False,False
mbpp_0854,Description_Simple,1.0,1.0,1.0,1.0,True,0.43215933442115784,0.5678406655788422,False,True,False,False,False
mbpp_0129,Description_Simple,0.4,0.4,0.4,0.4,False,0.5396266579627991,0.13962665796279905,False,False,True,False,False
mbpp_0113,Description_Simple,0.9,0.9,0.9,0.9,True,0.5865715146064758,0.3134284853935242,True,True,True,True,False
mbpp_0469,Description_Simple,1.0,1.0,1.0,1.0,True,0.8455538153648376,0.15444618463516235,True,True,True,True,False
mbpp_0639,Description_Simple,0.4,0.4,0.4,0.4,False,0.5495686531066895,0.14956865310668943,False,False,True,False,False
mbpp_0306,Description_Simple,0.4,0.4,0.4,0.4,False,0.6922546029090881,0.2922546029090881,False,False,True,False,False
mbpp_0247,Description_Simple,0.9,0.9,0.9,0.9,True,0.8575552701950073,0.0424447298049927,True,True,True,True,False
mbpp_0382,Description_Simple,1.0,1.0,1.0,1.0,True,0.6607386469841003,0.33926135301589966,True,True,True,True,False
mbpp_0689,Description_Simple,1.0,1.0,1.0,1.0,True,0.7662520408630371,0.2337479591369629,True,True,True,True,False
mbpp_0466,Description_Simple,1.0,1.0,1.0,1.0,True,0.7054218053817749,0.2945781946182251,True,True,True,True,False
mbpp_0239,Description_Simple,0.0,0.0,0.0,0.0,False,0.5584287643432617,0.5584287643432617,False,False,True,False,False
mbpp_0107,Description_Simple,0.1,0.1,0.1,0.1,False,0.7094390392303467,0.6094390392303467,False,False,True,False,False
mbpp_0121,Description_Simple,1.0,1.0,1.0,1.0,True,0.612984299659729,0.387015700340271,True,True,True,True,False
mbpp_0885,Description_Simple,1.0,1.0,1.0,1.0,True,0.7127436995506287,0.28725630044937134,True,True,True,True,False
mbpp_0108,Description_Simple,0.6,0.6,0.6,0.6,True,0.5717887878417969,0.028211212158203103,True,True,True,True,False
mbpp_0826,Description_Simple,0.5,0.5,0.5,0.5,True,0.6538856625556946,0.15388566255569458,True,True,True,True,False
mbpp_0570,Description_Simple,0.3,0.3,0.3,0.3,False,0.5175960659980774,0.2175960659980774,False,False,True,False,False
mbpp_0485,Description_Simple,1.0,1.0,1.0,1.0,True,0.7247048616409302,0.2752951383590698,True,True,True,True,False
mbpp_0231,Description_Simple,1.0,1.0,1.0,1.0,True,0.6681858897209167,0.33181411027908325,True,True,True,True,False
