Sub_Directory,Description_Type,LLM_GPT4.5_Score,LLM_Claude_Score,LLM_Average_Score,LLM_Consensus,ST_Similarity_Score,Score_Difference,Agreement,LLM_Success,ST_Success,Both_Success,Neither_Success
p02389,Description_Fewshot,0.0,0.0,0.0,False,0.16278281807899475,0.16278281807899475,True,False,False,False,True
p02389,Description_Reason,0.0,0.0,0.0,False,0.22394123673439026,0.22394123673439026,True,False,False,False,True
p02389,Description_Simple,0.0,0.0,0.0,False,0.2450868785381317,0.2450868785381317,True,False,False,False,True
p02397,Description_Fewshot,0.0,0.0,0.0,False,0.32664966583251953,0.32664966583251953,True,False,False,False,True
p02397,Description_Reason,0.0,0.0,0.0,False,0.4249612092971802,0.4249612092971802,True,False,False,False,True
p02397,Description_Simple,0.0,0.0,0.0,False,0.39717012643814087,0.39717012643814087,True,False,False,False,True
p02553,Description_Fewshot,0.0,0.0,0.0,False,0.002903234213590622,0.002903234213590622,True,False,False,False,True
p02553,Description_Reason,0.0,0.0,0.0,False,0.03280249983072281,0.03280249983072281,True,False,False,False,True
p02553,Description_Simple,0.0,0.0,0.0,False,0.04830952361226082,0.04830952361226082,True,False,False,False,True
p02409,Description_Fewshot,0.0,0.0,0.0,False,0.13101425766944885,0.13101425766944885,True,False,False,False,True
p02409,Description_Reason,0.0,0.0,0.0,False,0.2066899538040161,0.2066899538040161,True,False,False,False,True
p02409,Description_Simple,0.0,0.0,0.0,False,0.25708529353141785,0.25708529353141785,True,False,False,False,True
p02899,Description_Fewshot,0.0,0.0,0.0,False,0.1447703242301941,0.1447703242301941,True,False,False,False,True
p02899,Description_Reason,0.0,0.0,0.0,False,0.18407271802425385,0.18407271802425385,True,False,False,False,True
p02899,Description_Simple,0.0,0.0,0.0,False,0.08554279804229736,0.08554279804229736,True,False,False,False,True
p02408,Description_Fewshot,0.0,0.0,0.0,False,0.08075492084026337,0.08075492084026337,True,False,False,False,True
p02408,Description_Reason,0.0,0.0,0.0,False,0.08796609938144684,0.08796609938144684,True,False,False,False,True
p02408,Description_Simple,0.0,0.0,0.0,False,0.1241878867149353,0.1241878867149353,True,False,False,False,True
p02911,Description_Fewshot,0.0,0.0,0.0,False,0.16716758906841278,0.16716758906841278,True,False,False,False,True
p02911,Description_Reason,0.0,0.0,0.0,False,0.20170526206493378,0.20170526206493378,True,False,False,False,True
p02911,Description_Simple,0.0,0.0,0.0,False,0.19473345577716827,0.19473345577716827,True,False,False,False,True
p02812,Description_Fewshot,0.0,0.0,0.0,False,0.29940903186798096,0.29940903186798096,True,False,False,False,True
p02812,Description_Reason,0.0,0.0,0.0,False,0.09468834102153778,0.09468834102153778,True,False,False,False,True
p02812,Description_Simple,0.0,0.0,0.0,False,0.1155327558517456,0.1155327558517456,True,False,False,False,True
p02724,Description_Fewshot,0.0,0.0,0.0,False,-0.08496874570846558,0.08496874570846558,True,False,False,False,True
p02724,Description_Reason,0.0,0.0,0.0,False,0.15162533521652222,0.15162533521652222,True,False,False,False,True
p02724,Description_Simple,0.0,0.0,0.0,False,0.1514236181974411,0.1514236181974411,True,False,False,False,True
p02994,Description_Fewshot,0.0,0.0,0.0,False,0.09217756986618042,0.09217756986618042,True,False,False,False,True
p02994,Description_Reason,0.0,0.0,0.0,False,0.2515297532081604,0.2515297532081604,True,False,False,False,True
p02994,Description_Simple,0.0,0.0,0.0,False,0.35906893014907837,0.35906893014907837,True,False,False,False,True
p02910,Description_Fewshot,0.0,0.0,0.0,False,0.21116842329502106,0.21116842329502106,True,False,False,False,True
p02910,Description_Reason,0.0,0.0,0.0,False,0.1985863596200943,0.1985863596200943,True,False,False,False,True
p02910,Description_Simple,0.0,0.0,0.0,False,0.1646536886692047,0.1646536886692047,True,False,False,False,True
p02628,Description_Fewshot,0.0,0.0,0.0,False,0.07222539931535721,0.07222539931535721,True,False,False,False,True
p02628,Description_Reason,0.0,0.0,0.0,False,0.2630070149898529,0.2630070149898529,True,False,False,False,True
p02628,Description_Simple,0.0,0.0,0.0,False,0.15398430824279785,0.15398430824279785,True,False,False,False,True
p03316,Description_Fewshot,0.0,0.0,0.0,False,0.23176288604736328,0.23176288604736328,True,False,False,False,True
p03316,Description_Reason,0.0,0.0,0.0,False,0.12251049280166626,0.12251049280166626,True,False,False,False,True
p03316,Description_Simple,0.0,0.0,0.0,False,0.07005730271339417,0.07005730271339417,True,False,False,False,True
p02958,Description_Fewshot,0.0,0.0,0.0,False,0.2482856810092926,0.2482856810092926,True,False,False,False,True
p02958,Description_Reason,0.0,0.0,0.0,False,0.2282208949327469,0.2282208949327469,True,False,False,False,True
p02958,Description_Simple,0.0,0.0,0.0,False,0.1348332166671753,0.1348332166671753,True,False,False,False,True
p02407,Description_Fewshot,0.0,0.0,0.0,False,0.4580569863319397,0.4580569863319397,True,False,False,False,True
p02407,Description_Reason,0.0,0.0,0.0,False,0.5551745295524597,0.5551745295524597,False,False,True,False,False
p02407,Description_Simple,0.5,0.0,0.25,False,0.5340357422828674,0.28403574228286743,False,False,True,False,False
p02391,Description_Fewshot,0.0,0.0,0.0,False,0.2850304841995239,0.2850304841995239,True,False,False,False,True
p02391,Description_Reason,0.0,0.0,0.0,False,0.608489990234375,0.608489990234375,False,False,True,False,False
p02391,Description_Simple,0.5,0.0,0.25,False,0.6933517456054688,0.44335174560546875,False,False,True,False,False
p02988,Description_Fewshot,0.0,0.0,0.0,False,0.09099657833576202,0.09099657833576202,True,False,False,False,True
p02988,Description_Reason,0.0,0.5,0.25,False,0.4321153461933136,0.1821153461933136,True,False,False,False,True
p02988,Description_Simple,0.0,0.0,0.0,False,0.4329340159893036,0.4329340159893036,True,False,False,False,True
p02394,Description_Fewshot,0.0,0.0,0.0,False,0.12502740323543549,0.12502740323543549,True,False,False,False,True
p02394,Description_Reason,0.0,0.0,0.0,False,0.25095391273498535,0.25095391273498535,True,False,False,False,True
p02394,Description_Simple,0.0,0.0,0.0,False,0.2676446735858917,0.2676446735858917,True,False,False,False,True
p03416,Description_Fewshot,0.5,0.0,0.25,False,0.4382321238517761,0.18823212385177612,True,False,False,False,True
p03416,Description_Reason,0.0,0.0,0.0,False,0.029454898089170456,0.029454898089170456,True,False,False,False,True
p03416,Description_Simple,0.0,0.0,0.0,False,0.09895241260528564,0.09895241260528564,True,False,False,False,True
p03632,Description_Fewshot,0.0,0.0,0.0,False,0.054223839193582535,0.054223839193582535,True,False,False,False,True
p03632,Description_Reason,0.0,0.5,0.25,False,0.7492434978485107,0.49924349784851074,False,False,True,False,False
p03632,Description_Simple,0.0,0.0,0.0,False,0.5157808661460876,0.5157808661460876,False,False,True,False,False
p02410,Description_Fewshot,0.0,0.0,0.0,False,0.09220802783966064,0.09220802783966064,True,False,False,False,True
p02410,Description_Reason,0.0,0.0,0.0,False,0.09447507560253143,0.09447507560253143,True,False,False,False,True
p02410,Description_Simple,0.0,0.0,0.0,False,0.17576245963573456,0.17576245963573456,True,False,False,False,True
p02971,Description_Fewshot,0.0,0.0,0.0,False,0.0768706351518631,0.0768706351518631,True,False,False,False,True
p02971,Description_Reason,0.0,0.0,0.0,False,0.5112981200218201,0.5112981200218201,False,False,True,False,False
p02971,Description_Simple,0.0,0.0,0.0,False,0.5398454070091248,0.5398454070091248,False,False,True,False,False
p03456,Description_Fewshot,0.0,0.0,0.0,False,0.23381437361240387,0.23381437361240387,True,False,False,False,True
p03456,Description_Reason,0.0,0.0,0.0,False,0.2759860157966614,0.2759860157966614,True,False,False,False,True
