Sub_Directory,Description_Type,LLM_GPT4.5_Score,LLM_Claude_Score,LLM_Average_Score,LLM_Consensus,ST_Similarity_Score,Score_Difference,Agreement,LLM_Success,ST_Success,Both_Success,Neither_Success
p00003,Description_Detailed,0.1,0.3,0.2,False,0.6233441829681396,0.42334418296813964,False,False,True,False,False
p00003,Description_Fewshot,0.3,0.1,0.2,False,0.6336220502853394,0.43362205028533934,False,False,True,False,False
p00003,Description_Reason,0.1,0.3,0.2,False,0.4909314513206482,0.2909314513206482,True,False,False,False,True
p00003,Description_Simple,0.1,0.1,0.1,False,0.4946296215057373,0.3946296215057373,True,False,False,False,True
p00003,Description_Vague,0.3,0.1,0.2,False,0.21672573685646057,0.01672573685646056,True,False,False,False,True
p02413,Description_Detailed,0.3,0.1,0.2,False,0.605871319770813,0.405871319770813,False,False,True,False,False
p02413,Description_Fewshot,0.1,0.1,0.1,False,0.7582526206970215,0.6582526206970215,False,False,True,False,False
p02413,Description_Reason,0.1,0.1,0.1,False,0.5745110511779785,0.47451105117797854,False,False,True,False,False
p02413,Description_Simple,0.1,0.1,0.1,False,0.57978755235672,0.47978755235672,False,False,True,False,False
p02413,Description_Vague,0.0,0.0,0.0,False,0.5866028070449829,0.5866028070449829,False,False,True,False,False
p03720,Description_Detailed,0.0,0.0,0.0,False,0.11069468408823013,0.11069468408823013,True,False,False,False,True
p03720,Description_Fewshot,0.0,0.0,0.0,False,0.11862550675868988,0.11862550675868988,True,False,False,False,True
p03720,Description_Reason,0.1,0.0,0.05,False,0.08948051184415817,0.03948051184415817,True,False,False,False,True
p03720,Description_Simple,0.0,0.0,0.0,False,0.12180086225271225,0.12180086225271225,True,False,False,False,True
p03720,Description_Vague,0.0,0.0,0.0,False,0.10530959069728851,0.10530959069728851,True,False,False,False,True
p03043,Description_Detailed,0.0,0.0,0.0,False,0.2057424932718277,0.2057424932718277,True,False,False,False,True
p03043,Description_Fewshot,0.0,0.0,0.0,False,0.19048096239566803,0.19048096239566803,True,False,False,False,True
p03043,Description_Reason,0.0,0.0,0.0,False,0.25504153966903687,0.25504153966903687,True,False,False,False,True
p03043,Description_Simple,0.0,0.0,0.0,False,0.22523392736911774,0.22523392736911774,True,False,False,False,True
p03043,Description_Vague,0.0,0.0,0.0,False,0.264628529548645,0.264628529548645,True,False,False,False,True
p02881,Description_Detailed,0.0,0.0,0.0,False,0.2112593650817871,0.2112593650817871,True,False,False,False,True
p02881,Description_Fewshot,0.0,0.0,0.0,False,0.25538572669029236,0.25538572669029236,True,False,False,False,True
p02881,Description_Reason,0.0,0.0,0.0,False,0.18940922617912292,0.18940922617912292,True,False,False,False,True
p02881,Description_Simple,0.0,0.0,0.0,False,0.3505367934703827,0.3505367934703827,True,False,False,False,True
p02881,Description_Vague,0.0,0.0,0.0,False,0.24290722608566284,0.24290722608566284,True,False,False,False,True
p02731,Description_Detailed,0.0,0.0,0.0,False,0.24740716814994812,0.24740716814994812,True,False,False,False,True
p02731,Description_Fewshot,0.0,0.0,0.0,False,0.15984012186527252,0.15984012186527252,True,False,False,False,True
p02731,Description_Reason,0.0,0.0,0.0,False,0.3056826889514923,0.3056826889514923,True,False,False,False,True
p02731,Description_Simple,0.0,0.0,0.0,False,0.27559804916381836,0.27559804916381836,True,False,False,False,True
p02731,Description_Vague,0.0,0.0,0.0,False,0.21778947114944458,0.21778947114944458,True,False,False,False,True
p03435,Description_Detailed,0.0,0.0,0.0,False,0.42298269271850586,0.42298269271850586,True,False,False,False,True
p03435,Description_Fewshot,0.0,0.0,0.0,False,0.4066784977912903,0.4066784977912903,True,False,False,False,True
p03435,Description_Reason,0.0,0.0,0.0,False,0.3423079550266266,0.3423079550266266,True,False,False,False,True
p03435,Description_Simple,0.0,0.0,0.0,False,0.3044671416282654,0.3044671416282654,True,False,False,False,True
p03435,Description_Vague,0.0,0.0,0.0,False,0.28438955545425415,0.28438955545425415,True,False,False,False,True
p02718,Description_Detailed,0.0,0.0,0.0,False,0.11068718880414963,0.11068718880414963,True,False,False,False,True
p02718,Description_Fewshot,0.0,0.0,0.0,False,0.04863690584897995,0.04863690584897995,True,False,False,False,True
p02718,Description_Reason,0.0,0.0,0.0,False,0.3515452444553375,0.3515452444553375,True,False,False,False,True
p02718,Description_Simple,0.0,0.0,0.0,False,0.48316940665245056,0.48316940665245056,True,False,False,False,True
p02718,Description_Vague,0.0,0.0,0.0,False,0.16084326803684235,0.16084326803684235,True,False,False,False,True
p03835,Description_Detailed,0.0,0.0,0.0,False,0.15737885236740112,0.15737885236740112,True,False,False,False,True
p03835,Description_Fewshot,0.0,0.0,0.0,False,0.29197198152542114,0.29197198152542114,True,False,False,False,True
p03835,Description_Reason,0.0,0.0,0.0,False,0.26455652713775635,0.26455652713775635,True,False,False,False,True
p03835,Description_Simple,0.0,0.0,0.0,False,0.21332068741321564,0.21332068741321564,True,False,False,False,True
p03835,Description_Vague,0.0,0.1,0.05,False,0.35971173644065857,0.3097117364406586,True,False,False,False,True
p02983,Description_Detailed,0.0,0.0,0.0,False,0.067777618765831,0.067777618765831,True,False,False,False,True
p02983,Description_Fewshot,0.0,0.0,0.0,False,0.503692626953125,0.503692626953125,False,False,True,False,False
p02983,Description_Reason,0.0,0.0,0.0,False,0.11832818388938904,0.11832818388938904,True,False,False,False,True
p02983,Description_Simple,0.0,0.0,0.0,False,0.4153090715408325,0.4153090715408325,True,False,False,False,True
p02983,Description_Vague,0.0,0.0,0.0,False,0.3459058701992035,0.3459058701992035,True,False,False,False,True
p02724,Description_Detailed,0.0,0.0,0.0,False,0.17696888744831085,0.17696888744831085,True,False,False,False,True
p02724,Description_Fewshot,0.0,0.0,0.0,False,0.029408566653728485,0.029408566653728485,True,False,False,False,True
p02724,Description_Reason,0.0,0.1,0.05,False,0.09460128098726273,0.04460128098726272,True,False,False,False,True
p02724,Description_Simple,0.0,0.0,0.0,False,0.12326502799987793,0.12326502799987793,True,False,False,False,True
p02724,Description_Vague,0.0,0.0,0.0,False,0.08731843531131744,0.08731843531131744,True,False,False,False,True
p02258,Description_Detailed,0.0,0.0,0.0,False,0.6040168404579163,0.6040168404579163,False,False,True,False,False
p02258,Description_Fewshot,0.1,0.0,0.05,False,0.44349321722984314,0.39349321722984315,True,False,False,False,True
p02258,Description_Reason,0.1,0.0,0.05,False,0.6111770868301392,0.5611770868301391,False,False,True,False,False
p02258,Description_Simple,0.0,0.0,0.0,False,0.6354822516441345,0.6354822516441345,False,False,True,False,False
p02258,Description_Vague,0.0,0.1,0.05,False,0.23540659248828888,0.1854065924882889,True,False,False,False,True
p04012,Description_Detailed,0.0,0.0,0.0,False,0.340201199054718,0.340201199054718,True,False,False,False,True
p04012,Description_Fewshot,0.0,0.0,0.0,False,0.4747408926486969,0.4747408926486969,True,False,False,False,True
p04012,Description_Reason,0.0,0.0,0.0,False,0.29080650210380554,0.29080650210380554,True,False,False,False,True
p04012,Description_Simple,0.0,0.0,0.0,False,0.25907596945762634,0.25907596945762634,True,False,False,False,True
p04012,Description_Vague,0.0,0.0,0.0,False,0.22201907634735107,0.22201907634735107,True,False,False,False,True
p02390,Description_Detailed,0.0,0.0,0.0,False,0.4144730567932129,0.4144730567932129,True,False,False,False,True
p02390,Description_Fewshot,0.0,0.0,0.0,False,0.28270918130874634,0.28270918130874634,True,False,False,False,True
p02390,Description_Reason,0.0,0.0,0.0,False,0.3223830461502075,0.3223830461502075,True,False,False,False,True
p02390,Description_Simple,0.0,0.0,0.0,False,0.36913853883743286,0.36913853883743286,True,False,False,False,True
p02390,Description_Vague,0.0,0.0,0.0,False,0.3331448435783386,0.3331448435783386,True,False,False,False,True
p03324,Description_Detailed,0.0,0.0,0.0,False,0.20897893607616425,0.20897893607616425,True,False,False,False,True
p03324,Description_Fewshot,0.0,0.1,0.05,False,0.28254327178001404,0.23254327178001405,True,False,False,False,True
p03324,Description_Reason,0.0,0.0,0.0,False,0.32673394680023193,0.32673394680023193,True,False,False,False,True
p03324,Description_Simple,0.0,0.0,0.0,False,0.30379676818847656,0.30379676818847656,True,False,False,False,True
p03324,Description_Vague,0.1,0.0,0.05,False,0.5563721656799316,0.5063721656799316,False,False,True,False,False
p03632,Description_Detailed,0.0,0.0,0.0,False,0.2364407479763031,0.2364407479763031,True,False,False,False,True
p03632,Description_Fewshot,0.0,0.0,0.0,False,0.30570968985557556,0.30570968985557556,True,False,False,False,True
p03632,Description_Reason,0.0,0.0,0.0,False,0.25853562355041504,0.25853562355041504,True,False,False,False,True
p03632,Description_Simple,0.0,0.0,0.0,False,0.2707282304763794,0.2707282304763794,True,False,False,False,True
p03632,Description_Vague,0.1,0.0,0.05,False,0.15945516526699066,0.10945516526699066,True,False,False,False,True
p02951,Description_Detailed,0.0,0.0,0.0,False,0.08871383965015411,0.08871383965015411,True,False,False,False,True
p02951,Description_Fewshot,0.0,0.0,0.0,False,0.0158994197845459,0.0158994197845459,True,False,False,False,True
p02951,Description_Reason,0.0,0.0,0.0,False,0.10060173273086548,0.10060173273086548,True,False,False,False,True
p02951,Description_Simple,0.0,0.0,0.0,False,0.07900316268205643,0.07900316268205643,True,False,False,False,True
p02951,Description_Vague,0.0,0.0,0.0,False,0.04630386456847191,0.04630386456847191,True,False,False,False,True
p02922,Description_Detailed,0.0,0.0,0.0,False,0.22914794087409973,0.22914794087409973,True,False,False,False,True
p02922,Description_Fewshot,0.0,0.0,0.0,False,0.24734531342983246,0.24734531342983246,True,False,False,False,True
p02922,Description_Reason,0.0,0.0,0.0,False,0.28996920585632324,0.28996920585632324,True,False,False,False,True
p02922,Description_Simple,0.0,0.9,0.45,False,0.202854722738266,0.24714527726173402,True,False,False,False,True
p02922,Description_Vague,0.9,0.1,0.5,True,0.16793972253799438,0.3320602774620056,False,True,False,False,False
p02730,Description_Detailed,0.0,0.0,0.0,False,0.4026162922382355,0.4026162922382355,True,False,False,False,True
p02730,Description_Fewshot,0.0,0.0,0.0,False,0.34530603885650635,0.34530603885650635,True,False,False,False,True
p02730,Description_Reason,0.0,0.0,0.0,False,0.4040728807449341,0.4040728807449341,True,False,False,False,True
p02730,Description_Simple,0.0,0.0,0.0,False,0.3942451477050781,0.3942451477050781,True,False,False,False,True
p02730,Description_Vague,0.0,0.0,0.0,False,0.3740648031234741,0.3740648031234741,True,False,False,False,True
p03449,Description_Detailed,0.0,0.0,0.0,False,0.40260040760040283,0.40260040760040283,True,False,False,False,True
p03449,Description_Fewshot,0.0,0.0,0.0,False,0.3371952772140503,0.3371952772140503,True,False,False,False,True
p03449,Description_Reason,0.0,0.0,0.0,False,0.45436039566993713,0.45436039566993713,True,False,False,False,True
p03449,Description_Simple,0.0,0.0,0.0,False,0.48378777503967285,0.48378777503967285,True,False,False,False,True
p03449,Description_Vague,0.0,0.0,0.0,False,0.2694823443889618,0.2694823443889618,True,False,False,False,True
p02571,Description_Detailed,0.0,0.0,0.0,False,0.26556116342544556,0.26556116342544556,True,False,False,False,True
p02571,Description_Fewshot,0.0,0.0,0.0,False,0.45253047347068787,0.45253047347068787,True,False,False,False,True
p02571,Description_Reason,0.0,0.0,0.0,False,0.4196786880493164,0.4196786880493164,True,False,False,False,True
p02571,Description_Simple,0.0,0.0,0.0,False,0.43624645471572876,0.43624645471572876,True,False,False,False,True
p02571,Description_Vague,0.0,0.0,0.0,False,0.3379639983177185,0.3379639983177185,True,False,False,False,True
p02577,Description_Detailed,0.1,0.0,0.05,False,0.15301981568336487,0.10301981568336487,True,False,False,False,True
p02577,Description_Fewshot,0.1,0.0,0.05,False,0.2635701894760132,0.2135701894760132,True,False,False,False,True
p02577,Description_Reason,0.0,0.1,0.05,False,0.13882245123386383,0.08882245123386383,True,False,False,False,True
p02577,Description_Simple,0.0,0.1,0.05,False,0.16118186712265015,0.11118186712265014,True,False,False,False,True
p02577,Description_Vague,0.0,0.0,0.0,False,0.42763271927833557,0.42763271927833557,True,False,False,False,True
p02399,Description_Detailed,0.0,0.0,0.0,False,0.6290055513381958,0.6290055513381958,False,False,True,False,False
p02399,Description_Fewshot,0.0,0.4,0.2,False,0.6097865104675293,0.4097865104675293,False,False,True,False,False
p02399,Description_Reason,0.4,0.0,0.2,False,0.5604883432388306,0.36048834323883056,False,False,True,False,False
p02399,Description_Simple,0.1,0.1,0.1,False,0.6045306921005249,0.5045306921005249,False,False,True,False,False
p02399,Description_Vague,0.0,0.0,0.0,False,0.5567194819450378,0.5567194819450378,False,False,True,False,False
p03680,Description_Detailed,0.1,0.1,0.1,False,0.25373685359954834,0.15373685359954833,True,False,False,False,True
p03680,Description_Fewshot,0.1,0.0,0.05,False,0.23177406191825867,0.18177406191825868,True,False,False,False,True
p03680,Description_Reason,0.0,0.1,0.05,False,0.2078237533569336,0.1578237533569336,True,False,False,False,True
p03680,Description_Simple,0.0,0.1,0.05,False,0.2053583264350891,0.15535832643508912,True,False,False,False,True
p03680,Description_Vague,0.1,0.0,0.05,False,0.16387276351451874,0.11387276351451874,True,False,False,False,True
p02701,Description_Detailed,1.0,0.0,0.5,True,0.17848655581474304,0.32151344418525696,False,True,False,False,False
p02701,Description_Fewshot,0.0,0.1,0.05,False,0.1659260392189026,0.11592603921890259,True,False,False,False,True
p02701,Description_Reason,0.1,0.7,0.39999999999999997,False,0.21068134903907776,0.1893186509609222,True,False,False,False,True
