model,GPT-4o,GPT-3.5,O4-mini,Gemini,Llama-70B,Mistral,DeepSeek-V3.1,DeepSeek-R1,DeepSeek-V4-Pro,QwenCoder,Qwen3.7,Claude-5,GLM-5,Kimi-K2.7,GPT-5
GPT-4o,0,16.0061,11.2805,12.1951,15.3963,13.1098,11.128,12.9573,10.8232,9.29878,13.2622,10.6707,10.8397,12.9573,12.1951
GPT-3.5,16.0061,0,16.6159,15.3963,15.8537,16.6159,14.6341,17.9878,17.9878,14.0244,17.378,15.7012,16.7939,16.7683,19.0549
O4-mini,11.2805,16.6159,0,11.8902,16.6159,11.8902,10.5183,12.3476,12.6524,9.29878,13.872,11.2805,10.8397,10.2134,11.2805
Gemini,12.1951,15.3963,11.8902,0,14.7866,13.4146,12.6524,11.7378,10.8232,12.9573,11.4329,10.6707,8.70229,10.5183,11.5854
Llama-70B,15.3963,15.8537,16.6159,14.7866,0,15.3963,16.4634,17.9878,17.378,15.2439,18.2927,15.7012,15.8779,16.1585,14.7866
Mistral,13.1098,16.6159,11.8902,13.4146,15.3963,0,12.3476,14.4817,15.3963,12.3476,15.3963,10.9756,12.9771,14.1768,12.1951
DeepSeek-V3.1,11.128,14.6341,10.5183,12.6524,16.4634,12.3476,0,14.3293,13.1098,11.2805,13.4146,12.6524,12.2137,13.1098,12.9573
DeepSeek-R1,12.9573,17.9878,12.3476,11.7378,17.9878,14.4817,14.3293,0,10.9756,13.1098,12.8049,11.128,11.2977,10.3659,13.5671
DeepSeek-V4-Pro,10.8232,17.9878,12.6524,10.8232,17.378,15.3963,13.1098,10.9756,0,13.4146,14.0244,9.60366,11.2977,10.3659,12.0427
QwenCoder,9.29878,14.0244,9.29878,12.9573,15.2439,12.3476,11.2805,13.1098,13.4146,0,13.7195,12.3476,11.6031,13.7195,12.3476
Qwen3.7,13.2622,17.378,13.872,11.4329,18.2927,15.3963,13.4146,12.8049,14.0244,13.7195,0,12.6524,10.687,12.8049,13.2622
Claude-5,10.6707,15.7012,11.2805,10.6707,15.7012,10.9756,12.6524,11.128,9.60366,12.3476,12.6524,0,11.145,9.60366,9.7561
GLM-5,10.8397,16.7939,10.8397,8.70229,15.8779,12.9771,12.2137,11.2977,11.2977,11.6031,10.687,11.145,0,9.77099,9.92366
Kimi-K2.7,12.9573,16.7683,10.2134,10.5183,16.1585,14.1768,13.1098,10.3659,10.3659,13.7195,12.8049,9.60366,9.77099,0,10.8232
GPT-5,12.1951,19.0549,11.2805,11.5854,14.7866,12.1951,12.9573,13.5671,12.0427,12.3476,13.2622,9.7561,9.92366,10.8232,0
