Sub_Directory,Description_Type,LLM_GPT4.5_Score,LLM_Claude_Score,LLM_Average_Score,LLM_Consensus,ST_Similarity_Score,Score_Difference,Agreement,LLM_Success,ST_Success,Both_Success,Neither_Success
p02921,Description_Detailed,0.0,0.3,0.15,False,0.19099090993404388,0.04099090993404389,True,False,False,False,True
p02921,Description_Fewshot,0.0,0.0,0.0,False,0.1921083778142929,0.1921083778142929,True,False,False,False,True
p02921,Description_Reason,0.3,0.0,0.15,False,0.17193271219730377,0.021932712197303778,True,False,False,False,True
p02921,Description_Simple,0.4,0.0,0.2,False,0.6067211627960205,0.4067211627960205,False,False,True,False,False
p02921,Description_Vague,0.1,0.0,0.05,False,0.2658120393753052,0.2158120393753052,True,False,False,False,True
p02419,Description_Detailed,0.0,0.4,0.2,False,0.16389480233192444,0.03610519766807557,True,False,False,False,True
p02419,Description_Fewshot,0.0,0.1,0.05,False,0.2560529410839081,0.2060529410839081,True,False,False,False,True
p02419,Description_Reason,0.1,0.1,0.1,False,0.3398117423057556,0.2398117423057556,True,False,False,False,True
p02419,Description_Simple,0.0,0.0,0.0,False,0.5488747358322144,0.5488747358322144,False,False,True,False,False
p02419,Description_Vague,0.0,0.1,0.05,False,0.5009104013442993,0.4509104013442993,False,False,True,False,False
p03107,Description_Detailed,0.1,0.0,0.05,False,0.12827765941619873,0.07827765941619873,True,False,False,False,True
p03107,Description_Fewshot,0.0,0.3,0.15,False,0.2153906226158142,0.06539062261581421,True,False,False,False,True
p03107,Description_Reason,0.3,0.0,0.15,False,0.16715379059314728,0.017153790593147283,True,False,False,False,True
p03107,Description_Simple,0.0,0.0,0.0,False,0.3758743405342102,0.3758743405342102,True,False,False,False,True
p03107,Description_Vague,0.0,0.0,0.0,False,0.25784832239151,0.25784832239151,True,False,False,False,True
p02256,Description_Detailed,0.3,0.0,0.15,False,0.4223385453224182,0.2723385453224182,True,False,False,False,True
p02256,Description_Fewshot,0.6,0.0,0.3,False,0.1380286067724228,0.1619713932275772,True,False,False,False,True
p02256,Description_Reason,0.0,0.1,0.05,False,0.3099709451198578,0.2599709451198578,True,False,False,False,True
p02256,Description_Simple,0.1,1.0,0.55,True,0.7418702840805054,0.19187028408050533,True,True,True,True,False
p02256,Description_Vague,0.0,0.0,0.0,False,0.6098155379295349,0.6098155379295349,False,False,True,False,False
p02801,Description_Detailed,0.0,0.6,0.3,False,0.07124894857406616,0.22875105142593383,True,False,False,False,True
p02801,Description_Fewshot,0.0,0.0,0.0,False,0.07421146333217621,0.07421146333217621,True,False,False,False,True
p02801,Description_Reason,0.0,0.3,0.15,False,0.19064676761627197,0.04064676761627198,True,False,False,False,True
p02801,Description_Simple,1.0,0.0,0.5,True,0.2249010056257248,0.2750989943742752,False,True,False,False,False
p02801,Description_Vague,0.0,0.1,0.05,False,0.20117716491222382,0.15117716491222383,True,False,False,False,True
p02766,Description_Detailed,0.0,0.0,0.0,False,0.18435315787792206,0.18435315787792206,True,False,False,False,True
p02766,Description_Fewshot,0.1,0.0,0.05,False,0.16044685244560242,0.11044685244560241,True,False,False,False,True
p02766,Description_Reason,0.0,0.9,0.45,False,0.2583684027194977,0.19163159728050233,True,False,False,False,True
p02766,Description_Simple,0.0,0.0,0.0,False,0.2946353852748871,0.2946353852748871,True,False,False,False,True
p02766,Description_Vague,0.9,0.0,0.45,False,0.4669948220252991,0.01699482202529906,True,False,False,False,True
p04043,Description_Detailed,1.0,0.0,0.5,True,0.29539093375205994,0.20460906624794006,False,True,False,False,False
p04043,Description_Fewshot,0.0,1.0,0.5,True,0.06240471452474594,0.43759528547525406,False,True,False,False,False
p04043,Description_Reason,0.0,0.0,0.0,False,0.03293275088071823,0.03293275088071823,True,False,False,False,True
p04043,Description_Simple,1.0,0.0,0.5,True,0.3185935914516449,0.1814064085483551,False,True,False,False,False
p04043,Description_Vague,0.0,1.0,0.5,True,0.5123463869094849,0.012346386909484863,True,True,True,True,False
p02753,Description_Detailed,0.0,0.0,0.0,False,0.22499510645866394,0.22499510645866394,True,False,False,False,True
p02753,Description_Fewshot,0.0,0.0,0.0,False,0.025924768298864365,0.025924768298864365,True,False,False,False,True
p02753,Description_Reason,0.0,0.0,0.0,False,0.16522502899169922,0.16522502899169922,True,False,False,False,True
p02753,Description_Simple,0.0,0.0,0.0,False,0.23925471305847168,0.23925471305847168,True,False,False,False,True
p02753,Description_Vague,0.0,0.0,0.0,False,0.18880774080753326,0.18880774080753326,True,False,False,False,True
p03000,Description_Detailed,0.9,0.9,0.9,True,0.2189929485321045,0.6810070514678955,False,True,False,False,False
p03000,Description_Fewshot,0.0,0.0,0.0,False,0.11199147999286652,0.11199147999286652,True,False,False,False,True
p03000,Description_Reason,0.0,0.0,0.0,False,0.3882424831390381,0.3882424831390381,True,False,False,False,True
p03000,Description_Simple,0.0,0.0,0.0,False,0.0770406574010849,0.0770406574010849,True,False,False,False,True
p03000,Description_Vague,0.0,0.0,0.0,False,0.04738644137978554,0.04738644137978554,True,False,False,False,True
p03471,Description_Detailed,0.0,0.1,0.05,False,0.19302494823932648,0.1430249482393265,True,False,False,False,True
p03471,Description_Fewshot,0.0,0.0,0.0,False,0.10826495289802551,0.10826495289802551,True,False,False,False,True
p03471,Description_Reason,0.0,0.0,0.0,False,0.09973925352096558,0.09973925352096558,True,False,False,False,True
p03471,Description_Simple,0.1,0.0,0.05,False,0.3436179459095001,0.29361794590950013,True,False,False,False,True
p03471,Description_Vague,0.0,0.0,0.0,False,0.1928444504737854,0.1928444504737854,True,False,False,False,True
p03146,Description_Detailed,0.0,0.0,0.0,False,0.1760587841272354,0.1760587841272354,True,False,False,False,True
