Sub_Directory,Description_Type,LLM_GPT4o_Score,LLM_Claude_Score,LLM_Average_Score,LLM_Consensus,ST_Similarity_Score,Score_Difference,Agreement,LLM_Success,ST_Success,Both_Success,Neither_Success
p03146,Description_Detailed,0.9,0.9,0.9,True,0.44216978549957275,0.45783021450042727,False,True,False,False,False
p03146,Description_Fewshot,0.6,0.9,0.75,True,0.48288631439208984,0.26711368560791016,False,True,False,False,False
p03146,Description_Reason,0.6,0.6,0.6,True,0.39949095249176025,0.20050904750823972,False,True,False,False,False
p03146,Description_Simple,0.1,0.1,0.1,False,0.4825093150138855,0.3825093150138855,True,False,False,False,True
p03146,Description_Vague,0.9,0.9,0.9,True,0.4829738140106201,0.4170261859893799,False,True,False,False,False
p02622,Description_Detailed,0.9,0.9,0.9,True,0.4150903820991516,0.4849096179008484,False,True,False,False,False
p02622,Description_Fewshot,0.9,0.6,0.75,True,0.42997249960899353,0.32002750039100647,False,True,False,False,False
p02622,Description_Reason,0.9,0.9,0.9,True,0.41197505593299866,0.48802494406700136,False,True,False,False,False
p02622,Description_Simple,0.6,0.9,0.75,True,0.4108259379863739,0.3391740620136261,False,True,False,False,False
p02622,Description_Vague,0.9,0.9,0.9,True,0.5291417837142944,0.3708582162857056,True,True,True,True,False
p02263,Description_Detailed,0.9,0.6,0.75,True,0.7468432188034058,0.0031567811965942383,True,True,True,True,False
p02263,Description_Fewshot,0.6,0.6,0.6,True,0.806038498878479,0.20603849887847903,True,True,True,True,False
p02263,Description_Reason,0.8,0.9,0.8500000000000001,True,0.7369047999382019,0.11309520006179818,True,True,True,True,False
p02263,Description_Simple,0.9,0.9,0.9,True,0.8572238087654114,0.042776191234588645,True,True,True,True,False
p02263,Description_Vague,0.9,0.9,0.9,True,0.7291111946105957,0.17088880538940432,True,True,True,True,False
p02707,Description_Detailed,0.9,0.9,0.9,True,0.3891623616218567,0.5108376383781433,False,True,False,False,False
p02707,Description_Fewshot,0.9,0.6,0.75,True,0.44106215238571167,0.30893784761428833,False,True,False,False,False
p02707,Description_Reason,0.9,0.9,0.9,True,0.39971277117729187,0.5002872288227082,False,True,False,False,False
p02707,Description_Simple,0.9,0.9,0.9,True,0.3997555077075958,0.5002444922924042,False,True,False,False,False
p02707,Description_Vague,0.9,0.9,0.9,True,0.3967951536178589,0.5032048463821411,False,True,False,False,False
p03814,Description_Detailed,0.9,0.9,0.9,True,0.5084213614463806,0.3915786385536194,True,True,True,True,False
p03814,Description_Fewshot,0.9,0.9,0.9,True,0.6154188513755798,0.2845811486244202,True,True,True,True,False
p03814,Description_Reason,0.9,0.9,0.9,True,0.5638920664787292,0.3361079335212708,True,True,True,True,False
p03814,Description_Simple,0.9,0.9,0.9,True,0.5813724398612976,0.3186275601387024,True,True,True,True,False
p03814,Description_Vague,0.0,0.0,0.0,False,0.5680035352706909,0.5680035352706909,False,False,True,False,False
p02981,Description_Detailed,0.1,0.0,0.05,False,0.07584719359874725,0.02584719359874725,True,False,False,False,True
p02981,Description_Fewshot,0.0,0.1,0.05,False,0.2005353420972824,0.15053534209728242,True,False,False,False,True
p02981,Description_Reason,0.1,0.9,0.5,True,0.14809195697307587,0.35190804302692413,False,True,False,False,False
p02981,Description_Simple,0.0,0.1,0.05,False,0.18344949185848236,0.13344949185848237,True,False,False,False,True
p02981,Description_Vague,0.9,0.1,0.5,True,0.0771729052066803,0.4228270947933197,False,True,False,False,False
p00003,Description_Detailed,0.6,0.9,0.75,True,0.7474403977394104,0.0025596022605895996,True,True,True,True,False
p00003,Description_Fewshot,0.9,0.9,0.9,True,0.7677325010299683,0.13226749897003176,True,True,True,True,False
p00003,Description_Reason,0.7,0.9,0.8,True,0.710896372795105,0.08910362720489506,True,True,True,True,False
p00003,Description_Simple,0.9,0.9,0.9,True,0.7687926292419434,0.13120737075805666,True,True,True,True,False
p00003,Description_Vague,0.9,0.9,0.9,True,0.622988760471344,0.27701123952865603,True,True,True,True,False
p02879,Description_Detailed,0.9,0.7,0.8,True,0.46619361639022827,0.3338063836097718,False,True,False,False,False
p02879,Description_Fewshot,0.9,0.1,0.5,True,0.38864943385124207,0.11135056614875793,False,True,False,False,False
p02879,Description_Reason,0.9,0.9,0.9,True,0.21927231550216675,0.6807276844978333,False,True,False,False,False
p02879,Description_Simple,0.9,0.6,0.75,True,0.3574250638484955,0.3925749361515045,False,True,False,False,False
p02879,Description_Vague,0.1,0.9,0.5,True,0.11188732087612152,0.3881126791238785,False,True,False,False,False
p02753,Description_Detailed,0.1,0.1,0.1,False,0.21063874661922455,0.11063874661922454,True,False,False,False,True
p02753,Description_Fewshot,0.1,0.8,0.45,False,0.42051804065704346,0.029481959342956554,True,False,False,False,True
p02753,Description_Reason,0.0,0.0,0.0,False,0.32272055745124817,0.32272055745124817,True,False,False,False,True
p02753,Description_Simple,0.4,0.1,0.25,False,0.4643508493900299,0.2143508493900299,True,False,False,False,True
p02753,Description_Vague,0.9,0.6,0.75,True,0.3931363523006439,0.3568636476993561,False,True,False,False,False
p02847,Description_Detailed,0.9,0.9,0.9,True,0.6380987763404846,0.2619012236595154,True,True,True,True,False
p02847,Description_Fewshot,0.9,0.9,0.9,True,0.6317393183708191,0.26826068162918093,True,True,True,True,False
p02847,Description_Reason,0.9,0.9,0.9,True,0.5997236967086792,0.3002763032913208,True,True,True,True,False
p02847,Description_Simple,0.9,0.9,0.9,True,0.5849533081054688,0.31504669189453127,True,True,True,True,False
p02847,Description_Vague,0.9,0.9,0.9,True,0.6362448334693909,0.26375516653060915,True,True,True,True,False
p02688,Description_Detailed,0.9,0.9,0.9,True,0.5735968351364136,0.32640316486358645,True,True,True,True,False
p02688,Description_Fewshot,0.9,0.9,0.9,True,0.5386263132095337,0.36137368679046633,True,True,True,True,False
p02688,Description_Reason,0.9,0.9,0.9,True,0.5749183893203735,0.3250816106796265,True,True,True,True,False
p02688,Description_Simple,0.9,0.9,0.9,True,0.5594857931137085,0.3405142068862915,True,True,True,True,False
p02688,Description_Vague,0.9,0.6,0.75,True,0.5149722695350647,0.2350277304649353,True,True,True,True,False
p02699,Description_Detailed,0.6,0.6,0.6,True,0.7192724943161011,0.1192724943161011,True,True,True,True,False
p02699,Description_Fewshot,0.6,0.7,0.6499999999999999,True,0.7382321357727051,0.08823213577270517,True,True,True,True,False
p02699,Description_Reason,0.6,0.6,0.6,True,0.7476398944854736,0.14763989448547366,True,True,True,True,False
p02699,Description_Simple,0.6,0.9,0.75,True,0.8074420690536499,0.0574420690536499,True,True,True,True,False
p02699,Description_Vague,0.6,0.6,0.6,True,0.7035882472991943,0.10358824729919436,True,True,True,True,False
