Sub_Directory,Description_Type,Judge_1_Score,Judge_2_Score,Judge_3_Score,LLM_Average_Score,LLM_Consensus,ST_Similarity_Score,Score_Difference,Agreement,LLM_Success,ST_Success,Both_Success,Neither_Success
mbpp_0159,Description_Simple,1.0,1.0,1.0,1.0,True,0.5498253703117371,0.45017462968826294,True,True,True,True,False
mbpp_0771,Description_Simple,1.0,1.0,1.0,1.0,True,0.46639853715896606,0.5336014628410339,False,True,False,False,False
mbpp_0189,Description_Simple,1.0,1.0,1.0,1.0,True,0.6614013314247131,0.33859866857528687,True,True,True,True,False
mbpp_0323,Description_Simple,0.9,0.9,0.9,0.9,True,0.6251490116119385,0.27485098838806155,True,True,True,True,False
mbpp_0522,Description_Simple,1.0,1.0,1.0,1.0,True,0.846896231174469,0.153103768825531,True,True,True,True,False
mbpp_0776,Description_Simple,0.0,0.0,0.0,0.0,False,0.6410199403762817,0.6410199403762817,False,False,True,False,False
mbpp_0245,Description_Simple,1.0,1.0,1.0,1.0,True,0.5935028791427612,0.40649712085723877,True,True,True,True,False
mbpp_0039,Description_Simple,1.0,1.0,1.0,1.0,True,0.6382754445075989,0.3617245554924011,True,True,True,True,False
mbpp_0123,Description_Simple,1.0,1.0,1.0,1.0,True,0.6169447302818298,0.38305526971817017,True,True,True,True,False
mbpp_0515,Description_Simple,1.0,1.0,1.0,1.0,True,0.6093871593475342,0.3906128406524658,True,True,True,True,False
mbpp_0069,Description_Simple,1.0,1.0,1.0,1.0,True,0.5154881477355957,0.4845118522644043,True,True,True,True,False
mbpp_0223,Description_Simple,0.9,0.9,0.9,0.9,True,0.6952950358390808,0.2047049641609192,True,True,True,True,False
mbpp_0747,Description_Simple,0.9,0.9,0.9,0.9,True,0.7655726671218872,0.13442733287811282,True,True,True,True,False
mbpp_0423,Description_Simple,1.0,1.0,1.0,1.0,True,0.5855458974838257,0.4144541025161743,True,True,True,True,False
mbpp_0408,Description_Simple,0.4,0.4,0.4,0.4,False,0.5999822020530701,0.19998220205307005,False,False,True,False,False
mbpp_0838,Description_Simple,0.7,0.7,0.7,0.7,True,0.7053397297859192,0.005339729785919234,True,True,True,True,False
mbpp_0628,Description_Simple,0.9,0.9,0.9,0.9,True,0.5213042497634888,0.37869575023651125,True,True,True,True,False
mbpp_0940,Description_Simple,1.0,1.0,1.0,1.0,True,0.6879502534866333,0.3120497465133667,True,True,True,True,False
mbpp_0315,Description_Simple,0.2,0.2,0.2,0.2,False,0.6247360706329346,0.42473607063293456,False,False,True,False,False
mbpp_0387,Description_Simple,1.0,1.0,1.0,1.0,True,0.7069778442382812,0.29302215576171875,True,True,True,True,False
mbpp_0152,Description_Simple,1.0,1.0,1.0,1.0,True,0.6403963565826416,0.3596036434173584,True,True,True,True,False
mbpp_0901,Description_Simple,1.0,1.0,1.0,1.0,True,0.6044245958328247,0.3955754041671753,True,True,True,True,False
mbpp_0516,Description_Simple,1.0,1.0,1.0,1.0,True,0.596979558467865,0.403020441532135,True,True,True,True,False
mbpp_0834,Description_Simple,0.2,0.2,0.2,0.2,False,0.7323424816131592,0.5323424816131592,False,False,True,False,False
mbpp_0898,Description_Simple,0.2,0.2,0.2,0.2,False,0.5125670433044434,0.31256704330444335,False,False,True,False,False
mbpp_0938,Description_Simple,1.0,1.0,1.0,1.0,True,0.7598953247070312,0.24010467529296875,True,True,True,True,False
mbpp_0665,Description_Simple,0.1,0.1,0.1,0.1,False,0.5069149732589722,0.4069149732589722,False,False,True,False,False
mbpp_0501,Description_Simple,0.4,0.4,0.4,0.4,False,0.7040867805480957,0.3040867805480957,False,False,True,False,False
mbpp_0149,Description_Simple,1.0,1.0,1.0,1.0,True,0.7640696167945862,0.23593038320541382,True,True,True,True,False
mbpp_0060,Description_Simple,0.4,0.4,0.4,0.4,False,0.7473616600036621,0.3473616600036621,False,False,True,False,False
mbpp_0822,Description_Simple,0.7,0.7,0.7,0.7,True,0.5510705709457397,0.1489294290542602,True,True,True,True,False
mbpp_0548,Description_Simple,1.0,1.0,1.0,1.0,True,0.7063131928443909,0.29368680715560913,True,True,True,True,False
mbpp_0550,Description_Simple,0.4,0.4,0.4,0.4,False,0.5135831832885742,0.1135831832885742,False,False,True,False,False
mbpp_0523,Description_Simple,0.6,0.6,0.6,0.6,True,0.391515851020813,0.208484148979187,False,True,False,False,False
mbpp_0524,Description_Simple,1.0,1.0,1.0,1.0,True,0.7418603301048279,0.2581396698951721,True,True,True,True,False
mbpp_0468,Description_Simple,1.0,1.0,1.0,1.0,True,0.8305436968803406,0.16945630311965942,True,True,True,True,False
mbpp_0068,Description_Simple,1.0,1.0,1.0,1.0,True,0.8104078769683838,0.1895921230316162,True,True,True,True,False
mbpp_0926,Description_Simple,1.0,1.0,1.0,1.0,True,0.6597965955734253,0.3402034044265747,True,True,True,True,False
mbpp_0881,Description_Simple,1.0,1.0,1.0,1.0,True,0.6449164152145386,0.3550835847854614,True,True,True,True,False
mbpp_0755,Description_Simple,0.7,0.7,0.7,0.7,True,0.5108441710472107,0.18915582895278926,True,True,True,True,False
mbpp_0455,Description_Simple,0.0,0.0,0.0,0.0,False,0.5853043794631958,0.5853043794631958,False,False,True,False,False
mbpp_0907,Description_Simple,0.6,0.6,0.6,0.6,True,0.6855149269104004,0.08551492691040041,True,True,True,True,False
mbpp_0866,Description_Simple,0.0,0.0,0.0,0.0,False,0.473812460899353,0.473812460899353,True,False,False,False,True
mbpp_0850,Description_Simple,0.0,0.0,0.0,0.0,False,0.47044479846954346,0.47044479846954346,True,False,False,False,True
mbpp_0463,Description_Simple,1.0,1.0,1.0,1.0,True,0.7051149606704712,0.2948850393295288,True,True,True,True,False
mbpp_0453,Description_Simple,1.0,1.0,1.0,1.0,True,0.706242024898529,0.29375797510147095,True,True,True,True,False
mbpp_0074,Description_Simple,0.4,0.4,0.4,0.4,False,0.48024263978004456,0.08024263978004453,True,False,False,False,True
mbpp_0031,Description_Simple,0.9,0.9,0.9,0.9,True,0.714458703994751,0.18554129600524905,True,True,True,True,False
mbpp_0854,Description_Simple,0.4,0.4,0.4,0.4,False,0.5449873208999634,0.14498732089996336,False,False,True,False,False
mbpp_0469,Description_Simple,1.0,1.0,1.0,1.0,True,0.6858967542648315,0.31410324573516846,True,True,True,True,False
mbpp_0113,Description_Simple,0.8,0.8,0.8,0.8,True,0.6191977858543396,0.18080221414566044,True,True,True,True,False
mbpp_0129,Description_Simple,0.0,0.0,0.0,0.0,False,0.6363710761070251,0.6363710761070251,False,False,True,False,False
mbpp_0306,Description_Simple,0.2,0.2,0.2,0.2,False,0.6680419445037842,0.46804194450378417,False,False,True,False,False
mbpp_0382,Description_Simple,1.0,1.0,1.0,1.0,True,0.7589669227600098,0.24103307723999023,True,True,True,True,False
mbpp_0639,Description_Simple,0.2,0.2,0.2,0.2,False,0.571408748626709,0.371408748626709,False,False,True,False,False
mbpp_0247,Description_Simple,1.0,1.0,1.0,1.0,True,0.7597865462303162,0.24021345376968384,True,True,True,True,False
mbpp_0239,Description_Simple,0.8,0.8,0.8,0.8,True,0.6010997295379639,0.19890027046203618,True,True,True,True,False
mbpp_0107,Description_Simple,0.2,0.2,0.2,0.2,False,0.6781717538833618,0.4781717538833618,False,False,True,False,False
mbpp_0466,Description_Simple,1.0,1.0,1.0,1.0,True,0.7250311374664307,0.27496886253356934,True,True,True,True,False
mbpp_0689,Description_Simple,1.0,1.0,1.0,1.0,True,0.7902316451072693,0.2097683548927307,True,True,True,True,False
mbpp_0108,Description_Simple,0.7,0.7,0.7,0.7,True,0.6004241108894348,0.09957588911056514,True,True,True,True,False
mbpp_0121,Description_Simple,0.2,0.2,0.2,0.2,False,0.3944249749183655,0.19442497491836547,True,False,False,False,True
mbpp_0826,Description_Simple,0.4,0.4,0.4,0.4,False,0.6897525787353516,0.28975257873535154,False,False,True,False,False
mbpp_0885,Description_Simple,1.0,1.0,1.0,1.0,True,0.7415408492088318,0.2584591507911682,True,True,True,True,False
mbpp_0485,Description_Simple,1.0,1.0,1.0,1.0,True,0.7614192366600037,0.23858076333999634,True,True,True,True,False
mbpp_0181,Description_Simple,0.6,0.6,0.6,0.6,True,0.5987459421157837,0.0012540578842162864,True,True,True,True,False
mbpp_0570,Description_Simple,0.2,0.2,0.2,0.2,False,0.5807555317878723,0.3807555317878723,False,False,True,False,False
mbpp_0231,Description_Simple,1.0,1.0,1.0,1.0,True,0.5812395811080933,0.41876041889190674,True,True,True,True,False
mbpp_0863,Description_Simple,1.0,1.0,1.0,1.0,True,0.7092426419258118,0.29075735807418823,True,True,True,True,False
mbpp_0397,Description_Simple,1.0,1.0,1.0,1.0,True,0.6711924076080322,0.3288075923919678,True,True,True,True,False
mbpp_0685,Description_Simple,1.0,1.0,1.0,1.0,True,0.6293954849243164,0.3706045150756836,True,True,True,True,False
mbpp_0526,Description_Simple,0.8,0.8,0.8,0.8,True,0.7379884123802185,0.06201158761978154,True,True,True,True,False
mbpp_0971,Description_Simple,1.0,1.0,1.0,1.0,True,0.5309621095657349,0.46903789043426514,True,True,True,True,False
mbpp_0745,Description_Simple,0.6,0.6,0.6,0.6,True,0.591806948184967,0.008193051815032937,True,True,True,True,False
mbpp_0632,Description_Simple,1.0,1.0,1.0,1.0,True,0.7655062079429626,0.23449379205703735,True,True,True,True,False
mbpp_0943,Description_Simple,0.8,0.8,0.8,0.8,True,0.5473634600639343,0.2526365399360657,True,True,True,True,False
mbpp_0620,Description_Simple,1.0,1.0,1.0,1.0,True,0.6988195180892944,0.30118048191070557,True,True,True,True,False
