Sub_Directory,Description_Type,Judge_1_Score,Judge_2_Score,Judge_3_Score,LLM_Average_Score,LLM_Consensus,ST_Similarity_Score,Score_Difference,Agreement,LLM_Success,ST_Success,Both_Success,Neither_Success
mbpp_0635,Description_Simple,1.0,1.0,1.0,1.0,True,0.5588093996047974,0.44119060039520264,True,True,True,True,False
mbpp_0408,Description_Simple,0.7,0.7,0.7,0.7,True,0.3332950174808502,0.36670498251914974,False,True,False,False,False
mbpp_0031,Description_Simple,1.0,1.0,1.0,1.0,True,0.6451985836029053,0.3548014163970947,True,True,True,True,False
mbpp_0342,Description_Simple,1.0,1.0,1.0,1.0,True,0.541114330291748,0.45888566970825195,True,True,True,True,False
mbpp_0323,Description_Simple,1.0,1.0,1.0,1.0,True,0.6480066180229187,0.3519933819770813,True,True,True,True,False
mbpp_0771,Description_Simple,0.9,0.9,0.9,0.9,True,0.24798598885536194,0.6520140111446381,False,True,False,False,False
mbpp_0843,Description_Simple,1.0,1.0,1.0,1.0,True,0.634660005569458,0.365339994430542,True,True,True,True,False
mbpp_0159,Description_Simple,0.8,0.8,0.8,0.8,True,0.41086509823799133,0.3891349017620087,False,True,False,False,False
mbpp_0004,Description_Simple,0.9,0.9,0.9,0.9,True,0.6854498982429504,0.21455010175704958,True,True,True,True,False
mbpp_0245,Description_Simple,1.0,1.0,1.0,1.0,True,0.5949397683143616,0.4050602316856384,True,True,True,True,False
mbpp_0039,Description_Simple,0.0,0.0,0.0,0.0,False,0.35907572507858276,0.35907572507858276,True,False,False,False,True
mbpp_0189,Description_Simple,1.0,1.0,1.0,1.0,True,0.6183493733406067,0.3816506266593933,True,True,True,True,False
mbpp_0822,Description_Simple,0.2,0.2,0.2,0.2,False,0.6697445511817932,0.4697445511817932,False,False,True,False,False
mbpp_0522,Description_Simple,1.0,1.0,1.0,1.0,True,0.7701514959335327,0.22984850406646729,True,True,True,True,False
mbpp_0496,Description_Simple,1.0,1.0,1.0,1.0,True,0.7041793465614319,0.2958206534385681,True,True,True,True,False
mbpp_0069,Description_Simple,1.0,1.0,1.0,1.0,True,0.651059091091156,0.348940908908844,True,True,True,True,False
mbpp_0372,Description_Simple,1.0,1.0,1.0,1.0,True,0.7238156199455261,0.2761843800544739,True,True,True,True,False
mbpp_0108,Description_Simple,0.7,0.7,0.7,0.7,True,0.3009943962097168,0.39900560379028316,False,True,False,False,False
mbpp_0209,Description_Simple,0.8,0.8,0.8,0.8,True,0.6463850140571594,0.15361498594284062,True,True,True,True,False
mbpp_0123,Description_Simple,1.0,1.0,1.0,1.0,True,0.40248358249664307,0.5975164175033569,False,True,False,False,False
mbpp_0747,Description_Simple,1.0,1.0,1.0,1.0,True,0.7207977771759033,0.2792022228240967,True,True,True,True,False
mbpp_0223,Description_Simple,1.0,1.0,1.0,1.0,True,0.7045964002609253,0.2954035997390747,True,True,True,True,False
mbpp_0515,Description_Simple,1.0,1.0,1.0,1.0,True,0.6282671689987183,0.37173283100128174,True,True,True,True,False
mbpp_0776,Description_Simple,0.1,0.1,0.1,0.1,False,0.6294483542442322,0.5294483542442322,False,False,True,False,False
mbpp_0423,Description_Simple,1.0,1.0,1.0,1.0,True,0.5286142230033875,0.47138577699661255,True,True,True,True,False
mbpp_0838,Description_Simple,0.7,0.7,0.7,0.7,True,0.35387519001960754,0.3461248099803924,False,True,False,False,False
mbpp_0315,Description_Simple,0.2,0.2,0.2,0.2,False,0.517957329750061,0.317957329750061,False,False,True,False,False
mbpp_0940,Description_Simple,1.0,1.0,1.0,1.0,True,0.70868980884552,0.29131019115448,True,True,True,True,False
mbpp_0938,Description_Simple,1.0,1.0,1.0,1.0,True,0.639594554901123,0.36040544509887695,True,True,True,True,False
mbpp_0501,Description_Simple,0.2,0.2,0.2,0.2,False,0.6021600365638733,0.4021600365638733,False,False,True,False,False
mbpp_0834,Description_Simple,1.0,1.0,1.0,1.0,True,0.8061597943305969,0.19384020566940308,True,True,True,True,False
mbpp_0074,Description_Simple,0.9,0.9,0.9,0.9,True,0.4687691330909729,0.4312308669090271,False,True,False,False,False
mbpp_0306,Description_Simple,0.8,0.8,0.8,0.8,True,0.6139261722564697,0.18607382774353032,True,True,True,True,False
mbpp_0550,Description_Simple,1.0,1.0,1.0,1.0,True,0.7361176013946533,0.2638823986053467,True,True,True,True,False
mbpp_0524,Description_Simple,1.0,1.0,1.0,1.0,True,0.654826819896698,0.345173180103302,True,True,True,True,False
mbpp_0901,Description_Simple,0.1,0.1,0.1,0.1,False,0.5633033514022827,0.46330335140228274,False,False,True,False,False
mbpp_0523,Description_Simple,0.2,0.2,0.2,0.2,False,0.2512633204460144,0.05126332044601439,True,False,False,False,True
mbpp_0811,Description_Simple,1.0,1.0,1.0,1.0,True,0.7325239181518555,0.26747608184814453,True,True,True,True,False
mbpp_0926,Description_Simple,0.7,0.7,0.7,0.7,True,0.4619187116622925,0.23808128833770748,False,True,False,False,False
mbpp_0850,Description_Simple,0.1,0.1,0.1,0.1,False,0.4956936240196228,0.3956936240196228,True,False,False,False,True
mbpp_0247,Description_Simple,1.0,1.0,1.0,1.0,True,0.7972902059555054,0.20270979404449463,True,True,True,True,False
mbpp_0469,Description_Simple,1.0,1.0,1.0,1.0,True,0.7009577751159668,0.2990422248840332,True,True,True,True,False
mbpp_0453,Description_Simple,0.1,0.1,0.1,0.1,False,0.6004369854927063,0.5004369854927063,False,False,True,False,False
mbpp_0463,Description_Simple,0.9,0.9,0.9,0.9,True,0.7197597026824951,0.1802402973175049,True,True,True,True,False
mbpp_0755,Description_Simple,0.7,0.7,0.7,0.7,True,0.7368744611740112,0.036874461174011275,True,True,True,True,False
mbpp_0854,Description_Simple,1.0,1.0,1.0,1.0,True,0.5121008157730103,0.48789918422698975,True,True,True,True,False
mbpp_0382,Description_Simple,1.0,1.0,1.0,1.0,True,0.7193165421485901,0.2806834578514099,True,True,True,True,False
