Sub_Directory,Description_Type,Judge_1_Score,Judge_2_Score,Judge_3_Score,LLM_Average_Score,LLM_Consensus,ST_Similarity_Score,Score_Difference,Agreement,LLM_Success,ST_Success,Both_Success,Neither_Success
mbpp_0635,Description_Simple,1.0,1.0,1.0,1.0,True,0.5092302560806274,0.49076974391937256,True,True,True,True,False
mbpp_0342,Description_Simple,1.0,1.0,1.0,1.0,True,0.5621429681777954,0.4378570318222046,True,True,True,True,False
mbpp_0031,Description_Simple,0.9,0.9,0.9,0.9,True,0.6450308561325073,0.2549691438674927,True,True,True,True,False
mbpp_0408,Description_Simple,0.3,0.3,0.3,0.3,False,0.42134416103363037,0.12134416103363038,True,False,False,False,True
mbpp_0843,Description_Simple,1.0,1.0,1.0,1.0,True,0.7032268643379211,0.29677313566207886,True,True,True,True,False
mbpp_0323,Description_Simple,0.9,0.9,0.9,0.9,True,0.6861910820007324,0.2138089179992676,True,True,True,True,False
mbpp_0771,Description_Simple,0.9,0.9,0.9,0.9,True,0.490185409784317,0.409814590215683,False,True,False,False,False
mbpp_0159,Description_Simple,1.0,1.0,1.0,1.0,True,0.6626753211021423,0.33732467889785767,True,True,True,True,False
mbpp_0004,Description_Simple,0.8,0.8,0.8,0.8,True,0.6828782558441162,0.11712174415588383,True,True,True,True,False
mbpp_0245,Description_Simple,1.0,1.0,1.0,1.0,True,0.6217759251594543,0.37822407484054565,True,True,True,True,False
mbpp_0189,Description_Simple,1.0,1.0,1.0,1.0,True,0.6025545001029968,0.3974454998970032,True,True,True,True,False
mbpp_0039,Description_Simple,0.7,0.7,0.7,0.7,True,0.6601467132568359,0.03985328674316402,True,True,True,True,False
mbpp_0522,Description_Simple,1.0,1.0,1.0,1.0,True,0.8794539570808411,0.12054604291915894,True,True,True,True,False
mbpp_0069,Description_Simple,1.0,1.0,1.0,1.0,True,0.5916547775268555,0.40834522247314453,True,True,True,True,False
mbpp_0496,Description_Simple,0.9,0.9,0.9,0.9,True,0.7277288436889648,0.17227115631103518,True,True,True,True,False
mbpp_0822,Description_Simple,0.4,0.4,0.4,0.4,False,0.6878032684326172,0.28780326843261717,False,False,True,False,False
mbpp_0123,Description_Simple,0.9,0.9,0.9,0.9,True,0.6335355043411255,0.26646449565887453,True,True,True,True,False
mbpp_0209,Description_Simple,1.0,1.0,1.0,1.0,True,0.6218072175979614,0.3781927824020386,True,True,True,True,False
mbpp_0372,Description_Simple,1.0,1.0,1.0,1.0,True,0.7175061702728271,0.28249382972717285,True,True,True,True,False
mbpp_0108,Description_Simple,0.4,0.4,0.4,0.4,False,0.5668248534202576,0.16682485342025755,False,False,True,False,False
mbpp_0747,Description_Simple,1.0,1.0,1.0,1.0,True,0.7981423735618591,0.20185762643814087,True,True,True,True,False
mbpp_0776,Description_Simple,0.4,0.4,0.4,0.4,False,0.7771475315093994,0.3771475315093994,False,False,True,False,False
mbpp_0223,Description_Simple,0.9,0.9,0.9,0.9,True,0.7363662123680115,0.16363378763198855,True,True,True,True,False
mbpp_0515,Description_Simple,1.0,1.0,1.0,1.0,True,0.5685606002807617,0.4314393997192383,True,True,True,True,False
mbpp_0315,Description_Simple,0.9,0.9,0.9,0.9,True,0.8650521039962769,0.03494789600372317,True,True,True,True,False
mbpp_0940,Description_Simple,1.0,1.0,1.0,1.0,True,0.6823137998580933,0.31768620014190674,True,True,True,True,False
mbpp_0423,Description_Simple,1.0,1.0,1.0,1.0,True,0.6803798079490662,0.31962019205093384,True,True,True,True,False
mbpp_0838,Description_Simple,0.5,0.5,0.5,0.5,True,0.6857632398605347,0.18576323986053467,True,True,True,True,False
mbpp_0938,Description_Simple,1.0,1.0,1.0,1.0,True,0.8128769993782043,0.18712300062179565,True,True,True,True,False
mbpp_0834,Description_Simple,1.0,1.0,1.0,1.0,True,0.7733385562896729,0.22666144371032715,True,True,True,True,False
mbpp_0501,Description_Simple,0.3,0.3,0.3,0.3,False,0.6381018161773682,0.3381018161773682,False,False,True,False,False
mbpp_0074,Description_Simple,0.2,0.2,0.2,0.2,False,0.5145583748817444,0.3145583748817444,False,False,True,False,False
mbpp_0550,Description_Simple,0.3,0.3,0.3,0.3,False,0.44629350304603577,0.14629350304603578,True,False,False,False,True
mbpp_0306,Description_Simple,0.6,0.6,0.6,0.6,True,0.6269673705101013,0.02696737051010134,True,True,True,True,False
mbpp_0901,Description_Simple,1.0,1.0,1.0,1.0,True,0.7165952920913696,0.28340470790863037,True,True,True,True,False
mbpp_0524,Description_Simple,1.0,1.0,1.0,1.0,True,0.7048310041427612,0.29516899585723877,True,True,True,True,False
mbpp_0850,Description_Simple,0.0,0.0,0.0,0.0,False,0.5955203771591187,0.5955203771591187,False,False,True,False,False
mbpp_0926,Description_Simple,0.9,0.9,0.9,0.9,True,0.6479803323745728,0.25201966762542727,True,True,True,True,False
mbpp_0523,Description_Simple,0.4,0.4,0.4,0.4,False,0.6126117706298828,0.2126117706298828,False,False,True,False,False
mbpp_0811,Description_Simple,0.4,0.4,0.4,0.4,False,0.5444557666778564,0.14445576667785642,False,False,True,False,False
mbpp_0469,Description_Simple,0.7,0.7,0.7,0.7,True,0.7250670790672302,0.02506707906723027,True,True,True,True,False
mbpp_0247,Description_Simple,1.0,1.0,1.0,1.0,True,0.753938615322113,0.24606138467788696,True,True,True,True,False
mbpp_0463,Description_Simple,1.0,1.0,1.0,1.0,True,0.7686120271682739,0.23138797283172607,True,True,True,True,False
mbpp_0453,Description_Simple,0.2,0.2,0.2,0.2,False,0.6108437776565552,0.41084377765655516,False,False,True,False,False
mbpp_0382,Description_Simple,1.0,1.0,1.0,1.0,True,0.6268264055252075,0.3731735944747925,True,True,True,True,False
mbpp_0755,Description_Simple,0.5,0.5,0.5,0.5,True,0.7600889205932617,0.2600889205932617,True,True,True,True,False
mbpp_0060,Description_Simple,0.4,0.4,0.4,0.4,False,0.8067994117736816,0.4067994117736816,False,False,True,False,False
mbpp_0854,Description_Simple,1.0,1.0,1.0,1.0,True,0.48903873562812805,0.510961264371872,False,True,False,False,False
mbpp_0239,Description_Simple,0.0,0.0,0.0,0.0,False,0.6468350291252136,0.6468350291252136,False,False,True,False,False
mbpp_0107,Description_Simple,0.1,0.1,0.1,0.1,False,0.7006399631500244,0.6006399631500244,False,False,True,False,False
mbpp_0689,Description_Simple,0.9,0.9,0.9,0.9,True,0.8674019575119019,0.03259804248809817,True,True,True,True,False
mbpp_0149,Description_Simple,1.0,1.0,1.0,1.0,True,0.7673450112342834,0.23265498876571655,True,True,True,True,False
mbpp_0826,Description_Simple,0.5,0.5,0.5,0.5,True,0.5687276124954224,0.06872761249542236,True,True,True,True,False
mbpp_0466,Description_Simple,1.0,1.0,1.0,1.0,True,0.7930704951286316,0.2069295048713684,True,True,True,True,False
mbpp_0349,Description_Simple,0.9,0.9,0.9,0.9,True,0.5162438154220581,0.3837561845779419,True,True,True,True,False
mbpp_0121,Description_Simple,0.4,0.4,0.4,0.4,False,0.6983907222747803,0.29839072227478025,False,False,True,False,False
mbpp_0129,Description_Simple,0.1,0.1,0.1,0.1,False,0.6339227557182312,0.5339227557182312,False,False,True,False,False
mbpp_0628,Description_Simple,0.5,0.5,0.5,0.5,True,0.7289168834686279,0.22891688346862793,True,True,True,True,False
mbpp_0485,Description_Simple,0.9,0.9,0.9,0.9,True,0.7027875781059265,0.1972124218940735,True,True,True,True,False
mbpp_0597,Description_Simple,1.0,1.0,1.0,1.0,True,0.6491554975509644,0.35084450244903564,True,True,True,True,False
mbpp_0397,Description_Simple,1.0,1.0,1.0,1.0,True,0.7886006832122803,0.21139931678771973,True,True,True,True,False
mbpp_0152,Description_Simple,1.0,1.0,1.0,1.0,True,0.699610710144043,0.30038928985595703,True,True,True,True,False
mbpp_0054,Description_Simple,1.0,1.0,1.0,1.0,True,0.5487611293792725,0.45123887062072754,True,True,True,True,False
mbpp_0863,Description_Simple,1.0,1.0,1.0,1.0,True,0.7202116847038269,0.2797883152961731,True,True,True,True,False
mbpp_0685,Description_Simple,1.0,1.0,1.0,1.0,True,0.6481835842132568,0.35181641578674316,True,True,True,True,False
mbpp_0885,Description_Simple,1.0,1.0,1.0,1.0,True,0.6514711380004883,0.3485288619995117,True,True,True,True,False
mbpp_0971,Description_Simple,1.0,1.0,1.0,1.0,True,0.7000006437301636,0.2999993562698364,True,True,True,True,False
mbpp_0648,Description_Simple,0.0,0.0,0.0,0.0,False,0.4855213165283203,0.4855213165283203,True,False,False,False,True
mbpp_0256,Description_Simple,1.0,1.0,1.0,1.0,True,0.6191724538803101,0.38082754611968994,True,True,True,True,False
mbpp_0918,Description_Simple,1.0,1.0,1.0,1.0,True,0.6175531148910522,0.38244688510894775,True,True,True,True,False
mbpp_0548,Description_Simple,1.0,1.0,1.0,1.0,True,0.6745966672897339,0.3254033327102661,True,True,True,True,False
mbpp_0468,Description_Simple,1.0,1.0,1.0,1.0,True,0.7976558208465576,0.20234417915344238,True,True,True,True,False
mbpp_0702,Description_Simple,0.0,0.0,0.0,0.0,False,0.5041959881782532,0.5041959881782532,False,False,True,False,False
mbpp_0622,Description_Simple,1.0,1.0,1.0,1.0,True,0.7839123010635376,0.2160876989364624,True,True,True,True,False
mbpp_0751,Description_Simple,1.0,1.0,1.0,1.0,True,0.7477400302886963,0.2522599697113037,True,True,True,True,False
mbpp_0531,Description_Simple,1.0,1.0,1.0,1.0,True,0.7017409205436707,0.29825907945632935,True,True,True,True,False
mbpp_0448,Description_Simple,0.0,0.0,0.0,0.0,False,0.3803942799568176,0.3803942799568176,True,False,False,False,True
mbpp_0717,Description_Simple,0.8,0.8,0.8,0.8,True,0.5711089968681335,0.2288910031318665,True,True,True,True,False
mbpp_0181,Description_Simple,1.0,1.0,1.0,1.0,True,0.7854575514793396,0.2145424485206604,True,True,True,True,False
mbpp_0714,Description_Simple,0.0,0.0,0.0,0.0,False,0.5445893406867981,0.5445893406867981,False,False,True,False,False
mbpp_0386,Description_Simple,1.0,1.0,1.0,1.0,True,0.7734223008155823,0.22657769918441772,True,True,True,True,False
mbpp_0853,Description_Simple,1.0,1.0,1.0,1.0,True,0.6233729720115662,0.37662702798843384,True,True,True,True,False
mbpp_0846,Description_Simple,1.0,1.0,1.0,1.0,True,0.7560450434684753,0.24395495653152466,True,True,True,True,False
mbpp_0516,Description_Simple,1.0,1.0,1.0,1.0,True,0.6057831048965454,0.3942168951034546,True,True,True,True,False
mbpp_0020,Description_Simple,0.0,0.0,0.0,0.0,False,0.6522589325904846,0.6522589325904846,False,False,True,False,False
mbpp_0122,Description_Simple,0.0,0.0,0.0,0.0,False,0.521685004234314,0.521685004234314,False,False,True,False,False
mbpp_0032,Description_Simple,1.0,1.0,1.0,1.0,True,0.7032658457756042,0.29673415422439575,True,True,True,True,False
mbpp_0395,Description_Simple,1.0,1.0,1.0,1.0,True,0.8163378238677979,0.18366217613220215,True,True,True,True,False
mbpp_0856,Description_Simple,0.0,0.0,0.0,0.0,False,0.6526834964752197,0.6526834964752197,False,False,True,False,False
mbpp_0684,Description_Simple,0.4,0.4,0.4,0.4,False,0.6552417874336243,0.25524178743362425,False,False,True,False,False
mbpp_0492,Description_Simple,1.0,1.0,1.0,1.0,True,0.6500834822654724,0.3499165177345276,True,True,True,True,False
mbpp_0001,Description_Simple,0.7,0.7,0.7,0.7,True,0.7474998831748962,0.047499883174896285,True,True,True,True,False
mbpp_0231,Description_Simple,0.9,0.9,0.9,0.9,True,0.6607067584991455,0.23929324150085451,True,True,True,True,False
mbpp_0283,Description_Simple,1.0,1.0,1.0,1.0,True,0.47697633504867554,0.5230236649513245,False,True,False,False,False
mbpp_0351,Description_Simple,1.0,1.0,1.0,1.0,True,0.647246241569519,0.35275375843048096,True,True,True,True,False
mbpp_0071,Description_Simple,1.0,1.0,1.0,1.0,True,0.6612409949302673,0.33875900506973267,True,True,True,True,False
mbpp_0415,Description_Simple,1.0,1.0,1.0,1.0,True,0.8396539688110352,0.16034603118896484,True,True,True,True,False
mbpp_0374,Description_Simple,0.4,0.4,0.4,0.4,False,0.6395173072814941,0.23951730728149412,False,False,True,False,False
mbpp_0506,Description_Simple,1.0,1.0,1.0,1.0,True,0.6222548484802246,0.3777451515197754,True,True,True,True,False
mbpp_0428,Description_Simple,1.0,1.0,1.0,1.0,True,0.6044180393218994,0.3955819606781006,True,True,True,True,False
mbpp_0922,Description_Simple,1.0,1.0,1.0,1.0,True,0.7781631946563721,0.22183680534362793,True,True,True,True,False
mbpp_0576,Description_Simple,1.0,1.0,1.0,1.0,True,0.6514541506767273,0.3485458493232727,True,True,True,True,False
mbpp_0769,Description_Simple,0.4,0.4,0.4,0.4,False,0.615935742855072,0.215935742855072,False,False,True,False,False
mbpp_0721,Description_Simple,0.4,0.4,0.4,0.4,False,0.688644289970398,0.2886442899703979,False,False,True,False,False
mbpp_0377,Description_Simple,1.0,1.0,1.0,1.0,True,0.7905225157737732,0.2094774842262268,True,True,True,True,False
mbpp_0034,Description_Simple,0.9,0.9,0.9,0.9,True,0.6600924730300903,0.2399075269699097,True,True,True,True,False
mbpp_0898,Description_Simple,0.0,0.0,0.0,0.0,False,0.6516045928001404,0.6516045928001404,False,False,True,False,False
mbpp_0130,Description_Simple,0.8,0.8,0.8,0.8,True,0.7329748868942261,0.06702511310577397,True,True,True,True,False
mbpp_0029,Description_Simple,0.9,0.9,0.9,0.9,True,0.7107920050621033,0.18920799493789675,True,True,True,True,False
mbpp_0207,Description_Simple,0.2,0.2,0.2,0.2,False,0.792098343372345,0.592098343372345,False,False,True,False,False
mbpp_0937,Description_Simple,1.0,1.0,1.0,1.0,True,0.7657400369644165,0.2342599630355835,True,True,True,True,False
mbpp_0304,Description_Simple,0.4,0.4,0.4,0.4,False,0.66929030418396,0.26929030418395994,False,False,True,False,False
mbpp_0438,Description_Simple,1.0,1.0,1.0,1.0,True,0.6249170899391174,0.37508291006088257,True,True,True,True,False
