Sub_Directory,Description_Type,Judge_1_Score,Judge_2_Score,Judge_3_Score,LLM_Average_Score,LLM_Consensus,ST_Similarity_Score,Score_Difference,Agreement,LLM_Success,ST_Success,Both_Success,Neither_Success
p00001,Description_Simple,0.7,0.7,0.7,0.7,True,0.7124314904212952,0.01243149042129521,True,True,True,True,False
p00002,Description_Simple,0.8,0.8,0.8,0.8,True,0.49472686648368835,0.3052731335163117,False,True,False,False,False
p00003,Description_Simple,0.9,0.9,0.9,0.9,True,0.517694354057312,0.382305645942688,True,True,True,True,False
p00006,Description_Simple,0.7,0.7,0.7,0.7,True,0.2764835059642792,0.4235164940357208,False,True,False,False,False
p00007,Description_Simple,0.2,0.2,0.2,0.2,False,0.33849743008613586,0.13849743008613585,True,False,False,False,True
p00005,Description_Simple,0.3,0.3,0.3,0.3,False,0.5285887718200684,0.22858877182006837,False,False,True,False,False
p00011,Description_Simple,0.6,0.6,0.6,0.6,True,0.28582242131233215,0.3141775786876678,False,True,False,False,False
p02256,Description_Simple,1.0,1.0,1.0,1.0,True,0.6737563014030457,0.32624369859695435,True,True,True,True,False
p02264,Description_Simple,0.3,0.3,0.3,0.3,False,0.37572190165519714,0.07572190165519715,True,False,False,False,True
p02257,Description_Simple,0.0,0.0,0.0,0.0,False,0.48117369413375854,0.48117369413375854,True,False,False,False,True
p02268,Description_Simple,0.0,0.0,0.0,0.0,False,0.13362284004688263,0.13362284004688263,True,False,False,False,True
p02263,Description_Simple,0.8,0.8,0.8,0.8,True,0.40165627002716064,0.3983437299728394,False,True,False,False,False
p02255,Description_Simple,1.0,1.0,1.0,1.0,True,0.6163205504417419,0.38367944955825806,True,True,True,True,False
p02260,Description_Simple,1.0,1.0,1.0,1.0,True,0.7080540657043457,0.2919459342956543,True,True,True,True,False
p02259,Description_Simple,1.0,1.0,1.0,1.0,True,0.7494925856590271,0.2505074143409729,True,True,True,True,False
p02258,Description_Simple,0.2,0.2,0.2,0.2,False,0.4254775643348694,0.22547756433486937,True,False,False,False,True
p02381,Description_Simple,0.8,0.8,0.8,0.8,True,0.6220971345901489,0.17790286540985112,True,True,True,True,False
p02390,Description_Simple,0.9,0.9,0.9,0.9,True,0.4466034770011902,0.45339652299880984,False,True,False,False,False
p02392,Description_Simple,0.7,0.7,0.7,0.7,True,0.5664762258529663,0.13352377414703365,True,True,True,True,False
p02394,Description_Simple,0.3,0.3,0.3,0.3,False,0.3003077507019043,0.000307750701904308,True,False,False,False,True
p02400,Description_Simple,1.0,1.0,1.0,1.0,True,0.7455804944038391,0.2544195055961609,True,True,True,True,False
p02398,Description_Simple,0.8,0.8,0.8,0.8,True,0.27077746391296387,0.5292225360870362,False,True,False,False,False
p02389,Description_Simple,0.2,0.2,0.2,0.2,False,0.13507628440856934,0.06492371559143068,True,False,False,False,True
p02396,Description_Simple,0.8,0.8,0.8,0.8,True,0.31875959038734436,0.4812404096126557,False,True,False,False,False
p02393,Description_Simple,1.0,1.0,1.0,1.0,True,0.713761568069458,0.286238431930542,True,True,True,True,False
p02397,Description_Simple,0.9,0.9,0.9,0.9,True,0.44670939445495605,0.45329060554504397,False,True,False,False,False
p02401,Description_Simple,0.9,0.9,0.9,0.9,True,0.623025119304657,0.27697488069534304,True,True,True,True,False
p02404,Description_Simple,0.6,0.6,0.6,0.6,True,0.339289128780365,0.260710871219635,False,True,False,False,False
p02402,Description_Simple,1.0,1.0,1.0,1.0,True,0.5789490938186646,0.42105090618133545,True,True,True,True,False
p02388,Description_Simple,0.3,0.3,0.3,0.3,False,0.4039548635482788,0.10395486354827882,True,False,False,False,True
p02399,Description_Simple,1.0,1.0,1.0,1.0,True,0.512910008430481,0.48708999156951904,True,True,True,True,False
p02403,Description_Simple,0.6,0.6,0.6,0.6,True,0.26693981885910034,0.33306018114089964,False,True,False,False,False
p02406,Description_Simple,0.7,0.7,0.7,0.7,True,0.23481713235378265,0.4651828676462173,False,True,False,False,False
p02405,Description_Simple,0.6,0.6,0.6,0.6,True,0.3137369155883789,0.28626308441162107,False,True,False,False,False
p02409,Description_Simple,0.6,0.6,0.6,0.6,True,0.5916376113891602,0.008362388610839822,True,True,True,True,False
p02412,Description_Simple,0.9,0.9,0.9,0.9,True,0.4501664936542511,0.4498335063457489,False,True,False,False,False
p02410,Description_Simple,0.9,0.9,0.9,0.9,True,0.4540673494338989,0.4459326505661011,False,True,False,False,False
p02418,Description_Simple,0.9,0.9,0.9,0.9,True,0.6204757690429688,0.27952423095703127,True,True,True,True,False
p02408,Description_Simple,0.2,0.2,0.2,0.2,False,0.5949061512947083,0.39490615129470824,False,False,True,False,False
p02420,Description_Simple,0.9,0.9,0.9,0.9,True,0.3569667339324951,0.5430332660675049,False,True,False,False,False
p02411,Description_Simple,0.4,0.4,0.4,0.4,False,0.36213231086730957,0.03786768913269045,True,False,False,False,True
