model,GPT-4o,GPT-3.5,O4-mini,Gemini,Llama-70B,Mistral,DeepSeek-V3.1,DeepSeek-R1,DeepSeek-V4-Pro,QwenCoder,Qwen3.7,Claude-5,GLM-5,Kimi-K2.7,GPT-5
GPT-4o,70.7865,71.9101,78.6517,73.0337,70.7865,74.1573,83.1461,84.2697,80.8989,77.5281,86.5169,82.0225,84.2697,84.2697,73.0337
GPT-3.5,71.9101,35.9551,68.5393,44.9438,37.0787,53.9326,75.2809,75.2809,74.1573,61.7978,77.5281,76.4045,77.5281,76.4045,48.3146
O4-mini,78.6517,68.5393,66.2921,68.5393,67.4157,71.9101,77.5281,75.2809,78.6517,78.6517,80.8989,82.0225,78.6517,77.5281,69.6629
Gemini,73.0337,44.9438,68.5393,15.7303,26.9663,53.9326,74.1573,71.9101,74.1573,59.5506,75.2809,76.4045,76.4045,77.5281,40.4494
Llama-70B,70.7865,37.0787,67.4157,26.9663,16.8539,48.3146,73.0337,70.7865,73.0337,57.3034,75.2809,74.1573,76.4045,75.2809,35.9551
Mistral,74.1573,53.9326,71.9101,53.9326,48.3146,48.3146,78.6517,75.2809,78.6517,66.2921,83.1461,77.5281,82.0225,76.4045,52.809
DeepSeek-V3.1,83.1461,75.2809,77.5281,74.1573,73.0337,78.6517,73.0337,78.6517,78.6517,83.1461,80.8989,82.0225,79.7753,82.0225,75.2809
DeepSeek-R1,84.2697,75.2809,75.2809,71.9101,70.7865,75.2809,78.6517,69.6629,80.8989,82.0225,82.0225,80.8989,79.7753,80.8989,71.9101
DeepSeek-V4-Pro,80.8989,74.1573,78.6517,74.1573,73.0337,78.6517,78.6517,80.8989,70.7865,82.0225,80.8989,82.0225,82.0225,84.2697,75.2809
QwenCoder,77.5281,61.7978,78.6517,59.5506,57.3034,66.2921,83.1461,82.0225,82.0225,56.1798,84.2697,83.1461,85.3933,84.2697,60.6742
Qwen3.7,86.5169,77.5281,80.8989,75.2809,75.2809,83.1461,80.8989,82.0225,80.8989,84.2697,74.1573,83.1461,79.7753,83.1461,77.5281
Claude-5,82.0225,76.4045,82.0225,76.4045,74.1573,77.5281,82.0225,80.8989,82.0225,83.1461,83.1461,74.1573,82.0225,83.1461,76.4045
GLM-5,84.2697,77.5281,78.6517,76.4045,76.4045,82.0225,79.7753,79.7753,82.0225,85.3933,79.7753,82.0225,75.2809,83.1461,77.5281
Kimi-K2.7,84.2697,76.4045,77.5281,77.5281,75.2809,76.4045,82.0225,80.8989,84.2697,84.2697,83.1461,83.1461,83.1461,75.2809,77.5281
GPT-5,73.0337,48.3146,69.6629,40.4494,35.9551,52.809,75.2809,71.9101,75.2809,60.6742,77.5281,76.4045,77.5281,77.5281,34.8315
