model,GPT-4o,GPT-3.5,O4-mini,Gemini,Llama-70B,Mistral,DeepSeek-V3.1,DeepSeek-R1,DeepSeek-V4-Pro,QwenCoder,Qwen3.7,Claude-5,GLM-5,Kimi-K2.7,GPT-5
GPT-4o,1,0.304878,0.511029,0.175258,0.269461,0.494253,0.5375,0.488971,0.565401,0.553191,0.530075,0.525692,0.519031,0.517857,0.483146
GPT-3.5,0.304878,1,0.199203,0.102804,0.36,0.388889,0.233333,0.184739,0.225352,0.348148,0.197581,0.215859,0.179211,0.193182,0.305085
O4-mini,0.511029,0.199203,1,0.225681,0.186508,0.350195,0.640288,0.757143,0.665455,0.419476,0.764286,0.677305,0.813793,0.815603,0.365759
Gemini,0.175258,0.102804,0.225681,1,0.16,0.163121,0.202643,0.211765,0.211454,0.166667,0.210117,0.213389,0.207746,0.223048,0.183099
Llama-70B,0.269461,0.36,0.186508,0.16,1,0.357798,0.206573,0.181452,0.204651,0.304348,0.189516,0.201754,0.172043,0.176692,0.345133
Mistral,0.494253,0.388889,0.350195,0.163121,0.357798,1,0.40553,0.369478,0.395455,0.530201,0.339844,0.376068,0.325088,0.357143,0.515152
DeepSeek-V3.1,0.5375,0.233333,0.640288,0.202643,0.206573,0.40553,1,0.717557,0.684211,0.471616,0.680297,0.683594,0.686411,0.684588,0.423963
DeepSeek-R1,0.488971,0.184739,0.757143,0.211765,0.181452,0.369478,0.717557,1,0.692884,0.429119,0.730496,0.679856,0.805556,0.78169,0.369048
DeepSeek-V4-Pro,0.565401,0.225352,0.665455,0.211454,0.204651,0.395455,0.684211,0.692884,1,0.461207,0.675277,0.62782,0.670103,0.667845,0.43318
QwenCoder,0.553191,0.348148,0.419476,0.166667,0.304348,0.530201,0.471616,0.429119,0.461207,1,0.442308,0.45082,0.408304,0.408602,0.477707
Qwen3.7,0.530075,0.197581,0.764286,0.210117,0.189516,0.339844,0.680297,0.730496,0.675277,0.442308,1,0.68705,0.8125,0.782456,0.355469
Claude-5,0.525692,0.215859,0.677305,0.213389,0.201754,0.376068,0.683594,0.679856,0.62782,0.45082,0.68705,1,0.715753,0.685121,0.352697
GLM-5,0.519031,0.179211,0.813793,0.207746,0.172043,0.325088,0.686411,0.805556,0.670103,0.408304,0.8125,0.715753,1,0.836735,0.343972
Kimi-K2.7,0.517857,0.193182,0.815603,0.223048,0.176692,0.357143,0.684588,0.78169,0.667845,0.408602,0.782456,0.685121,0.836735,1,0.36194
GPT-5,0.483146,0.305085,0.365759,0.183099,0.345133,0.515152,0.423963,0.369048,0.43318,0.477707,0.355469,0.352697,0.343972,0.36194,1
