Sub_Directory,Description_Type,LLM_GPT4o_Score,LLM_Claude_Score,LLM_Average_Score,LLM_Consensus,ST_Similarity_Score,Score_Difference,Agreement,LLM_Success,ST_Success,Both_Success,Neither_Success
p02994,Description_Detailed,0.2,0.6,0.4,False,0.3135094940662384,0.08649050593376162,True,False,False,False,True
p02994,Description_Fewshot,0.0,0.0,0.0,False,0.45757055282592773,0.45757055282592773,True,False,False,False,True
p02994,Description_Reason,0.0,0.9,0.45,False,0.2546025812625885,0.1953974187374115,True,False,False,False,True
p02994,Description_Simple,0.9,0.0,0.45,False,0.3792816400527954,0.0707183599472046,True,False,False,False,True
p02994,Description_Vague,0.6,0.6,0.6,True,0.2506091296672821,0.3493908703327179,False,True,False,False,False
p02922,Description_Detailed,0.9,0.0,0.45,False,0.514205813407898,0.06420581340789794,False,False,True,False,False
p02922,Description_Fewshot,0.9,0.9,0.9,True,0.4375016391277313,0.4624983608722687,False,True,False,False,False
p02922,Description_Reason,0.9,0.2,0.55,True,0.3718101978302002,0.17818980216979985,False,True,False,False,False
p02922,Description_Simple,0.9,0.9,0.9,True,0.5588619709014893,0.34113802909851076,True,True,True,True,False
p02922,Description_Vague,0.9,0.6,0.75,True,0.3418058156967163,0.4081941843032837,False,True,False,False,False
p02414,Description_Detailed,0.9,0.9,0.9,True,0.5930086970329285,0.30699130296707156,True,True,True,True,False
p02414,Description_Fewshot,0.0,0.9,0.45,False,0.583315372467041,0.133315372467041,False,False,True,False,False
p02414,Description_Reason,0.5,0.9,0.7,True,0.40544387698173523,0.2945561230182647,False,True,False,False,False
p02414,Description_Simple,0.6,0.9,0.75,True,0.5914273262023926,0.15857267379760742,True,True,True,True,False
p02414,Description_Vague,0.9,0.6,0.75,True,0.5517957210540771,0.19820427894592285,True,True,True,True,False
p03854,Description_Detailed,0.8,0.6,0.7,True,0.45059746503829956,0.2494025349617004,False,True,False,False,False
p03854,Description_Fewshot,0.6,0.6,0.6,True,0.5098713636398315,0.09012863636016843,True,True,True,True,False
p03854,Description_Reason,0.1,0.6,0.35,False,0.3427748680114746,0.007225131988525368,True,False,False,False,True
p03854,Description_Simple,0.2,0.1,0.15000000000000002,False,0.40330201387405396,0.25330201387405393,True,False,False,False,True
p03854,Description_Vague,0.0,0.2,0.1,False,0.49307361245155334,0.39307361245155337,True,False,False,False,True
p03324,Description_Detailed,0.2,0.8,0.5,True,0.26936981081962585,0.23063018918037415,False,True,False,False,False
p03324,Description_Fewshot,0.6,0.6,0.6,True,0.2805936336517334,0.3194063663482666,False,True,False,False,False
p03324,Description_Reason,0.6,0.2,0.4,False,0.42421862483024597,0.02421862483024595,True,False,False,False,True
p03324,Description_Simple,0.0,0.6,0.3,False,0.385999470949173,0.08599947094917298,True,False,False,False,True
p03324,Description_Vague,0.9,0.2,0.55,True,0.3628515899181366,0.18714841008186345,False,True,False,False,False
p02970,Description_Detailed,0.6,0.6,0.6,True,0.024792462587356567,0.5752075374126434,False,True,False,False,False
p02970,Description_Fewshot,0.3,0.2,0.25,False,0.24423380196094513,0.005766198039054871,True,False,False,False,True
p02970,Description_Reason,0.0,0.6,0.3,False,0.09478626400232315,0.20521373599767684,True,False,False,False,True
p02970,Description_Simple,0.2,0.0,0.1,False,0.353449285030365,0.253449285030365,True,False,False,False,True
p02970,Description_Vague,0.6,0.0,0.3,False,-0.020991357043385506,0.3209913570433855,True,False,False,False,True
p02771,Description_Detailed,0.9,0.9,0.9,True,0.3875774145126343,0.5124225854873657,False,True,False,False,False
p02771,Description_Fewshot,0.9,0.9,0.9,True,0.5782023072242737,0.32179769277572634,True,True,True,True,False
p02771,Description_Reason,0.9,0.9,0.9,True,0.5020797848701477,0.3979202151298523,True,True,True,True,False
p02771,Description_Simple,0.9,0.9,0.9,True,0.5866329073905945,0.31336709260940554,True,True,True,True,False
p02771,Description_Vague,0.9,0.9,0.9,True,0.5849047303199768,0.3150952696800232,True,True,True,True,False
p02258,Description_Detailed,0.9,0.9,0.9,True,0.6369061470031738,0.2630938529968262,True,True,True,True,False
p02258,Description_Fewshot,0.9,0.9,0.9,True,0.6952812075614929,0.2047187924385071,True,True,True,True,False
p02258,Description_Reason,0.0,0.6,0.3,False,0.5938345789909363,0.2938345789909363,False,False,True,False,False
p02258,Description_Simple,0.9,0.9,0.9,True,0.6168078184127808,0.28319218158721926,True,True,True,True,False
p02258,Description_Vague,0.9,0.7,0.8,True,0.633797287940979,0.16620271205902104,True,True,True,True,False
p02682,Description_Detailed,0.0,0.9,0.45,False,0.27532845735549927,0.17467154264450074,True,False,False,False,True
p02682,Description_Fewshot,0.9,0.9,0.9,True,0.3028877377510071,0.5971122622489929,False,True,False,False,False
p02682,Description_Reason,0.9,0.9,0.9,True,0.21449607610702515,0.6855039238929749,False,True,False,False,False
p02682,Description_Simple,0.6,0.9,0.75,True,0.26641568541526794,0.48358431458473206,False,True,False,False,False
p02682,Description_Vague,0.9,0.0,0.45,False,0.15346062183380127,0.29653937816619874,True,False,False,False,True
p02677,Description_Detailed,0.1,0.0,0.05,False,0.5207625031471252,0.47076250314712526,False,False,True,False,False
p02677,Description_Fewshot,0.0,0.9,0.45,False,0.5330938696861267,0.0830938696861267,False,False,True,False,False
p02677,Description_Reason,0.9,0.9,0.9,True,0.3241840600967407,0.5758159399032593,False,True,False,False,False
p02677,Description_Simple,0.9,0.9,0.9,True,0.5445526242256165,0.35544737577438357,True,True,True,True,False
p02677,Description_Vague,0.0,0.0,0.0,False,0.42339879274368286,0.42339879274368286,True,False,False,False,True
p02628,Description_Detailed,0.9,0.1,0.5,True,0.5227302312850952,0.022730231285095215,True,True,True,True,False
p02628,Description_Fewshot,0.8,0.2,0.5,True,0.5458126664161682,0.04581266641616821,True,True,True,True,False
p02628,Description_Reason,0.0,0.9,0.45,False,0.5069444179534912,0.0569444179534912,False,False,True,False,False
p02628,Description_Simple,0.9,0.0,0.45,False,0.535515308380127,0.08551530838012694,False,False,True,False,False
p02628,Description_Vague,0.0,0.9,0.45,False,0.33395814895629883,0.11604185104370118,True,False,False,False,True
p03814,Description_Detailed,0.9,0.9,0.9,True,0.17683438956737518,0.7231656104326248,False,True,False,False,False
p03814,Description_Fewshot,0.2,0.9,0.55,True,0.5069699287414551,0.043030071258544966,True,True,True,True,False
p03814,Description_Reason,0.9,0.7,0.8,True,0.3521510064601898,0.4478489935398102,False,True,False,False,False
p03814,Description_Simple,0.9,0.9,0.9,True,0.5046165585517883,0.3953834414482117,True,True,True,True,False
p03814,Description_Vague,0.9,0.1,0.5,True,0.24247197806835175,0.25752802193164825,False,True,False,False,False
p02959,Description_Detailed,0.1,0.0,0.05,False,0.12485642731189728,0.07485642731189728,True,False,False,False,True
p02959,Description_Fewshot,0.1,0.1,0.1,False,0.09097886085510254,0.009021139144897466,True,False,False,False,True
p02959,Description_Reason,0.0,0.0,0.0,False,0.06668851524591446,0.06668851524591446,True,False,False,False,True
p02959,Description_Simple,0.0,0.0,0.0,False,0.17542149126529694,0.17542149126529694,True,False,False,False,True
p02959,Description_Vague,0.0,0.0,0.0,False,0.060903552919626236,0.060903552919626236,True,False,False,False,True
p03220,Description_Detailed,0.0,0.0,0.0,False,0.14533625543117523,0.14533625543117523,True,False,False,False,True
p03220,Description_Fewshot,0.0,0.0,0.0,False,0.39506566524505615,0.39506566524505615,True,False,False,False,True
p03220,Description_Reason,0.0,0.0,0.0,False,0.10941201448440552,0.10941201448440552,True,False,False,False,True
p03220,Description_Simple,0.0,0.9,0.45,False,0.28016671538352966,0.16983328461647035,True,False,False,False,True
p03220,Description_Vague,0.0,0.0,0.0,False,0.08040941506624222,0.08040941506624222,True,False,False,False,True
p02909,Description_Detailed,0.9,0.0,0.45,False,0.30907076597213745,0.14092923402786256,True,False,False,False,True
p02909,Description_Fewshot,0.0,0.0,0.0,False,0.22431790828704834,0.22431790828704834,True,False,False,False,True
p02909,Description_Reason,0.0,0.0,0.0,False,0.1898055523633957,0.1898055523633957,True,False,False,False,True
p02909,Description_Simple,0.0,0.0,0.0,False,0.280869722366333,0.280869722366333,True,False,False,False,True
p02909,Description_Vague,0.0,0.0,0.0,False,0.15564869344234467,0.15564869344234467,True,False,False,False,True
p02389,Description_Detailed,0.9,0.9,0.9,True,0.3544938564300537,0.5455061435699463,False,True,False,False,False
p02389,Description_Fewshot,0.1,0.9,0.5,True,0.7032289505004883,0.20322895050048828,True,True,True,True,False
p02389,Description_Reason,0.9,0.9,0.9,True,0.7464662194252014,0.1535337805747986,True,True,True,True,False
p02389,Description_Simple,0.9,0.6,0.75,True,0.7450412511825562,0.004958748817443848,True,True,True,True,False
p02389,Description_Vague,0.1,0.3,0.2,False,0.28179994225502014,0.08179994225502013,True,False,False,False,True
p03448,Description_Detailed,0.1,0.0,0.05,False,0.6750524044036865,0.6250524044036865,False,False,True,False,False
p03448,Description_Fewshot,0.9,0.9,0.9,True,0.6912781000137329,0.2087218999862671,True,True,True,True,False
p03448,Description_Reason,0.6,0.9,0.75,True,0.6900150775909424,0.05998492240905762,True,True,True,True,False
p03448,Description_Simple,0.9,0.9,0.9,True,0.6642111539840698,0.2357888460159302,True,True,True,True,False
p03448,Description_Vague,0.0,0.9,0.45,False,0.6546109914779663,0.2046109914779663,False,False,True,False,False
p02717,Description_Detailed,0.9,0.0,0.45,False,0.39996689558029175,0.05003310441970826,True,False,False,False,True
p02717,Description_Fewshot,0.0,0.0,0.0,False,0.4235534369945526,0.4235534369945526,True,False,False,False,True
p02717,Description_Reason,0.0,0.1,0.05,False,0.43190765380859375,0.38190765380859376,True,False,False,False,True
p02717,Description_Simple,0.0,0.1,0.05,False,0.42551934719085693,0.37551934719085694,True,False,False,False,True
p02717,Description_Vague,0.0,0.0,0.0,False,0.23889411985874176,0.23889411985874176,True,False,False,False,True
p03109,Description_Detailed,0.7,0.2,0.44999999999999996,False,0.5890025496482849,0.13900254964828496,False,False,True,False,False
p03109,Description_Fewshot,0.6,0.9,0.75,True,0.6199885606765747,0.1300114393234253,True,True,True,True,False
p03109,Description_Reason,0.2,0.6,0.4,False,0.47381392121315,0.07381392121315,True,False,False,False,True
p03109,Description_Simple,0.2,0.9,0.55,True,0.5565056800842285,0.006505680084228471,True,True,True,True,False
p03109,Description_Vague,0.8,0.6,0.7,True,0.5147241950035095,0.18527580499649043,True,True,True,True,False
p02391,Description_Detailed,0.3,0.6,0.44999999999999996,False,0.7748116254806519,0.3248116254806519,False,False,True,False,False
p02391,Description_Fewshot,0.9,0.2,0.55,True,0.7430860996246338,0.19308609962463374,True,True,True,True,False
p02391,Description_Reason,0.9,0.9,0.9,True,0.5803571939468384,0.31964280605316164,True,True,True,True,False
p02391,Description_Simple,0.9,0.9,0.9,True,0.6921154260635376,0.20788457393646242,True,True,True,True,False
p02391,Description_Vague,0.2,0.0,0.1,False,0.6923158764839172,0.5923158764839173,False,False,True,False,False
p02577,Description_Detailed,0.9,0.9,0.9,True,0.7080325484275818,0.19196745157241824,True,True,True,True,False
p02577,Description_Fewshot,0.9,0.9,0.9,True,0.7364060878753662,0.1635939121246338,True,True,True,True,False
p02577,Description_Reason,0.9,0.9,0.9,True,0.616218626499176,0.283781373500824,True,True,True,True,False
p02577,Description_Simple,0.9,0.9,0.9,True,0.6473808884620667,0.25261911153793337,True,True,True,True,False
p02577,Description_Vague,0.9,0.9,0.9,True,0.7529881596565247,0.14701184034347536,True,True,True,True,False
p02880,Description_Detailed,0.9,0.6,0.75,True,0.5730850696563721,0.17691493034362793,True,True,True,True,False
p02880,Description_Fewshot,0.1,0.6,0.35,False,0.5752063989639282,0.22520639896392824,False,False,True,False,False
p02880,Description_Reason,0.6,0.0,0.3,False,0.48737990856170654,0.18737990856170655,True,False,False,False,True
p02880,Description_Simple,0.6,0.8,0.7,True,0.561713457107544,0.138286542892456,True,True,True,True,False
p02880,Description_Vague,0.6,0.6,0.6,True,0.49873557686805725,0.10126442313194273,False,True,False,False,False
p03293,Description_Detailed,0.8,0.9,0.8500000000000001,True,0.6506511569023132,0.19934884309768686,True,True,True,True,False
p03293,Description_Fewshot,0.9,0.9,0.9,True,0.641581118106842,0.258418881893158,True,True,True,True,False
p03293,Description_Reason,0.9,0.9,0.9,True,0.6448895335197449,0.25511046648025515,True,True,True,True,False
p03293,Description_Simple,0.6,0.9,0.75,True,0.5155750513076782,0.23442494869232178,True,True,True,True,False
p03293,Description_Vague,0.1,0.1,0.1,False,0.5979622006416321,0.4979622006416321,False,False,True,False,False
p03102,Description_Detailed,0.0,0.6,0.3,False,0.1990249902009964,0.10097500979900359,True,False,False,False,True
p03102,Description_Fewshot,0.1,0.0,0.05,False,0.5586714744567871,0.5086714744567871,False,False,True,False,False
p03102,Description_Reason,0.9,0.1,0.5,True,0.196083664894104,0.303916335105896,False,True,False,False,False
p03102,Description_Simple,0.3,0.9,0.6,True,0.3967495560646057,0.20325044393539426,False,True,False,False,False
p03102,Description_Vague,0.9,0.6,0.75,True,0.1457056999206543,0.6042943000793457,False,True,False,False,False
p02729,Description_Detailed,0.9,0.9,0.9,True,0.21582737565040588,0.6841726243495941,False,True,False,False,False
p02729,Description_Fewshot,0.7,0.0,0.35,False,0.48894333839416504,0.13894333839416506,True,False,False,False,True
p02729,Description_Reason,0.6,0.6,0.6,True,0.317226767539978,0.28277323246002195,False,True,False,False,False
p02729,Description_Simple,0.2,0.9,0.55,True,0.32405486702919006,0.22594513297080998,False,True,False,False,False
p02729,Description_Vague,0.9,0.6,0.75,True,0.24955442547798157,0.5004455745220184,False,True,False,False,False
p03434,Description_Detailed,0.0,0.9,0.45,False,0.46071693301200867,0.010716933012008656,True,False,False,False,True
p03434,Description_Fewshot,0.9,0.0,0.45,False,0.4463275671005249,0.0036724328994751088,True,False,False,False,True
p03434,Description_Reason,0.6,0.1,0.35,False,0.18980403244495392,0.16019596755504606,True,False,False,False,True
p03434,Description_Simple,0.6,0.0,0.3,False,0.3945322036743164,0.09453220367431642,True,False,False,False,True
