Sub_Directory,Description_Type,LLM_GPT4.5_Score,LLM_Claude_Score,LLM_Average_Score,LLM_Consensus,ST_Similarity_Score,Score_Difference,Agreement,LLM_Success,ST_Success,Both_Success,Neither_Success
p02818,Description_Detailed,0.0,0.0,0.0,False,0.1586359590291977,0.1586359590291977,True,False,False,False,True
p02818,Description_Fewshot,0.0,0.0,0.0,False,0.18492934107780457,0.18492934107780457,True,False,False,False,True
p02818,Description_Reason,0.0,0.0,0.0,False,0.16457287967205048,0.16457287967205048,True,False,False,False,True
p02818,Description_Simple,0.0,0.0,0.0,False,0.16014821827411652,0.16014821827411652,True,False,False,False,True
p02818,Description_Vague,0.0,0.0,0.0,False,0.13522186875343323,0.13522186875343323,True,False,False,False,True
p02713,Description_Detailed,0.0,0.0,0.0,False,0.3215804696083069,0.3215804696083069,True,False,False,False,True
p02713,Description_Fewshot,0.0,0.0,0.0,False,0.5319721698760986,0.5319721698760986,False,False,True,False,False
p02713,Description_Reason,0.0,0.0,0.0,False,0.19794462621212006,0.19794462621212006,True,False,False,False,True
p02713,Description_Simple,0.0,0.3,0.15,False,0.4755837619304657,0.3255837619304657,True,False,False,False,True
p02713,Description_Vague,0.1,0.0,0.05,False,0.5085766911506653,0.4585766911506653,False,False,True,False,False
p03545,Description_Detailed,0.3,0.1,0.2,False,0.5832072496414185,0.38320724964141845,False,False,True,False,False
p03545,Description_Fewshot,0.0,0.0,0.0,False,0.41812747716903687,0.41812747716903687,True,False,False,False,True
p03545,Description_Reason,0.1,0.0,0.05,False,0.32516759634017944,0.27516759634017945,True,False,False,False,True
p03545,Description_Simple,0.1,0.0,0.05,False,0.5726923942565918,0.5226923942565918,False,False,True,False,False
p03545,Description_Vague,0.0,0.1,0.05,False,0.4696001410484314,0.4196001410484314,True,False,False,False,True
p02755,Description_Detailed,0.0,0.0,0.0,False,0.28804242610931396,0.28804242610931396,True,False,False,False,True
p02755,Description_Fewshot,0.0,0.0,0.0,False,0.42248740792274475,0.42248740792274475,True,False,False,False,True
p02755,Description_Reason,0.0,0.0,0.0,False,0.2787758409976959,0.2787758409976959,True,False,False,False,True
p02755,Description_Simple,0.0,0.0,0.0,False,0.48128750920295715,0.48128750920295715,True,False,False,False,True
p02755,Description_Vague,0.0,0.0,0.0,False,0.5095322132110596,0.5095322132110596,False,False,True,False,False
p02705,Description_Detailed,0.0,0.0,0.0,False,0.7878928184509277,0.7878928184509277,False,False,True,False,False
p02705,Description_Fewshot,0.0,0.0,0.0,False,0.7839736938476562,0.7839736938476562,False,False,True,False,False
p02705,Description_Reason,0.0,0.0,0.0,False,0.6146202683448792,0.6146202683448792,False,False,True,False,False
p02705,Description_Simple,0.0,0.4,0.2,False,0.6634851694107056,0.46348516941070556,False,False,True,False,False
p02705,Description_Vague,0.9,0.1,0.5,True,0.6920570135116577,0.19205701351165771,True,True,True,True,False
p02983,Description_Detailed,0.0,0.1,0.05,False,0.4755983352661133,0.4255983352661133,True,False,False,False,True
p02983,Description_Fewshot,0.1,0.0,0.05,False,0.3908892571926117,0.3408892571926117,True,False,False,False,True
p02983,Description_Reason,0.4,0.0,0.2,False,0.09121701866388321,0.1087829813361168,True,False,False,False,True
p02983,Description_Simple,0.1,0.1,0.1,False,0.619692325592041,0.519692325592041,False,False,True,False,False
p02983,Description_Vague,0.1,0.9,0.5,True,0.46296706795692444,0.03703293204307556,False,True,False,False,False
p02723,Description_Detailed,0.7,0.9,0.8,True,0.4279038906097412,0.37209610939025883,False,True,False,False,False
p02723,Description_Fewshot,0.0,0.0,0.0,False,0.3183179497718811,0.3183179497718811,True,False,False,False,True
p02723,Description_Reason,0.0,0.9,0.45,False,0.35981500148773193,0.09018499851226808,True,False,False,False,True
p02723,Description_Simple,0.0,0.7,0.35,False,0.1884508579969406,0.16154914200305937,True,False,False,False,True
p02723,Description_Vague,0.0,0.1,0.05,False,0.5374612808227539,0.4874612808227539,False,False,True,False,False
p03680,Description_Detailed,0.7,0.0,0.35,False,0.2633863091468811,0.08661369085311887,True,False,False,False,True
p03680,Description_Fewshot,0.0,0.7,0.35,False,0.252957284450531,0.09704271554946897,True,False,False,False,True
p03680,Description_Reason,0.9,0.0,0.45,False,0.2094520479440689,0.2405479520559311,True,False,False,False,True
