,DeepseekV3.1,GPT3.5,GPT4o,Gemini,LlamaVL,O4-mini,Qwen3VL,codellama,deepseek-r1,mistral,qwencoder32B,starchat,starcoder,Llama70B
DeepseekV3.1,0.0,30.0,7.6,5.2,94.0,6.4,69.95884773662551,92.0,4.8,39.2,13.600000000000001,72.0,93.2,29.2
GPT3.5,30.0,0.0,27.200000000000003,28.799999999999997,69.6,29.2,55.96707818930041,68.4,29.2,36.4,26.8,53.2,69.6,27.200000000000003
GPT4o,7.6,27.200000000000003,0.0,5.6000000000000005,94.39999999999999,6.0,69.95884773662551,91.60000000000001,4.3999999999999995,38.800000000000004,10.8,71.6,93.60000000000001,27.200000000000003
Gemini,5.2,28.799999999999997,5.6000000000000005,0.0,98.4,4.3999999999999995,72.8395061728395,95.6,2.0,40.400000000000006,8.4,75.6,97.6,29.599999999999998
LlamaVL,94.0,69.6,94.39999999999999,98.4,0.0,95.6,26.74897119341564,4.3999999999999995,98.0,59.599999999999994,90.8,24.4,2.4,69.6
O4-mini,6.4,29.2,6.0,4.3999999999999995,95.6,0.0,72.42798353909465,92.80000000000001,4.0,40.8,11.200000000000001,73.6,94.8,30.0
Qwen3VL,69.95884773662551,55.96707818930041,69.95884773662551,72.8395061728395,26.74897119341564,72.42798353909465,0.0,25.925925925925924,72.42798353909465,49.794238683127574,69.1358024691358,32.92181069958848,27.160493827160494,52.2633744855967
codellama,92.0,68.4,91.60000000000001,95.6,4.3999999999999995,92.80000000000001,25.925925925925924,0.0,95.19999999999999,58.4,88.0,24.8,4.3999999999999995,68.4
deepseek-r1,4.8,29.2,4.3999999999999995,2.0,98.0,4.0,72.42798353909465,95.19999999999999,0.0,41.6,8.799999999999999,75.2,97.2,30.0
mistral,39.2,36.4,38.800000000000004,40.400000000000006,59.599999999999994,40.8,49.794238683127574,58.4,41.6,0.0,35.199999999999996,52.0,60.4,34.0
qwencoder32B,13.600000000000001,26.8,10.8,8.4,90.8,11.200000000000001,69.1358024691358,88.0,8.799999999999999,35.199999999999996,0.0,69.6,90.8,27.6
starchat,72.0,53.2,71.6,75.6,24.4,73.6,32.92181069958848,24.8,75.2,52.0,69.6,0.0,25.2,57.199999999999996
starcoder,93.2,69.6,93.60000000000001,97.6,2.4,94.8,27.160493827160494,4.3999999999999995,97.2,60.4,90.8,25.2,0.0,69.6
Llama70B,29.2,27.200000000000003,27.200000000000003,29.599999999999998,69.6,30.0,52.2633744855967,68.4,30.0,34.0,27.6,57.199999999999996,69.6,0.0
