Sub_Directory,Description_Type,Judge_1_Score,Judge_2_Score,Judge_3_Score,LLM_Average_Score,LLM_Consensus,ST_Similarity_Score,Score_Difference,Agreement,LLM_Success,ST_Success,Both_Success,Neither_Success
mbpp_0159,Description_Simple,0.9,0.9,0.9,0.9,True,0.654869794845581,0.24513020515441897,True,True,True,True,False
mbpp_0323,Description_Simple,1.0,1.0,1.0,1.0,True,0.5752677917480469,0.4247322082519531,True,True,True,True,False
mbpp_0189,Description_Simple,1.0,1.0,1.0,1.0,True,0.7720680236816406,0.22793197631835938,True,True,True,True,False
mbpp_0771,Description_Simple,0.9,0.9,0.9,0.9,True,0.4020974338054657,0.4979025661945343,False,True,False,False,False
mbpp_0039,Description_Simple,1.0,1.0,1.0,1.0,True,0.5937879681587219,0.4062120318412781,True,True,True,True,False
mbpp_0776,Description_Simple,0.0,0.0,0.0,0.0,False,0.6677993535995483,0.6677993535995483,False,False,True,False,False
mbpp_0522,Description_Simple,1.0,1.0,1.0,1.0,True,0.8682708740234375,0.1317291259765625,True,True,True,True,False
mbpp_0245,Description_Simple,0.0,0.0,0.0,0.0,False,0.546076238155365,0.546076238155365,False,False,True,False,False
mbpp_0515,Description_Simple,1.0,1.0,1.0,1.0,True,0.4817832112312317,0.5182167887687683,False,True,False,False,False
mbpp_0069,Description_Simple,1.0,1.0,1.0,1.0,True,0.4708952307701111,0.5291047692298889,False,True,False,False,False
mbpp_0223,Description_Simple,1.0,1.0,1.0,1.0,True,0.6665847897529602,0.3334152102470398,True,True,True,True,False
mbpp_0123,Description_Simple,1.0,1.0,1.0,1.0,True,0.5831336975097656,0.4168663024902344,True,True,True,True,False
mbpp_0838,Description_Simple,1.0,1.0,1.0,1.0,True,0.8601248264312744,0.13987517356872559,True,True,True,True,False
mbpp_0747,Description_Simple,1.0,1.0,1.0,1.0,True,0.7749843597412109,0.22501564025878906,True,True,True,True,False
mbpp_0408,Description_Simple,0.4,0.4,0.4,0.4,False,0.4501761794090271,0.05017617940902708,True,False,False,False,True
mbpp_0423,Description_Simple,1.0,1.0,1.0,1.0,True,0.5862798690795898,0.41372013092041016,True,True,True,True,False
mbpp_0387,Description_Simple,1.0,1.0,1.0,1.0,True,0.7179720401763916,0.2820279598236084,True,True,True,True,False
mbpp_0315,Description_Simple,1.0,1.0,1.0,1.0,True,0.7762051820755005,0.2237948179244995,True,True,True,True,False
mbpp_0940,Description_Simple,1.0,1.0,1.0,1.0,True,0.7203788757324219,0.2796211242675781,True,True,True,True,False
mbpp_0628,Description_Simple,0.4,0.4,0.4,0.4,False,0.597679615020752,0.19767961502075193,False,False,True,False,False
mbpp_0152,Description_Simple,1.0,1.0,1.0,1.0,True,0.6489977836608887,0.35100221633911133,True,True,True,True,False
mbpp_0901,Description_Simple,1.0,1.0,1.0,1.0,True,0.5222480893135071,0.4777519106864929,True,True,True,True,False
mbpp_0834,Description_Simple,1.0,1.0,1.0,1.0,True,0.6906305551528931,0.30936944484710693,True,True,True,True,False
mbpp_0516,Description_Simple,1.0,1.0,1.0,1.0,True,0.6052884459495544,0.39471155405044556,True,True,True,True,False
mbpp_0898,Description_Simple,0.2,0.2,0.2,0.2,False,0.4384138584136963,0.23841385841369628,True,False,False,False,True
mbpp_0938,Description_Simple,1.0,1.0,1.0,1.0,True,0.6824933886528015,0.3175066113471985,True,True,True,True,False
mbpp_0665,Description_Simple,0.0,0.0,0.0,0.0,False,0.5756630897521973,0.5756630897521973,False,False,True,False,False
mbpp_0501,Description_Simple,0.4,0.4,0.4,0.4,False,0.7683815956115723,0.36838159561157224,False,False,True,False,False
mbpp_0149,Description_Simple,1.0,1.0,1.0,1.0,True,0.7185559272766113,0.28144407272338867,True,True,True,True,False
mbpp_0548,Description_Simple,1.0,1.0,1.0,1.0,True,0.6429924964904785,0.3570075035095215,True,True,True,True,False
mbpp_0822,Description_Simple,0.4,0.4,0.4,0.4,False,0.6337974667549133,0.2337974667549133,False,False,True,False,False
mbpp_0060,Description_Simple,0.4,0.4,0.4,0.4,False,0.7420010566711426,0.34200105667114256,False,False,True,False,False
mbpp_0523,Description_Simple,0.6,0.6,0.6,0.6,True,0.5063273906707764,0.09367260932922361,True,True,True,True,False
mbpp_0468,Description_Simple,1.0,1.0,1.0,1.0,True,0.7587031126022339,0.2412968873977661,True,True,True,True,False
mbpp_0550,Description_Simple,0.0,0.0,0.0,0.0,False,0.5574892163276672,0.5574892163276672,False,False,True,False,False
mbpp_0524,Description_Simple,1.0,1.0,1.0,1.0,True,0.7471269369125366,0.2528730630874634,True,True,True,True,False
mbpp_0068,Description_Simple,1.0,1.0,1.0,1.0,True,0.7407544851303101,0.25924551486968994,True,True,True,True,False
mbpp_0881,Description_Simple,1.0,1.0,1.0,1.0,True,0.5282256603240967,0.4717743396759033,True,True,True,True,False
mbpp_0926,Description_Simple,0.7,0.7,0.7,0.7,True,0.6090840101242065,0.09091598987579341,True,True,True,True,False
mbpp_0755,Description_Simple,0.7,0.7,0.7,0.7,True,0.4787750244140625,0.22122497558593746,False,True,False,False,False
mbpp_0455,Description_Simple,0.2,0.2,0.2,0.2,False,0.5998089909553528,0.39980899095535277,False,False,True,False,False
mbpp_0907,Description_Simple,0.7,0.7,0.7,0.7,True,0.6510453820228577,0.04895461797714229,True,True,True,True,False
mbpp_0866,Description_Simple,1.0,1.0,1.0,1.0,True,0.5452682375907898,0.4547317624092102,True,True,True,True,False
mbpp_0850,Description_Simple,0.4,0.4,0.4,0.4,False,0.5489059090614319,0.14890590906143186,False,False,True,False,False
mbpp_0453,Description_Simple,0.0,0.0,0.0,0.0,False,0.7705604434013367,0.7705604434013367,False,False,True,False,False
mbpp_0463,Description_Simple,1.0,1.0,1.0,1.0,True,0.6910660266876221,0.30893397331237793,True,True,True,True,False
mbpp_0031,Description_Simple,1.0,1.0,1.0,1.0,True,0.6027806997299194,0.39721930027008057,True,True,True,True,False
mbpp_0074,Description_Simple,0.2,0.2,0.2,0.2,False,0.45073819160461426,0.25073819160461425,True,False,False,False,True
mbpp_0469,Description_Simple,1.0,1.0,1.0,1.0,True,0.6132185459136963,0.3867814540863037,True,True,True,True,False
mbpp_0113,Description_Simple,0.9,0.9,0.9,0.9,True,0.5634238719940186,0.33657612800598147,True,True,True,True,False
mbpp_0129,Description_Simple,0.4,0.4,0.4,0.4,False,0.5667706727981567,0.16677067279815672,False,False,True,False,False
mbpp_0854,Description_Simple,0.5,0.5,0.5,0.5,True,0.46252238750457764,0.03747761249542236,False,True,False,False,False
