Sub_Directory,Description_Type,Judge_1_Score,Judge_2_Score,Judge_3_Score,LLM_Average_Score,LLM_Consensus,ST_Similarity_Score,Score_Difference,Agreement,LLM_Success,ST_Success,Both_Success,Neither_Success
mbpp_0159,Description_Simple,1.0,1.0,1.0,1.0,True,0.6412604451179504,0.35873955488204956,True,True,True,True,False
mbpp_0771,Description_Simple,1.0,1.0,1.0,1.0,True,0.5011838674545288,0.4988161325454712,True,True,True,True,False
mbpp_0189,Description_Simple,1.0,1.0,1.0,1.0,True,0.6828559637069702,0.3171440362930298,True,True,True,True,False
mbpp_0323,Description_Simple,1.0,1.0,1.0,1.0,True,0.6590449810028076,0.3409550189971924,True,True,True,True,False
mbpp_0522,Description_Simple,1.0,1.0,1.0,1.0,True,0.8217414021492004,0.17825859785079956,True,True,True,True,False
mbpp_0245,Description_Simple,1.0,1.0,1.0,1.0,True,0.6199384927749634,0.3800615072250366,True,True,True,True,False
mbpp_0039,Description_Simple,1.0,1.0,1.0,1.0,True,0.6138604283332825,0.38613957166671753,True,True,True,True,False
mbpp_0776,Description_Simple,0.4,0.4,0.4,0.4,False,0.7219586968421936,0.3219586968421936,False,False,True,False,False
mbpp_0223,Description_Simple,1.0,1.0,1.0,1.0,True,0.6807752847671509,0.3192247152328491,True,True,True,True,False
mbpp_0069,Description_Simple,1.0,1.0,1.0,1.0,True,0.5462422966957092,0.45375770330429077,True,True,True,True,False
mbpp_0123,Description_Simple,1.0,1.0,1.0,1.0,True,0.6194510459899902,0.38054895401000977,True,True,True,True,False
mbpp_0515,Description_Simple,1.0,1.0,1.0,1.0,True,0.6267368793487549,0.3732631206512451,True,True,True,True,False
mbpp_0838,Description_Simple,1.0,1.0,1.0,1.0,True,0.78985595703125,0.21014404296875,True,True,True,True,False
mbpp_0423,Description_Simple,1.0,1.0,1.0,1.0,True,0.6074591875076294,0.3925408124923706,True,True,True,True,False
mbpp_0408,Description_Simple,0.4,0.4,0.4,0.4,False,0.48790186643600464,0.08790186643600462,True,False,False,False,True
