Sub_Directory,Description_Type,Judge_1_Score,Judge_2_Score,Judge_3_Score,LLM_Average_Score,LLM_Consensus,ST_Similarity_Score,Score_Difference,Agreement,LLM_Success,ST_Success,Both_Success,Neither_Success
mbpp_0031,Description_Simple,0.6,0.6,0.6,0.6,True,0.7843851447105408,0.1843851447105408,True,True,True,True,False
mbpp_0342,Description_Simple,0.9,0.9,0.9,0.9,True,0.6022140383720398,0.2977859616279602,True,True,True,True,False
mbpp_0635,Description_Simple,1.0,1.0,1.0,1.0,True,0.5650995969772339,0.4349004030227661,True,True,True,True,False
mbpp_0408,Description_Simple,0.5,0.5,0.5,0.5,True,0.5396994948387146,0.0396994948387146,True,True,True,True,False
mbpp_0843,Description_Simple,1.0,1.0,1.0,1.0,True,0.6618115901947021,0.33818840980529785,True,True,True,True,False
mbpp_0159,Description_Simple,1.0,1.0,1.0,1.0,True,0.6735728979110718,0.3264271020889282,True,True,True,True,False
mbpp_0771,Description_Simple,1.0,1.0,1.0,1.0,True,0.3813328742980957,0.6186671257019043,False,True,False,False,False
mbpp_0323,Description_Simple,1.0,1.0,1.0,1.0,True,0.6362663507461548,0.3637336492538452,True,True,True,True,False
mbpp_0245,Description_Simple,1.0,1.0,1.0,1.0,True,0.5796896815299988,0.4203103184700012,True,True,True,True,False
mbpp_0189,Description_Simple,1.0,1.0,1.0,1.0,True,0.5525568723678589,0.4474431276321411,True,True,True,True,False
mbpp_0039,Description_Simple,1.0,1.0,1.0,1.0,True,0.6580309867858887,0.34196901321411133,True,True,True,True,False
mbpp_0004,Description_Simple,0.6,0.6,0.6,0.6,True,0.6477511525154114,0.0477511525154114,True,True,True,True,False
mbpp_0822,Description_Simple,0.3,0.3,0.3,0.3,False,0.5888353586196899,0.28883535861968995,False,False,True,False,False
mbpp_0496,Description_Simple,0.8,0.8,0.8,0.8,True,0.7328020334243774,0.0671979665756226,True,True,True,True,False
mbpp_0069,Description_Simple,1.0,1.0,1.0,1.0,True,0.6469670534133911,0.3530329465866089,True,True,True,True,False
mbpp_0522,Description_Simple,1.0,1.0,1.0,1.0,True,0.8316417932510376,0.1683582067489624,True,True,True,True,False
mbpp_0123,Description_Simple,1.0,1.0,1.0,1.0,True,0.6628519296646118,0.3371480703353882,True,True,True,True,False
mbpp_0372,Description_Simple,1.0,1.0,1.0,1.0,True,0.7397135496139526,0.26028645038604736,True,True,True,True,False
mbpp_0108,Description_Simple,0.4,0.4,0.4,0.4,False,0.5074679851531982,0.10746798515319822,False,False,True,False,False
mbpp_0209,Description_Simple,1.0,1.0,1.0,1.0,True,0.5988203883171082,0.40117961168289185,True,True,True,True,False
mbpp_0776,Description_Simple,0.4,0.4,0.4,0.4,False,0.7404760718345642,0.3404760718345642,False,False,True,False,False
mbpp_0747,Description_Simple,1.0,1.0,1.0,1.0,True,0.8213792443275452,0.17862075567245483,True,True,True,True,False
mbpp_0515,Description_Simple,1.0,1.0,1.0,1.0,True,0.6033242344856262,0.3966757655143738,True,True,True,True,False
mbpp_0223,Description_Simple,1.0,1.0,1.0,1.0,True,0.7393121123313904,0.2606878876686096,True,True,True,True,False
mbpp_0423,Description_Simple,1.0,1.0,1.0,1.0,True,0.6098030805587769,0.39019691944122314,True,True,True,True,False
mbpp_0838,Description_Simple,1.0,1.0,1.0,1.0,True,0.7910143136978149,0.20898568630218506,True,True,True,True,False
mbpp_0315,Description_Simple,0.2,0.2,0.2,0.2,False,0.7189141511917114,0.5189141511917115,False,False,True,False,False
mbpp_0940,Description_Simple,1.0,1.0,1.0,1.0,True,0.6786263585090637,0.3213736414909363,True,True,True,True,False
mbpp_0501,Description_Simple,0.2,0.2,0.2,0.2,False,0.6826256513595581,0.4826256513595581,False,False,True,False,False
mbpp_0834,Description_Simple,0.2,0.2,0.2,0.2,False,0.8027930855751038,0.6027930855751038,False,False,True,False,False
mbpp_0938,Description_Simple,1.0,1.0,1.0,1.0,True,0.6183241605758667,0.3816758394241333,True,True,True,True,False
mbpp_0074,Description_Simple,0.4,0.4,0.4,0.4,False,0.48266685009002686,0.08266685009002683,True,False,False,False,True
mbpp_0306,Description_Simple,0.3,0.3,0.3,0.3,False,0.6547434329986572,0.35474343299865724,False,False,True,False,False
mbpp_0550,Description_Simple,0.4,0.4,0.4,0.4,False,0.5267156958580017,0.1267156958580017,False,False,True,False,False
mbpp_0901,Description_Simple,1.0,1.0,1.0,1.0,True,0.5730776190757751,0.42692238092422485,True,True,True,True,False
mbpp_0524,Description_Simple,1.0,1.0,1.0,1.0,True,0.6899635195732117,0.31003648042678833,True,True,True,True,False
mbpp_0811,Description_Simple,0.6,0.6,0.6,0.6,True,0.5829012989997864,0.0170987010002136,True,True,True,True,False
mbpp_0926,Description_Simple,0.7,0.7,0.7,0.7,True,0.5581545829772949,0.14184541702270503,True,True,True,True,False
mbpp_0523,Description_Simple,0.6,0.6,0.6,0.6,True,0.5553358793258667,0.04466412067413328,True,True,True,True,False
mbpp_0850,Description_Simple,0.2,0.2,0.2,0.2,False,0.5759677886962891,0.37596778869628905,False,False,True,False,False
mbpp_0247,Description_Simple,0.0,0.0,0.0,0.0,False,0.6529350876808167,0.6529350876808167,False,False,True,False,False
mbpp_0469,Description_Simple,1.0,1.0,1.0,1.0,True,0.7201288342475891,0.2798711657524109,True,True,True,True,False
mbpp_0463,Description_Simple,1.0,1.0,1.0,1.0,True,0.7691537737846375,0.23084622621536255,True,True,True,True,False
mbpp_0453,Description_Simple,0.0,0.0,0.0,0.0,False,0.6558460593223572,0.6558460593223572,False,False,True,False,False
mbpp_0854,Description_Simple,1.0,1.0,1.0,1.0,True,0.5603193044662476,0.43968069553375244,True,True,True,True,False
mbpp_0755,Description_Simple,0.7,0.7,0.7,0.7,True,0.6774073243141174,0.022592675685882524,True,True,True,True,False
