model,GPT-4o,GPT-3.5,O4-mini,Gemini,Llama-70B,Mistral,DeepSeek-V3.1,DeepSeek-R1,DeepSeek-V4-Pro,QwenCoder,Qwen3.7,Claude-5,GLM-5,Kimi-K2.7,GPT-5
GPT-4o,58,70.4,84,78.8,68.4,63.6,78,81.2,77.6,63.2,80.8,76.8,82.4,82.4,77.6
GPT-3.5,70.4,52.4,86,80.4,65.6,59.2,77.2,78.4,76,60,80.4,77.2,82.4,82.4,78.4
O4-mini,84,86,82.4,88.8,84.8,84.4,88.4,90,89.2,84.8,90,88.4,90.8,91.2,89.2
Gemini,78.8,80.4,88.8,71.2,79.2,76.4,85.6,85.6,85.2,77.6,88,84.4,87.2,87.6,84.4
Llama-70B,68.4,65.6,84.8,79.2,36.8,48,70,73.2,69.6,46.4,73.6,67.2,76,75.2,69.6
Mistral,63.6,59.2,84.4,76.4,48,23.6,66.4,67.6,65.2,38.8,69.2,65.2,75.2,72.4,63.6
DeepSeek-V3.1,78,77.2,88.4,85.6,70,66.4,62,71.6,69.2,64.4,72.8,72,76.8,76,72
DeepSeek-R1,81.2,78.4,90,85.6,73.2,67.6,71.6,62.8,70.8,66,72,72.8,76.8,75.6,70.4
DeepSeek-V4-Pro,77.6,76,89.2,85.2,69.6,65.2,69.2,70.8,60.4,63.2,73.6,70.8,75.6,72.4,69.6
QwenCoder,63.2,60,84.8,77.6,46.4,38.8,64.4,66,63.2,24,68,62.4,72.4,70,64
Qwen3.7,80.8,80.4,90,88,73.6,69.2,72.8,72,73.6,68,65.6,72.4,75.6,75.2,72.4
Claude-5,76.8,77.2,88.4,84.4,67.2,65.2,72,72.8,70.8,62.4,72.4,58.8,74.8,72.8,70
GLM-5,82.4,82.4,90.8,87.2,76,75.2,76.8,76.8,75.6,72.4,75.6,74.8,70.4,78,76.8
Kimi-K2.7,82.4,82.4,91.2,87.6,75.2,72.4,76,75.6,72.4,70,75.2,72.8,78,68,73.2
GPT-5,77.6,78.4,89.2,84.4,69.6,63.6,72,70.4,69.6,64,72.4,70,76.8,73.2,58.4
