Sub_Directory,Description_Type,Judge_1_Score,Judge_2_Score,Judge_3_Score,LLM_Average_Score,LLM_Consensus,ST_Similarity_Score,Score_Difference,Agreement,LLM_Success,ST_Success,Both_Success,Neither_Success
mbpp_0408,Description_Simple,0.4,0.4,0.4,0.4,False,0.37666189670562744,0.02333810329437258,True,False,False,False,True
mbpp_0635,Description_Simple,1.0,1.0,1.0,1.0,True,0.5308563113212585,0.46914368867874146,True,True,True,True,False
mbpp_0342,Description_Simple,1.0,1.0,1.0,1.0,True,0.5733632445335388,0.4266367554664612,True,True,True,True,False
mbpp_0031,Description_Simple,0.8,0.8,0.8,0.8,True,0.6459171175956726,0.15408288240432744,True,True,True,True,False
mbpp_0159,Description_Simple,1.0,1.0,1.0,1.0,True,0.7218685746192932,0.2781314253807068,True,True,True,True,False
mbpp_0323,Description_Simple,1.0,1.0,1.0,1.0,True,0.6481515169143677,0.3518484830856323,True,True,True,True,False
mbpp_0843,Description_Simple,1.0,1.0,1.0,1.0,True,0.6583155393600464,0.3416844606399536,True,True,True,True,False
mbpp_0771,Description_Simple,1.0,1.0,1.0,1.0,True,0.44704070687294006,0.5529592931270599,False,True,False,False,False
mbpp_0189,Description_Simple,1.0,1.0,1.0,1.0,True,0.6131179928779602,0.3868820071220398,True,True,True,True,False
mbpp_0039,Description_Simple,0.9,0.9,0.9,0.9,True,0.6912382245063782,0.20876177549362185,True,True,True,True,False
mbpp_0004,Description_Simple,0.9,0.9,0.9,0.9,True,0.6846880316734314,0.21531196832656863,True,True,True,True,False
mbpp_0245,Description_Simple,1.0,1.0,1.0,1.0,True,0.6526832580566406,0.3473167419433594,True,True,True,True,False
mbpp_0496,Description_Simple,0.9,0.9,0.9,0.9,True,0.7277288436889648,0.17227115631103518,True,True,True,True,False
mbpp_0069,Description_Simple,1.0,1.0,1.0,1.0,True,0.620682954788208,0.379317045211792,True,True,True,True,False
mbpp_0522,Description_Simple,1.0,1.0,1.0,1.0,True,0.8264922499656677,0.17350775003433228,True,True,True,True,False
mbpp_0822,Description_Simple,0.1,0.1,0.1,0.1,False,0.7447724342346191,0.6447724342346192,False,False,True,False,False
mbpp_0108,Description_Simple,0.4,0.4,0.4,0.4,False,0.5239982008934021,0.12399820089340208,False,False,True,False,False
mbpp_0209,Description_Simple,0.9,0.9,0.9,0.9,True,0.6397448778152466,0.26025512218475344,True,True,True,True,False
mbpp_0123,Description_Simple,0.9,0.9,0.9,0.9,True,0.6630204319953918,0.23697956800460818,True,True,True,True,False
mbpp_0372,Description_Simple,1.0,1.0,1.0,1.0,True,0.7640407085418701,0.23595929145812988,True,True,True,True,False
mbpp_0223,Description_Simple,1.0,1.0,1.0,1.0,True,0.7327962517738342,0.26720374822616577,True,True,True,True,False
mbpp_0515,Description_Simple,1.0,1.0,1.0,1.0,True,0.6972489356994629,0.3027510643005371,True,True,True,True,False
mbpp_0747,Description_Simple,1.0,1.0,1.0,1.0,True,0.8042870163917542,0.19571298360824585,True,True,True,True,False
mbpp_0776,Description_Simple,0.2,0.2,0.2,0.2,False,0.7415155172348022,0.5415155172348023,False,False,True,False,False
mbpp_0315,Description_Simple,0.2,0.2,0.2,0.2,False,0.6044663190841675,0.40446631908416747,False,False,True,False,False
mbpp_0423,Description_Simple,1.0,1.0,1.0,1.0,True,0.6526235342025757,0.3473764657974243,True,True,True,True,False
mbpp_0940,Description_Simple,1.0,1.0,1.0,1.0,True,0.699202299118042,0.300797700881958,True,True,True,True,False
mbpp_0838,Description_Simple,0.1,0.1,0.1,0.1,False,0.7325015068054199,0.6325015068054199,False,False,True,False,False
mbpp_0834,Description_Simple,1.0,1.0,1.0,1.0,True,0.7897953987121582,0.2102046012878418,True,True,True,True,False
mbpp_0074,Description_Simple,0.2,0.2,0.2,0.2,False,0.507684588432312,0.307684588432312,False,False,True,False,False
mbpp_0938,Description_Simple,1.0,1.0,1.0,1.0,True,0.726142406463623,0.27385759353637695,True,True,True,True,False
mbpp_0501,Description_Simple,0.3,0.3,0.3,0.3,False,0.6244385242462158,0.32443852424621583,False,False,True,False,False
