Sub_Directory,Description_Type,Judge_1_Score,Judge_2_Score,Judge_3_Score,LLM_Average_Score,LLM_Consensus,ST_Similarity_Score,Score_Difference,Agreement,LLM_Success,ST_Success,Both_Success,Neither_Success
mbpp_0771,Description_Simple,1.0,1.0,1.0,1.0,True,0.5054634213447571,0.4945365786552429,True,True,True,True,False
mbpp_0189,Description_Simple,1.0,1.0,1.0,1.0,True,0.5597928762435913,0.4402071237564087,True,True,True,True,False
mbpp_0323,Description_Simple,0.7,0.7,0.7,0.7,True,0.6982575058937073,0.0017424941062926802,True,True,True,True,False
mbpp_0159,Description_Simple,1.0,1.0,1.0,1.0,True,0.6341233849525452,0.36587661504745483,True,True,True,True,False
mbpp_0245,Description_Simple,1.0,1.0,1.0,1.0,True,0.6158311367034912,0.3841688632965088,True,True,True,True,False
mbpp_0522,Description_Simple,1.0,1.0,1.0,1.0,True,0.7989604473114014,0.20103955268859863,True,True,True,True,False
mbpp_0776,Description_Simple,0.0,0.0,0.0,0.0,False,0.7382044196128845,0.7382044196128845,False,False,True,False,False
mbpp_0039,Description_Simple,0.3,0.3,0.3,0.3,False,0.5864577293395996,0.2864577293395996,False,False,True,False,False
mbpp_0515,Description_Simple,1.0,1.0,1.0,1.0,True,0.7049273252487183,0.29507267475128174,True,True,True,True,False
mbpp_0123,Description_Simple,1.0,1.0,1.0,1.0,True,0.6451769471168518,0.3548230528831482,True,True,True,True,False
mbpp_0223,Description_Simple,0.9,0.9,0.9,0.9,True,0.6741101145744324,0.22588988542556765,True,True,True,True,False
mbpp_0069,Description_Simple,1.0,1.0,1.0,1.0,True,0.44767630100250244,0.5523236989974976,False,True,False,False,False
mbpp_0423,Description_Simple,1.0,1.0,1.0,1.0,True,0.6653553247451782,0.3346446752548218,True,True,True,True,False
mbpp_0747,Description_Simple,1.0,1.0,1.0,1.0,True,0.7558358311653137,0.24416416883468628,True,True,True,True,False
mbpp_0408,Description_Simple,0.3,0.3,0.3,0.3,False,0.5375874042510986,0.23758740425109864,False,False,True,False,False
mbpp_0838,Description_Simple,1.0,1.0,1.0,1.0,True,0.7723914384841919,0.2276085615158081,True,True,True,True,False
mbpp_0628,Description_Simple,0.7,0.7,0.7,0.7,True,0.5946067571640015,0.10539324283599849,True,True,True,True,False
mbpp_0315,Description_Simple,1.0,1.0,1.0,1.0,True,0.7210016250610352,0.27899837493896484,True,True,True,True,False
mbpp_0387,Description_Simple,1.0,1.0,1.0,1.0,True,0.7728852033615112,0.22711479663848877,True,True,True,True,False
mbpp_0940,Description_Simple,1.0,1.0,1.0,1.0,True,0.6944682598114014,0.30553174018859863,True,True,True,True,False
mbpp_0516,Description_Simple,1.0,1.0,1.0,1.0,True,0.47493088245391846,0.5250691175460815,False,True,False,False,False
mbpp_0152,Description_Simple,1.0,1.0,1.0,1.0,True,0.6831538081169128,0.31684619188308716,True,True,True,True,False
mbpp_0901,Description_Simple,1.0,1.0,1.0,1.0,True,0.6939254403114319,0.3060745596885681,True,True,True,True,False
mbpp_0834,Description_Simple,0.2,0.2,0.2,0.2,False,0.7650534510612488,0.5650534510612488,False,False,True,False,False
mbpp_0665,Description_Simple,0.2,0.2,0.2,0.2,False,0.6235267519950867,0.42352675199508666,False,False,True,False,False
mbpp_0501,Description_Simple,0.2,0.2,0.2,0.2,False,0.6686215400695801,0.46862154006958007,False,False,True,False,False
mbpp_0938,Description_Simple,1.0,1.0,1.0,1.0,True,0.7745617032051086,0.22543829679489136,True,True,True,True,False
mbpp_0898,Description_Simple,0.1,0.1,0.1,0.1,False,0.5353872776031494,0.43538727760314944,False,False,True,False,False
mbpp_0822,Description_Simple,0.4,0.4,0.4,0.4,False,0.6029068231582642,0.20290682315826414,False,False,True,False,False
mbpp_0548,Description_Simple,1.0,1.0,1.0,1.0,True,0.6741906404495239,0.3258093595504761,True,True,True,True,False
mbpp_0149,Description_Simple,1.0,1.0,1.0,1.0,True,0.7904276251792908,0.20957237482070923,True,True,True,True,False
mbpp_0060,Description_Simple,0.3,0.3,0.3,0.3,False,0.7836788296699524,0.4836788296699524,False,False,True,False,False
mbpp_0523,Description_Simple,0.4,0.4,0.4,0.4,False,0.35700809955596924,0.042991900444030784,True,False,False,False,True
mbpp_0468,Description_Simple,1.0,1.0,1.0,1.0,True,0.7913700342178345,0.20862996578216553,True,True,True,True,False
mbpp_0550,Description_Simple,1.0,1.0,1.0,1.0,True,0.7973360419273376,0.20266395807266235,True,True,True,True,False
mbpp_0524,Description_Simple,1.0,1.0,1.0,1.0,True,0.6528962850570679,0.34710371494293213,True,True,True,True,False
mbpp_0881,Description_Simple,1.0,1.0,1.0,1.0,True,0.6876862645149231,0.3123137354850769,True,True,True,True,False
mbpp_0755,Description_Simple,0.8,0.8,0.8,0.8,True,0.5549111366271973,0.24508886337280278,True,True,True,True,False
mbpp_0926,Description_Simple,0.5,0.5,0.5,0.5,True,0.5967777371406555,0.09677773714065552,True,True,True,True,False
mbpp_0068,Description_Simple,1.0,1.0,1.0,1.0,True,0.7758216857910156,0.22417831420898438,True,True,True,True,False
