Sub_Directory,Description_Type,LLM_GPT4.5_Score,LLM_Claude_Score,LLM_Average_Score,LLM_Consensus,ST_Similarity_Score,Score_Difference,Agreement,LLM_Success,ST_Success,Both_Success,Neither_Success
p02982,Description_Fewshot,0.0,0.0,0.0,False,0.6159484386444092,0.6159484386444092,False,False,True,False,False
p02982,Description_Reason,0.3,0.9,0.6,True,0.7089471817016602,0.10894718170166018,True,True,True,True,False
p02982,Description_Simple,0.7,0.0,0.35,False,0.7465299367904663,0.39652993679046633,False,False,True,False,False
p02612,Description_Fewshot,0.4,0.3,0.35,False,0.3453834354877472,0.004616564512252785,True,False,False,False,True
p02612,Description_Reason,0.0,0.0,0.0,False,0.30237051844596863,0.30237051844596863,True,False,False,False,True
p02612,Description_Simple,0.9,0.7,0.8,True,0.3277278542518616,0.47227214574813847,False,True,False,False,False
p03086,Description_Fewshot,0.0,0.4,0.2,False,0.6055920124053955,0.4055920124053955,False,False,True,False,False
p03086,Description_Reason,0.4,0.4,0.4,False,0.6628116369247437,0.26281163692474363,False,False,True,False,False
p03086,Description_Simple,0.4,0.4,0.4,False,0.6820457577705383,0.2820457577705383,False,False,True,False,False
p03126,Description_Fewshot,0.1,0.4,0.25,False,0.5135678052902222,0.26356780529022217,False,False,True,False,False
p03126,Description_Reason,0.4,0.7,0.55,True,0.4085755944252014,0.14142440557479863,False,True,False,False,False
p03126,Description_Simple,0.4,0.4,0.4,False,0.3972605764865875,0.002739423513412498,True,False,False,False,True
p02681,Description_Fewshot,0.7,0.7,0.7,True,0.4846414625644684,0.21535853743553157,False,True,False,False,False
p02681,Description_Reason,0.9,0.9,0.9,True,0.44802966713905334,0.4519703328609467,False,True,False,False,False
p02681,Description_Simple,0.7,0.3,0.5,True,0.474303662776947,0.02569633722305298,False,True,False,False,False
p03243,Description_Fewshot,0.0,0.0,0.0,False,0.3260684609413147,0.3260684609413147,True,False,False,False,True
p03243,Description_Reason,0.0,0.0,0.0,False,0.3665548264980316,0.3665548264980316,True,False,False,False,True
p03243,Description_Simple,0.0,0.9,0.45,False,0.38413098454475403,0.06586901545524598,True,False,False,False,True
p02700,Description_Fewshot,0.9,0.3,0.6,True,0.25412455201148987,0.3458754479885101,False,True,False,False,False
p02700,Description_Reason,0.0,0.4,0.2,False,0.1514323353767395,0.04856766462326051,True,False,False,False,True
p02700,Description_Simple,0.3,0.3,0.3,False,0.25578489899635315,0.04421510100364684,True,False,False,False,True
p02910,Description_Fewshot,0.3,0.0,0.15,False,0.4936676621437073,0.34366766214370725,True,False,False,False,True
