Sub_Directory,Description_Type,Judge_1_Score,Judge_2_Score,Judge_3_Score,LLM_Average_Score,LLM_Consensus,ST_Similarity_Score,Score_Difference,Agreement,LLM_Success,ST_Success,Both_Success,Neither_Success
p00003,Description_Simple,1.0,1.0,1.0,1.0,True,0.39153823256492615,0.6084617674350739,False,True,False,False,False
p00001,Description_Simple,0.9,0.9,0.9,0.9,True,0.747241199016571,0.15275880098342898,True,True,True,True,False
p00011,Description_Simple,0.7,0.7,0.7,0.7,True,0.29917651414871216,0.4008234858512878,False,True,False,False,False
p00007,Description_Simple,0.9,0.9,0.9,0.9,True,0.4320862889289856,0.4679137110710144,False,True,False,False,False
p02263,Description_Simple,1.0,1.0,1.0,1.0,True,0.3205944299697876,0.6794055700302124,False,True,False,False,False
p00006,Description_Simple,0.9,0.9,0.9,0.9,True,0.6768916249275208,0.22310837507247927,True,True,True,True,False
p02260,Description_Simple,0.9,0.9,0.9,0.9,True,0.8065755367279053,0.09342446327209475,True,True,True,True,False
p02259,Description_Simple,1.0,1.0,1.0,1.0,True,0.68760085105896,0.31239914894104004,True,True,True,True,False
p00005,Description_Simple,1.0,1.0,1.0,1.0,True,0.7702372074127197,0.22976279258728027,True,True,True,True,False
p02268,Description_Simple,0.8,0.8,0.8,0.8,True,0.43634992837905884,0.3636500716209412,False,True,False,False,False
p02258,Description_Simple,0.0,0.0,0.0,0.0,False,0.41332030296325684,0.41332030296325684,True,False,False,False,True
p02264,Description_Simple,1.0,1.0,1.0,1.0,True,0.8035811185836792,0.1964188814163208,True,True,True,True,False
p02255,Description_Simple,0.9,0.9,0.9,0.9,True,0.7573019862174988,0.14269801378250124,True,True,True,True,False
p02257,Description_Simple,1.0,1.0,1.0,1.0,True,0.6353645920753479,0.3646354079246521,True,True,True,True,False
p02256,Description_Simple,1.0,1.0,1.0,1.0,True,0.6826426386833191,0.3173573613166809,True,True,True,True,False
p00002,Description_Simple,1.0,1.0,1.0,1.0,True,0.6003674864768982,0.3996325135231018,True,True,True,True,False
p02381,Description_Simple,0.9,0.9,0.9,0.9,True,0.6232600212097168,0.2767399787902832,True,True,True,True,False
p02388,Description_Simple,0.8,0.8,0.8,0.8,True,0.479499876499176,0.320500123500824,False,True,False,False,False
p02393,Description_Simple,1.0,1.0,1.0,1.0,True,0.6821498870849609,0.31785011291503906,True,True,True,True,False
p02390,Description_Simple,0.8,0.8,0.8,0.8,True,0.4967648386955261,0.3032351613044739,False,True,False,False,False
p02389,Description_Simple,0.9,0.9,0.9,0.9,True,0.4545798897743225,0.4454201102256775,False,True,False,False,False
p02398,Description_Simple,0.9,0.9,0.9,0.9,True,0.6752252578735352,0.22477474212646487,True,True,True,True,False
p02396,Description_Simple,0.3,0.3,0.3,0.3,False,0.4548584818840027,0.1548584818840027,True,False,False,False,True
p02400,Description_Simple,0.9,0.9,0.9,0.9,True,0.7532653212547302,0.1467346787452698,True,True,True,True,False
p02404,Description_Simple,0.8,0.8,0.8,0.8,True,0.4858452081680298,0.31415479183197026,False,True,False,False,False
p02402,Description_Simple,0.9,0.9,0.9,0.9,True,0.5837861895561218,0.3162138104438782,True,True,True,True,False
p02403,Description_Simple,0.8,0.8,0.8,0.8,True,0.4997369349002838,0.30026306509971623,False,True,False,False,False
p02392,Description_Simple,0.9,0.9,0.9,0.9,True,0.5598546862602234,0.34014531373977663,True,True,True,True,False
p02397,Description_Simple,1.0,1.0,1.0,1.0,True,0.4959145188331604,0.5040854811668396,False,True,False,False,False
p02401,Description_Simple,0.4,0.4,0.4,0.4,False,0.5038917660713196,0.10389176607131956,False,False,True,False,False
p02399,Description_Simple,1.0,1.0,1.0,1.0,True,0.5266159772872925,0.4733840227127075,True,True,True,True,False
p02394,Description_Simple,1.0,1.0,1.0,1.0,True,0.7225065231323242,0.2774934768676758,True,True,True,True,False
p02405,Description_Simple,0.7,0.7,0.7,0.7,True,0.48639875650405884,0.21360124349594112,False,True,False,False,False
p02408,Description_Simple,0.9,0.9,0.9,0.9,True,0.6689334511756897,0.23106654882431032,True,True,True,True,False
p02407,Description_Simple,1.0,1.0,1.0,1.0,True,0.64061439037323,0.35938560962677,True,True,True,True,False
p02414,Description_Simple,0.4,0.4,0.4,0.4,False,0.7323129773139954,0.33231297731399534,False,False,True,False,False
p02412,Description_Simple,1.0,1.0,1.0,1.0,True,0.6635838747024536,0.3364161252975464,True,True,True,True,False
p02406,Description_Simple,0.8,0.8,0.8,0.8,True,0.2730323374271393,0.5269676625728608,False,True,False,False,False
p02413,Description_Simple,1.0,1.0,1.0,1.0,True,0.5619551539421082,0.43804484605789185,True,True,True,True,False
p02409,Description_Simple,0.9,0.9,0.9,0.9,True,0.6512035131454468,0.24879648685455324,True,True,True,True,False
p02415,Description_Simple,1.0,1.0,1.0,1.0,True,0.6759222745895386,0.3240777254104614,True,True,True,True,False
p02418,Description_Simple,1.0,1.0,1.0,1.0,True,0.5803580284118652,0.41964197158813477,True,True,True,True,False
p02411,Description_Simple,0.0,0.0,0.0,0.0,False,0.6602231860160828,0.6602231860160828,False,False,True,False,False
p02420,Description_Simple,0.9,0.9,0.9,0.9,True,0.3446684181690216,0.5553315818309784,False,True,False,False,False
p02410,Description_Simple,0.2,0.2,0.2,0.2,False,0.6289550065994263,0.42895500659942626,False,False,True,False,False
p02419,Description_Simple,1.0,1.0,1.0,1.0,True,0.49785828590393066,0.5021417140960693,False,True,False,False,False
p02416,Description_Simple,0.3,0.3,0.3,0.3,False,0.632988691329956,0.33298869132995607,False,False,True,False,False
p02417,Description_Simple,1.0,1.0,1.0,1.0,True,0.680683434009552,0.319316565990448,True,True,True,True,False
p02421,Description_Simple,0.7,0.7,0.7,0.7,True,0.721664547920227,0.021664547920227095,True,True,True,True,False
p02547,Description_Simple,1.0,1.0,1.0,1.0,True,0.32232505083084106,0.6776749491691589,False,True,False,False,False
p02571,Description_Simple,1.0,1.0,1.0,1.0,True,0.41219690442085266,0.5878030955791473,False,True,False,False,False
p02578,Description_Simple,0.0,0.0,0.0,0.0,False,0.07233050465583801,0.07233050465583801,True,False,False,False,True
p02582,Description_Simple,1.0,1.0,1.0,1.0,True,0.5402873158454895,0.4597126841545105,True,True,True,True,False
p02576,Description_Simple,1.0,1.0,1.0,1.0,True,0.3724944293498993,0.6275055706501007,False,True,False,False,False
p02577,Description_Simple,0.0,0.0,0.0,0.0,False,0.2678550183773041,0.2678550183773041,True,False,False,False,True
p02612,Description_Simple,0.0,0.0,0.0,0.0,False,0.17151108384132385,0.17151108384132385,True,False,False,False,True
p02627,Description_Simple,0.0,0.0,0.0,0.0,False,0.23727290332317352,0.23727290332317352,True,False,False,False,True
p02621,Description_Simple,0.0,0.0,0.0,0.0,False,0.1813863217830658,0.1813863217830658,True,False,False,False,True
p02570,Description_Simple,0.0,0.0,0.0,0.0,False,0.187042236328125,0.187042236328125,True,False,False,False,True
p02595,Description_Simple,0.0,0.0,0.0,0.0,False,0.22321024537086487,0.22321024537086487,True,False,False,False,True
p02552,Description_Simple,0.0,0.0,0.0,0.0,False,0.22753015160560608,0.22753015160560608,True,False,False,False,True
p02613,Description_Simple,0.9,0.9,0.9,0.9,True,0.44859129190444946,0.45140870809555056,False,True,False,False,False
p02622,Description_Simple,1.0,1.0,1.0,1.0,True,0.3396396040916443,0.6603603959083557,False,True,False,False,False
p02553,Description_Simple,0.4,0.4,0.4,0.4,False,0.6772176623344421,0.2772176623344421,False,False,True,False,False
p02657,Description_Simple,0.0,0.0,0.0,0.0,False,0.2382374405860901,0.2382374405860901,True,False,False,False,True
p02628,Description_Simple,0.9,0.9,0.9,0.9,True,0.24091693758964539,0.6590830624103546,False,True,False,False,False
p02640,Description_Simple,0.0,0.0,0.0,0.0,False,0.26679304242134094,0.26679304242134094,True,False,False,False,True
p02641,Description_Simple,0.2,0.2,0.2,0.2,False,0.3768574893474579,0.17685748934745787,True,False,False,False,True
p02629,Description_Simple,0.9,0.9,0.9,0.9,True,0.28319287300109863,0.6168071269989014,False,True,False,False,False
p02688,Description_Simple,0.2,0.2,0.2,0.2,False,0.1472509354352951,0.052749064564704906,True,False,False,False,True
p02639,Description_Simple,0.0,0.0,0.0,0.0,False,0.18358400464057922,0.18358400464057922,True,False,False,False,True
p02681,Description_Simple,1.0,1.0,1.0,1.0,True,0.6103139519691467,0.38968604803085327,True,True,True,True,False
p02675,Description_Simple,0.9,0.9,0.9,0.9,True,0.2659016251564026,0.6340983748435974,False,True,False,False,False
