Sub_Directory,Description_Type,LLM_GPT4.5_Score,LLM_Claude_Score,LLM_Average_Score,LLM_Consensus,ST_Similarity_Score,Score_Difference,Agreement,LLM_Success,ST_Success,Both_Success,Neither_Success
p02675,Description_Detailed,0.0,0.0,0.0,False,0.4086233079433441,0.4086233079433441,True,False,False,False,True
p02675,Description_Fewshot,0.0,0.0,0.0,False,0.11353990435600281,0.11353990435600281,True,False,False,False,True
p02675,Description_Reason,0.0,0.0,0.0,False,0.007340539246797562,0.007340539246797562,True,False,False,False,True
p02675,Description_Simple,0.0,0.0,0.0,False,0.08889118582010269,0.08889118582010269,True,False,False,False,True
p02675,Description_Vague,0.0,0.0,0.0,False,0.35678035020828247,0.35678035020828247,True,False,False,False,True
p02970,Description_Detailed,0.0,0.0,0.0,False,0.10693169385194778,0.10693169385194778,True,False,False,False,True
p02970,Description_Fewshot,0.0,0.0,0.0,False,0.060654181987047195,0.060654181987047195,True,False,False,False,True
p02970,Description_Reason,0.0,0.0,0.0,False,0.1522451937198639,0.1522451937198639,True,False,False,False,True
p02970,Description_Simple,0.0,0.0,0.0,False,0.2786659598350525,0.2786659598350525,True,False,False,False,True
p02970,Description_Vague,0.0,0.0,0.0,False,0.3212842047214508,0.3212842047214508,True,False,False,False,True
p03136,Description_Detailed,0.0,0.0,0.0,False,0.41145145893096924,0.41145145893096924,True,False,False,False,True
p03136,Description_Fewshot,0.0,0.0,0.0,False,0.008833786472678185,0.008833786472678185,True,False,False,False,True
p03136,Description_Reason,0.1,0.0,0.05,False,-0.03760494291782379,0.0876049429178238,True,False,False,False,True
p03136,Description_Simple,0.0,0.1,0.05,False,0.3073450028896332,0.2573450028896332,True,False,False,False,True
p03136,Description_Vague,0.0,0.0,0.0,False,0.5014071464538574,0.5014071464538574,False,False,True,False,False
p03261,Description_Detailed,0.0,0.0,0.0,False,0.6046456098556519,0.6046456098556519,False,False,True,False,False
p03261,Description_Fewshot,0.0,0.0,0.0,False,0.11395887285470963,0.11395887285470963,True,False,False,False,True
p03261,Description_Reason,0.0,0.1,0.05,False,0.002494923770427704,0.0475050762295723,True,False,False,False,True
p03261,Description_Simple,0.0,0.3,0.15,False,0.15010397136211395,0.00010397136211395819,True,False,False,False,True
p03261,Description_Vague,0.0,0.0,0.0,False,0.537187397480011,0.537187397480011,False,False,True,False,False
p03416,Description_Detailed,0.4,0.0,0.2,False,0.1315806657075882,0.06841933429241182,True,False,False,False,True
p03416,Description_Fewshot,0.0,0.0,0.0,False,0.002647142857313156,0.002647142857313156,True,False,False,False,True
p03416,Description_Reason,0.3,0.0,0.15,False,0.08063706755638123,0.06936293244361877,True,False,False,False,True
p03416,Description_Simple,0.0,0.0,0.0,False,0.2442094087600708,0.2442094087600708,True,False,False,False,True
p03416,Description_Vague,0.1,0.3,0.2,False,0.3647066652774811,0.16470666527748107,True,False,False,False,True
p02681,Description_Detailed,0.0,0.0,0.0,False,0.3908075988292694,0.3908075988292694,True,False,False,False,True
p02681,Description_Fewshot,0.0,0.0,0.0,False,0.23534870147705078,0.23534870147705078,True,False,False,False,True
p02681,Description_Reason,0.3,0.0,0.15,False,-0.00670708529651165,0.15670708529651164,True,False,False,False,True
p02681,Description_Simple,0.1,0.4,0.25,False,0.4677250385284424,0.21772503852844238,True,False,False,False,True
p02681,Description_Vague,0.0,0.1,0.05,False,0.4083012342453003,0.3583012342453003,True,False,False,False,True
p02677,Description_Detailed,0.0,0.0,0.0,False,0.5769332647323608,0.5769332647323608,False,False,True,False,False
p02677,Description_Fewshot,0.4,0.0,0.2,False,0.04925234243273735,0.15074765756726266,True,False,False,False,True
p02677,Description_Reason,0.7,0.0,0.35,False,0.02425750344991684,0.32574249655008314,True,False,False,False,True
p02677,Description_Simple,0.0,0.0,0.0,False,-0.010322565212845802,0.010322565212845802,True,False,False,False,True
p02677,Description_Vague,0.0,0.4,0.2,False,0.3868410289287567,0.1868410289287567,True,False,False,False,True
p02759,Description_Detailed,0.0,0.0,0.0,False,0.21304847300052643,0.21304847300052643,True,False,False,False,True
p02759,Description_Fewshot,0.0,0.0,0.0,False,0.2245166003704071,0.2245166003704071,True,False,False,False,True
p02759,Description_Reason,0.0,0.7,0.35,False,0.029887085780501366,0.3201129142194986,True,False,False,False,True
p02759,Description_Simple,0.0,0.0,0.0,False,0.1825450211763382,0.1825450211763382,True,False,False,False,True
p02759,Description_Vague,0.0,0.0,0.0,False,0.29495182633399963,0.29495182633399963,True,False,False,False,True
p02835,Description_Detailed,0.0,0.0,0.0,False,0.5108927488327026,0.5108927488327026,False,False,True,False,False
p02835,Description_Fewshot,0.7,0.7,0.7,True,-0.07540327310562134,0.7754032731056213,False,True,False,False,False
p02835,Description_Reason,0.0,0.0,0.0,False,0.3325701057910919,0.3325701057910919,True,False,False,False,True
p02835,Description_Simple,0.1,0.1,0.1,False,0.15044176578521729,0.05044176578521728,True,False,False,False,True
p02835,Description_Vague,0.0,0.0,0.0,False,0.4172588884830475,0.4172588884830475,True,False,False,False,True
p03239,Description_Detailed,1.0,1.0,1.0,True,0.3662431836128235,0.6337568163871765,False,True,False,False,False
p03239,Description_Fewshot,0.0,0.9,0.45,False,0.22579969465732574,0.22420030534267427,True,False,False,False,True
