rank,model1,model2,model1_key,model2_key,n_valid,union_pct,both_pct,only1_pct,only2_pct,single1_pct,single2_pct,both,only1,only2
1,Gemini,Qwen3.7,gemini,qwen37_plus,250,89.6000,54.0000,26.0000,9.6000,80.0000,63.6000,135,65,24
2,Gemini,Kimi-K2.7,gemini,kimi_k25,250,89.6000,53.2000,26.8000,9.6000,80.0000,62.8000,133,67,24
3,O4-mini,Qwen3.7,o4mini,qwen37_plus,250,89.2000,50.8000,25.6000,12.8000,76.4000,63.6000,127,64,32
4,O4-mini,GLM-5,o4mini,glm5,250,89.2000,52.0000,24.4000,12.8000,76.4000,64.8000,130,61,32
5,Gemini,GLM-5,gemini,glm5,250,89.2000,55.6000,24.4000,9.2000,80.0000,64.8000,139,61,23
6,O4-mini,Gemini,o4mini,gemini,250,88.8000,67.6000,8.8000,12.4000,76.4000,80.0000,169,22,31
7,O4-mini,DeepSeek-R1,o4mini,deepseek_r1,250,88.8000,51.2000,25.2000,12.4000,76.4000,63.6000,128,63,31
8,O4-mini,Kimi-K2.7,o4mini,kimi_k25,250,88.8000,50.4000,26.0000,12.4000,76.4000,62.8000,126,65,31
9,Gemini,DeepSeek-R1,gemini,deepseek_r1,250,88.0000,55.6000,24.4000,8.0000,80.0000,63.6000,139,61,20
10,Gemini,Claude-5,gemini,claude_sonnet_5,250,88.0000,51.6000,28.4000,8.0000,80.0000,59.6000,129,71,20
11,O4-mini,DeepSeek-V4-Pro,o4mini,deepseek_v4_pro,250,87.6000,47.2000,29.2000,11.2000,76.4000,58.4000,118,73,28
12,O4-mini,Claude-5,o4mini,claude_sonnet_5,250,87.6000,48.4000,28.0000,11.2000,76.4000,59.6000,121,70,28
13,Gemini,DeepSeek-V3.1,gemini,deepseek_v31,250,87.2000,49.6000,30.4000,7.2000,80.0000,56.8000,124,76,18
