Sub_Directory,Description_Type,Judge_1_Score,Judge_2_Score,Judge_3_Score,LLM_Average_Score,LLM_Consensus,ST_Similarity_Score,Score_Difference,Agreement,LLM_Success,ST_Success,Both_Success,Neither_Success
p00002,Description_Simple,0.0,0.0,0.0,0.0,False,0.10013596713542938,0.10013596713542938,True,False,False,False,True
p00001,Description_Simple,0.2,0.2,0.2,0.2,False,0.19881431758403778,0.0011856824159622303,True,False,False,False,True
p02255,Description_Simple,0.7,0.7,0.7,0.7,True,0.48546674847602844,0.2145332515239715,False,True,False,False,False
p00003,Description_Simple,0.6,0.6,0.6,0.6,True,0.2736944258213043,0.32630557417869566,False,True,False,False,False
p00011,Description_Simple,0.0,0.0,0.0,0.0,False,0.13158738613128662,0.13158738613128662,True,False,False,False,True
p02258,Description_Simple,0.3,0.3,0.3,0.3,False,0.37322890758514404,0.07322890758514405,True,False,False,False,True
p00007,Description_Simple,0.0,0.0,0.0,0.0,False,0.19493438303470612,0.19493438303470612,True,False,False,False,True
p00005,Description_Simple,1.0,1.0,1.0,1.0,True,0.5551344156265259,0.4448655843734741,True,True,True,True,False
p02263,Description_Simple,1.0,1.0,1.0,1.0,True,0.6130331754684448,0.3869668245315552,True,True,True,True,False
p00006,Description_Simple,0.0,0.0,0.0,0.0,False,0.22670571506023407,0.22670571506023407,True,False,False,False,True
p02259,Description_Simple,0.8,0.8,0.8,0.8,True,0.5441858768463135,0.25581412315368657,True,True,True,True,False
p02256,Description_Simple,0.8,0.8,0.8,0.8,True,0.4548341631889343,0.3451658368110657,False,True,False,False,False
p02257,Description_Simple,0.4,0.4,0.4,0.4,False,0.5060065388679504,0.10600653886795042,False,False,True,False,False
p02264,Description_Simple,0.8,0.8,0.8,0.8,True,0.4836095869541168,0.3163904130458832,False,True,False,False,False
p02260,Description_Simple,1.0,1.0,1.0,1.0,True,0.6325600147247314,0.36743998527526855,True,True,True,True,False
p02268,Description_Simple,0.4,0.4,0.4,0.4,False,0.17568360269069672,0.2243163973093033,True,False,False,False,True
p02381,Description_Simple,0.0,0.0,0.0,0.0,False,0.041314747184515,0.041314747184515,True,False,False,False,True
p02389,Description_Simple,0.1,0.1,0.1,0.1,False,0.025653477758169174,0.07434652224183083,True,False,False,False,True
p02388,Description_Simple,0.0,0.0,0.0,0.0,False,-0.013375555165112019,0.013375555165112019,True,False,False,False,True
p02396,Description_Simple,0.0,0.0,0.0,0.0,False,0.1313077211380005,0.1313077211380005,True,False,False,False,True
p02390,Description_Simple,0.0,0.0,0.0,0.0,False,0.06559408456087112,0.06559408456087112,True,False,False,False,True
p02394,Description_Simple,0.0,0.0,0.0,0.0,False,0.12535127997398376,0.12535127997398376,True,False,False,False,True
p02400,Description_Simple,1.0,1.0,1.0,1.0,True,0.5169661045074463,0.4830338954925537,True,True,True,True,False
p02392,Description_Simple,1.0,1.0,1.0,1.0,True,0.19290561974048615,0.8070943802595139,False,True,False,False,False
p02398,Description_Simple,0.2,0.2,0.2,0.2,False,0.3197442591190338,0.1197442591190338,True,False,False,False,True
p02399,Description_Simple,0.6,0.6,0.6,0.6,True,0.4035910964012146,0.19640890359878538,False,True,False,False,False
p02402,Description_Simple,0.0,0.0,0.0,0.0,False,0.142210453748703,0.142210453748703,True,False,False,False,True
p02401,Description_Simple,0.7,0.7,0.7,0.7,True,0.4106560945510864,0.28934390544891353,False,True,False,False,False
p02393,Description_Simple,0.7,0.7,0.7,0.7,True,0.311612606048584,0.38838739395141597,False,True,False,False,False
p02397,Description_Simple,0.0,0.0,0.0,0.0,False,0.08280134201049805,0.08280134201049805,True,False,False,False,True
p02404,Description_Simple,0.4,0.4,0.4,0.4,False,0.15836940705776215,0.24163059294223788,True,False,False,False,True
p02403,Description_Simple,0.1,0.1,0.1,0.1,False,0.0982014611363411,0.0017985388636589106,True,False,False,False,True
p02408,Description_Simple,0.0,0.0,0.0,0.0,False,0.06488840281963348,0.06488840281963348,True,False,False,False,True
p02405,Description_Simple,0.2,0.2,0.2,0.2,False,0.10211631655693054,0.09788368344306947,True,False,False,False,True
p02410,Description_Simple,0.9,0.9,0.9,0.9,True,0.31175631284713745,0.5882436871528626,False,True,False,False,False
p02406,Description_Simple,0.9,0.9,0.9,0.9,True,0.2412291169166565,0.6587708830833435,False,True,False,False,False
p02409,Description_Simple,1.0,1.0,1.0,1.0,True,0.43006134033203125,0.5699386596679688,False,True,False,False,False
p02412,Description_Simple,0.9,0.9,0.9,0.9,True,0.3028195798397064,0.5971804201602936,False,True,False,False,False
p02407,Description_Simple,0.0,0.0,0.0,0.0,False,0.03449404239654541,0.03449404239654541,True,False,False,False,True
p02418,Description_Simple,0.0,0.0,0.0,0.0,False,0.26225546002388,0.26225546002388,True,False,False,False,True
p02414,Description_Simple,0.9,0.9,0.9,0.9,True,0.535661518573761,0.36433848142623904,True,True,True,True,False
p02419,Description_Simple,0.2,0.2,0.2,0.2,False,0.09335403889417648,0.10664596110582353,True,False,False,False,True
p02415,Description_Simple,0.4,0.4,0.4,0.4,False,0.22877970337867737,0.17122029662132265,True,False,False,False,True
p02411,Description_Simple,0.1,0.1,0.1,0.1,False,0.25062015652656555,0.15062015652656555,True,False,False,False,True
p02417,Description_Simple,0.8,0.8,0.8,0.8,True,0.31238946318626404,0.487610536813736,False,True,False,False,False
p02416,Description_Simple,0.0,0.0,0.0,0.0,False,0.1637255996465683,0.1637255996465683,True,False,False,False,True
p02420,Description_Simple,0.0,0.0,0.0,0.0,False,0.067991241812706,0.067991241812706,True,False,False,False,True
p02413,Description_Simple,0.6,0.6,0.6,0.6,True,0.21577152609825134,0.38422847390174864,False,True,False,False,False
p02553,Description_Simple,0.0,0.0,0.0,0.0,False,0.11739540845155716,0.11739540845155716,True,False,False,False,True
p02552,Description_Simple,0.0,0.0,0.0,0.0,False,0.10338424891233444,0.10338424891233444,True,False,False,False,True
p02421,Description_Simple,0.9,0.9,0.9,0.9,True,0.26667773723602295,0.6333222627639771,False,True,False,False,False
p02570,Description_Simple,0.0,0.0,0.0,0.0,False,0.09066520631313324,0.09066520631313324,True,False,False,False,True
p02547,Description_Simple,1.0,1.0,1.0,1.0,True,0.18760143220424652,0.8123985677957535,False,True,False,False,False
p02576,Description_Simple,0.0,0.0,0.0,0.0,False,0.18180660903453827,0.18180660903453827,True,False,False,False,True
p02582,Description_Simple,1.0,1.0,1.0,1.0,True,0.3941163718700409,0.6058836281299591,False,True,False,False,False
p02578,Description_Simple,0.0,0.0,0.0,0.0,False,0.2052539885044098,0.2052539885044098,True,False,False,False,True
p02571,Description_Simple,0.0,0.0,0.0,0.0,False,0.10813454538583755,0.10813454538583755,True,False,False,False,True
p02595,Description_Simple,0.7,0.7,0.7,0.7,True,0.12624889612197876,0.5737511038780212,False,True,False,False,False
p02577,Description_Simple,1.0,1.0,1.0,1.0,True,0.3217257559299469,0.6782742440700531,False,True,False,False,False
p02627,Description_Simple,0.0,0.0,0.0,0.0,False,0.18286015093326569,0.18286015093326569,True,False,False,False,True
p02622,Description_Simple,0.0,0.0,0.0,0.0,False,0.09123832732439041,0.09123832732439041,True,False,False,False,True
p02613,Description_Simple,0.4,0.4,0.4,0.4,False,0.35912105441093445,0.040878945589065574,True,False,False,False,True
p02621,Description_Simple,0.4,0.4,0.4,0.4,False,0.12902091443538666,0.27097908556461336,True,False,False,False,True
p02612,Description_Simple,0.0,0.0,0.0,0.0,False,0.10851439088582993,0.10851439088582993,True,False,False,False,True
p02639,Description_Simple,0.0,0.0,0.0,0.0,False,0.16451327502727509,0.16451327502727509,True,False,False,False,True
p02629,Description_Simple,1.0,1.0,1.0,1.0,True,0.18500648438930511,0.8149935156106949,False,True,False,False,False
p02640,Description_Simple,0.0,0.0,0.0,0.0,False,0.11168328672647476,0.11168328672647476,True,False,False,False,True
p02641,Description_Simple,0.0,0.0,0.0,0.0,False,-0.0009555518627166748,0.0009555518627166748,True,False,False,False,True
p02628,Description_Simple,0.0,0.0,0.0,0.0,False,0.056373339146375656,0.056373339146375656,True,False,False,False,True
p02675,Description_Simple,0.0,0.0,0.0,0.0,False,0.16419780254364014,0.16419780254364014,True,False,False,False,True
p02694,Description_Simple,0.0,0.0,0.0,0.0,False,0.1434752196073532,0.1434752196073532,True,False,False,False,True
p02658,Description_Simple,0.0,0.0,0.0,0.0,False,0.18732355535030365,0.18732355535030365,True,False,False,False,True
p02687,Description_Simple,0.0,0.0,0.0,0.0,False,0.05426200479269028,0.05426200479269028,True,False,False,False,True
p02659,Description_Simple,0.0,0.0,0.0,0.0,False,0.08284656703472137,0.08284656703472137,True,False,False,False,True
p02657,Description_Simple,0.1,0.1,0.1,0.1,False,0.06539593636989594,0.03460406363010407,True,False,False,False,True
p02688,Description_Simple,0.0,0.0,0.0,0.0,False,0.07018375396728516,0.07018375396728516,True,False,False,False,True
p02676,Description_Simple,0.0,0.0,0.0,0.0,False,0.12502087652683258,0.12502087652683258,True,False,False,False,True
p02693,Description_Simple,0.9,0.9,0.9,0.9,True,0.2344115674495697,0.6655884325504303,False,True,False,False,False
p02681,Description_Simple,0.0,0.0,0.0,0.0,False,0.2008630335330963,0.2008630335330963,True,False,False,False,True
p02682,Description_Simple,0.0,0.0,0.0,0.0,False,0.09462589025497437,0.09462589025497437,True,False,False,False,True
p02700,Description_Simple,0.0,0.0,0.0,0.0,False,0.09049809724092484,0.09049809724092484,True,False,False,False,True
p02701,Description_Simple,0.2,0.2,0.2,0.2,False,0.18408173322677612,0.015918266773223888,True,False,False,False,True
p02706,Description_Simple,1.0,1.0,1.0,1.0,True,0.07128016650676727,0.9287198334932327,False,True,False,False,False
p02713,Description_Simple,1.0,1.0,1.0,1.0,True,0.5202105641365051,0.4797894358634949,True,True,True,True,False
p02707,Description_Simple,0.9,0.9,0.9,0.9,True,0.135523721575737,0.764476278424263,False,True,False,False,False
p02712,Description_Simple,1.0,1.0,1.0,1.0,True,0.401787668466568,0.598212331533432,False,True,False,False,False
p02699,Description_Simple,1.0,1.0,1.0,1.0,True,0.18576818704605103,0.814231812953949,False,True,False,False,False
p02730,Description_Simple,0.9,0.9,0.9,0.9,True,0.4572452902793884,0.4427547097206116,False,True,False,False,False
p02718,Description_Simple,1.0,1.0,1.0,1.0,True,0.19541031122207642,0.8045896887779236,False,True,False,False,False
p02729,Description_Simple,1.0,1.0,1.0,1.0,True,0.14002105593681335,0.8599789440631866,False,True,False,False,False
p02723,Description_Simple,0.6,0.6,0.6,0.6,True,0.15726803243160248,0.4427319675683975,False,True,False,False,False
p02725,Description_Simple,0.2,0.2,0.2,0.2,False,0.016660166904330254,0.18333983309566976,True,False,False,False,True
p02719,Description_Simple,0.0,0.0,0.0,0.0,False,0.32501742243766785,0.32501742243766785,True,False,False,False,True
p02724,Description_Simple,0.1,0.1,0.1,0.1,False,0.17318429052829742,0.07318429052829742,True,False,False,False,True
p02711,Description_Simple,1.0,1.0,1.0,1.0,True,0.34821251034736633,0.6517874896526337,False,True,False,False,False
p02717,Description_Simple,0.0,0.0,0.0,0.0,False,0.04314842075109482,0.04314842075109482,True,False,False,False,True
p02753,Description_Simple,1.0,1.0,1.0,1.0,True,0.12797163426876068,0.8720283657312393,False,True,False,False,False
p02755,Description_Simple,0.0,0.0,0.0,0.0,False,0.15601462125778198,0.15601462125778198,True,False,False,False,True
p02759,Description_Simple,0.4,0.4,0.4,0.4,False,0.10414217412471771,0.2958578258752823,True,False,False,False,True
p02772,Description_Simple,0.0,0.0,0.0,0.0,False,0.19749784469604492,0.19749784469604492,True,False,False,False,True
p02777,Description_Simple,0.0,0.0,0.0,0.0,False,0.16043990850448608,0.16043990850448608,True,False,False,False,True
p02754,Description_Simple,0.0,0.0,0.0,0.0,False,0.17034219205379486,0.17034219205379486,True,False,False,False,True
p02766,Description_Simple,0.0,0.0,0.0,0.0,False,0.14144620299339294,0.14144620299339294,True,False,False,False,True
p02773,Description_Simple,0.1,0.1,0.1,0.1,False,0.15165796875953674,0.05165796875953674,True,False,False,False,True
p02778,Description_Simple,0.4,0.4,0.4,0.4,False,0.238925963640213,0.161074036359787,True,False,False,False,True
p02784,Description_Simple,0.2,0.2,0.2,0.2,False,0.17571070790290833,0.024289292097091686,True,False,False,False,True
p02771,Description_Simple,0.0,0.0,0.0,0.0,False,0.16989290714263916,0.16989290714263916,True,False,False,False,True
p02786,Description_Simple,0.4,0.4,0.4,0.4,False,0.09594997018575668,0.30405002981424334,True,False,False,False,True
p02779,Description_Simple,1.0,1.0,1.0,1.0,True,0.4097999632358551,0.5902000367641449,False,True,False,False,False
p02785,Description_Simple,0.1,0.1,0.1,0.1,False,0.11283739656209946,0.012837396562099451,True,False,False,False,True
p02783,Description_Simple,0.3,0.3,0.3,0.3,False,0.11827520281076431,0.18172479718923568,True,False,False,False,True
p02767,Description_Simple,1.0,1.0,1.0,1.0,True,0.251261830329895,0.748738169670105,False,True,False,False,False
p02812,Description_Simple,1.0,1.0,1.0,1.0,True,0.4982483983039856,0.5017516016960144,False,True,False,False,False
p02802,Description_Simple,0.0,0.0,0.0,0.0,False,0.21152403950691223,0.21152403950691223,True,False,False,False,True
p02801,Description_Simple,0.0,0.0,0.0,0.0,False,0.17415456473827362,0.17415456473827362,True,False,False,False,True
p02790,Description_Simple,0.0,0.0,0.0,0.0,False,0.1815732717514038,0.1815732717514038,True,False,False,False,True
p02791,Description_Simple,0.0,0.0,0.0,0.0,False,0.25005435943603516,0.25005435943603516,True,False,False,False,True
p02848,Description_Simple,0.0,0.0,0.0,0.0,False,0.13458946347236633,0.13458946347236633,True,False,False,False,True
p02832,Description_Simple,0.0,0.0,0.0,0.0,False,0.03497245907783508,0.03497245907783508,True,False,False,False,True
p02819,Description_Simple,1.0,1.0,1.0,1.0,True,0.5407665967941284,0.4592334032058716,True,True,True,True,False
p02830,Description_Simple,0.0,0.0,0.0,0.0,False,0.020455406978726387,0.020455406978726387,True,False,False,False,True
p02860,Description_Simple,0.0,0.0,0.0,0.0,False,0.07667019963264465,0.07667019963264465,True,False,False,False,True
p02847,Description_Simple,0.0,0.0,0.0,0.0,False,0.05222795158624649,0.05222795158624649,True,False,False,False,True
p02829,Description_Simple,0.0,0.0,0.0,0.0,False,0.06476990133523941,0.06476990133523941,True,False,False,False,True
p02818,Description_Simple,0.2,0.2,0.2,0.2,False,0.17710646986961365,0.022893530130386364,True,False,False,False,True
p02835,Description_Simple,0.0,0.0,0.0,0.0,False,-0.0057302783243358135,0.0057302783243358135,True,False,False,False,True
p02836,Description_Simple,0.0,0.0,0.0,0.0,False,0.005481078755110502,0.005481078755110502,True,False,False,False,True
p02831,Description_Simple,0.0,0.0,0.0,0.0,False,0.09886592626571655,0.09886592626571655,True,False,False,False,True
p02880,Description_Simple,0.0,0.0,0.0,0.0,False,0.06139879301190376,0.06139879301190376,True,False,False,False,True
p02909,Description_Simple,0.0,0.0,0.0,0.0,False,0.08655086159706116,0.08655086159706116,True,False,False,False,True
p02921,Description_Simple,0.0,0.0,0.0,0.0,False,0.06565528362989426,0.06565528362989426,True,False,False,False,True
p02886,Description_Simple,0.0,0.0,0.0,0.0,False,0.044696010649204254,0.044696010649204254,True,False,False,False,True
p02897,Description_Simple,0.0,0.0,0.0,0.0,False,0.038395822048187256,0.038395822048187256,True,False,False,False,True
p02879,Description_Simple,1.0,1.0,1.0,1.0,True,0.4411008656024933,0.5588991343975067,False,True,False,False,False
p02887,Description_Simple,0.0,0.0,0.0,0.0,False,-0.005847647786140442,0.005847647786140442,True,False,False,False,True
p02881,Description_Simple,0.0,0.0,0.0,0.0,False,0.18266865611076355,0.18266865611076355,True,False,False,False,True
p02923,Description_Simple,0.0,0.0,0.0,0.0,False,0.12650041282176971,0.12650041282176971,True,False,False,False,True
