Sub_Directory,Description_Type,LLM_GPT4.5_Score,LLM_Claude_Score,LLM_Average_Score,LLM_Consensus,ST_Similarity_Score,Score_Difference,Agreement,LLM_Success,ST_Success,Both_Success,Neither_Success
p02675,Description_Fewshot,0.0,0.0,0.0,False,0.07341782748699188,0.07341782748699188,True,False,False,False,True
p02675,Description_Reason,0.0,0.0,0.0,False,0.10704434663057327,0.10704434663057327,True,False,False,False,True
p02675,Description_Simple,0.0,0.0,0.0,False,0.17881372570991516,0.17881372570991516,True,False,False,False,True
p02970,Description_Fewshot,0.0,0.0,0.0,False,0.0028133271262049675,0.0028133271262049675,True,False,False,False,True
p02970,Description_Reason,0.0,0.0,0.0,False,0.4032057523727417,0.4032057523727417,True,False,False,False,True
p02970,Description_Simple,0.0,0.0,0.0,False,0.22006230056285858,0.22006230056285858,True,False,False,False,True
p03136,Description_Fewshot,0.0,0.0,0.0,False,0.11356719583272934,0.11356719583272934,True,False,False,False,True
p03136,Description_Reason,0.0,0.0,0.0,False,0.056849732995033264,0.056849732995033264,True,False,False,False,True
p03136,Description_Simple,0.3,0.0,0.15,False,0.03518170863389969,0.1148182913661003,True,False,False,False,True
p03261,Description_Fewshot,0.0,0.0,0.0,False,0.49660199880599976,0.49660199880599976,True,False,False,False,True
p03261,Description_Reason,0.0,0.0,0.0,False,0.15968579053878784,0.15968579053878784,True,False,False,False,True
p03261,Description_Simple,0.0,0.3,0.15,False,0.20943620800971985,0.059436208009719854,True,False,False,False,True
p03416,Description_Fewshot,0.0,0.0,0.0,False,0.016922853887081146,0.016922853887081146,True,False,False,False,True
p03416,Description_Reason,0.0,0.0,0.0,False,0.15788891911506653,0.15788891911506653,True,False,False,False,True
p03416,Description_Simple,0.0,0.0,0.0,False,-0.031834926456213,0.031834926456213,True,False,False,False,True
p02681,Description_Fewshot,0.0,0.0,0.0,False,0.008378771133720875,0.008378771133720875,True,False,False,False,True
p02681,Description_Reason,0.0,0.0,0.0,False,0.1631937026977539,0.1631937026977539,True,False,False,False,True
p02681,Description_Simple,0.0,0.0,0.0,False,0.31609046459198,0.31609046459198,True,False,False,False,True
p02677,Description_Fewshot,0.0,0.0,0.0,False,0.05054263770580292,0.05054263770580292,True,False,False,False,True
p02677,Description_Reason,0.0,0.0,0.0,False,-0.018914639949798584,0.018914639949798584,True,False,False,False,True
p02677,Description_Simple,0.0,0.0,0.0,False,0.045311104506254196,0.045311104506254196,True,False,False,False,True
p02759,Description_Fewshot,0.0,0.0,0.0,False,0.030672799795866013,0.030672799795866013,True,False,False,False,True
p02759,Description_Reason,0.0,0.0,0.0,False,0.0008846614509820938,0.0008846614509820938,True,False,False,False,True
p02759,Description_Simple,0.0,0.0,0.0,False,0.22582122683525085,0.22582122683525085,True,False,False,False,True
p02835,Description_Fewshot,0.0,0.0,0.0,False,0.034441590309143066,0.034441590309143066,True,False,False,False,True
p02835,Description_Reason,0.0,0.0,0.0,False,0.10455312579870224,0.10455312579870224,True,False,False,False,True
p02835,Description_Simple,0.0,0.0,0.0,False,0.10643422603607178,0.10643422603607178,True,False,False,False,True
p03239,Description_Fewshot,0.0,0.0,0.0,False,0.04902224987745285,0.04902224987745285,True,False,False,False,True
p03239,Description_Reason,0.0,0.0,0.0,False,0.03309145197272301,0.03309145197272301,True,False,False,False,True
p03239,Description_Simple,0.0,0.0,0.0,False,0.040480658411979675,0.040480658411979675,True,False,False,False,True
p03449,Description_Fewshot,0.0,0.0,0.0,False,0.556114912033081,0.556114912033081,False,False,True,False,False
p03449,Description_Reason,0.0,0.0,0.0,False,0.08598056435585022,0.08598056435585022,True,False,False,False,True
p03449,Description_Simple,0.0,0.1,0.05,False,0.2821994423866272,0.2321994423866272,True,False,False,False,True
p03037,Description_Fewshot,0.0,0.0,0.0,False,0.28473347425460815,0.28473347425460815,True,False,False,False,True
p03037,Description_Reason,0.0,0.0,0.0,False,0.28411781787872314,0.28411781787872314,True,False,False,False,True
p03037,Description_Simple,0.0,0.0,0.0,False,0.28391799330711365,0.28391799330711365,True,False,False,False,True
p03042,Description_Fewshot,0.0,0.0,0.0,False,0.21086229383945465,0.21086229383945465,True,False,False,False,True
p03042,Description_Reason,0.1,0.0,0.05,False,0.02300688996911049,0.026993110030889514,True,False,False,False,True
p03042,Description_Simple,0.0,0.0,0.0,False,0.04786736145615578,0.04786736145615578,True,False,False,False,True
p00005,Description_Fewshot,0.0,0.0,0.0,False,0.020584629848599434,0.020584629848599434,True,False,False,False,True
p00005,Description_Reason,0.0,0.0,0.0,False,-0.011639175936579704,0.011639175936579704,True,False,False,False,True
p00005,Description_Simple,0.0,0.0,0.0,False,0.050372518599033356,0.050372518599033356,True,False,False,False,True
