Sub_Directory,Description_Type,LLM_GPT4.5_Score,LLM_Claude_Score,LLM_Average_Score,LLM_Consensus,ST_Similarity_Score,Score_Difference,Agreement,LLM_Success,ST_Success,Both_Success,Neither_Success
p02847,Description_Detailed,0.1,0.1,0.1,False,0.44527414441108704,0.34527414441108706,True,False,False,False,True
p02847,Description_Fewshot,0.3,0.9,0.6,True,0.5239471197128296,0.07605288028717039,True,True,True,True,False
p02847,Description_Reason,0.9,0.3,0.6,True,0.25098541378974915,0.34901458621025083,False,True,False,False,False
p02847,Description_Simple,0.3,0.7,0.5,True,0.20355379581451416,0.29644620418548584,False,True,False,False,False
p02847,Description_Vague,0.7,0.4,0.55,True,0.19608667492866516,0.3539133250713349,False,True,False,False,False
p00006,Description_Detailed,0.1,0.7,0.39999999999999997,False,0.5597878694534302,0.1597878694534302,False,False,True,False,False
p00006,Description_Fewshot,0.7,0.3,0.5,True,0.5510770082473755,0.05107700824737549,True,True,True,True,False
p00006,Description_Reason,1.0,0.1,0.55,True,0.6709960699081421,0.12099606990814205,True,True,True,True,False
p00006,Description_Simple,0.9,0.3,0.6,True,0.5349006056785583,0.06509939432144163,True,True,True,True,False
p00006,Description_Vague,0.9,0.9,0.9,True,0.5411803722381592,0.35881962776184084,True,True,True,True,False
p02659,Description_Detailed,1.0,0.9,0.95,True,0.33756062388420105,0.6124393761157989,False,True,False,False,False
p02659,Description_Fewshot,1.0,1.0,1.0,True,0.4617723822593689,0.5382276177406311,False,True,False,False,False
p02659,Description_Reason,0.7,0.7,0.7,True,0.6503446102142334,0.04965538978576656,True,True,True,True,False
p02659,Description_Simple,0.3,0.9,0.6,True,0.48859840631484985,0.11140159368515012,False,True,False,False,False
p02659,Description_Vague,0.4,1.0,0.7,True,0.31423109769821167,0.3857689023017883,False,True,False,False,False
p02400,Description_Detailed,0.7,1.0,0.85,True,0.6455121040344238,0.20448789596557615,True,True,True,True,False
