Sub_Directory,Description_Type,Judge_1_Score,Judge_2_Score,Judge_3_Score,LLM_Average_Score,LLM_Consensus,ST_Similarity_Score,Score_Difference,Agreement,LLM_Success,ST_Success,Both_Success,Neither_Success
p02577,Description_Simple,1.0,1.0,1.0,1.0,True,0.7136873602867126,0.28631263971328735,True,True,True,True,False
p02910,Description_Simple,0.0,0.0,0.0,0.0,False,0.532946765422821,0.532946765422821,False,False,True,False,False
p02570,Description_Simple,1.0,1.0,1.0,1.0,True,0.15609204769134521,0.8439079523086548,False,True,False,False,False
p03456,Description_Simple,1.0,1.0,1.0,1.0,True,0.6342090368270874,0.3657909631729126,True,True,True,True,False
p02711,Description_Simple,0.4,0.5,0.45,0.42500000000000004,False,0.4029175043106079,0.022082495689392134,True,False,False,False,True
p02917,Description_Simple,1.0,1.0,1.0,1.0,True,0.59926837682724,0.40073162317276,True,True,True,True,False
p02921,Description_Simple,0.3,0.0,0.15,0.22499999999999998,False,0.46650633215904236,0.24150633215904238,True,False,False,False,True
p03469,Description_Simple,0.2,0.1,0.15000000000000002,0.17500000000000002,False,0.5922638177871704,0.41726381778717037,False,False,True,False,False
p03059,Description_Simple,0.5,0.5,0.5,0.5,True,0.19789670407772064,0.30210329592227936,False,True,False,False,False
p02988,Description_Simple,0.2,0.0,0.1,0.15000000000000002,False,0.4157235622406006,0.26572356224060056,True,False,False,False,True
p02381,Description_Simple,0.6,0.5,0.55,0.575,True,0.6150349378585815,0.04003493785858159,True,True,True,True,False
p02773,Description_Simple,0.5,0.5,0.5,0.5,True,0.46720945835113525,0.032790541648864746,False,True,False,False,False
p02729,Description_Simple,0.0,0.0,0.0,0.0,False,0.2724264860153198,0.2724264860153198,True,False,False,False,True
p03035,Description_Simple,0.4,0.9,0.65,0.65,True,0.28271496295928955,0.36728503704071047,False,True,False,False,False
p03493,Description_Simple,0.5,0.5,0.5,0.5,True,0.5337356925010681,0.033735692501068115,True,True,True,True,False
p03494,Description_Simple,0.9,1.0,0.95,0.925,True,0.3894815146923065,0.5355184853076935,False,True,False,False,False
p02981,Description_Simple,1.0,1.0,1.0,1.0,True,0.17859436571598053,0.8214056342840195,False,True,False,False,False
p02576,Description_Simple,0.0,0.0,0.0,0.0,False,0.32721009850502014,0.32721009850502014,True,False,False,False,True
p02582,Description_Simple,0.0,0.0,0.0,0.0,False,0.5679460763931274,0.5679460763931274,False,False,True,False,False
p02718,Description_Simple,0.0,0.0,0.0,0.0,False,0.40018564462661743,0.40018564462661743,True,False,False,False,True
p03434,Description_Simple,1.0,1.0,1.0,1.0,True,0.42947956919670105,0.570520430803299,False,True,False,False,False
p03854,Description_Simple,0.5,0.0,0.25,0.25,False,0.34617650508880615,0.09617650508880615,True,False,False,False,True
p03457,Description_Simple,0.1,0.4,0.25,0.175,False,0.4852966368198395,0.3102966368198395,True,False,False,False,True
p02911,Description_Simple,0.0,0.0,0.0,0.0,False,0.32778534293174744,0.32778534293174744,True,False,False,False,True
p02547,Description_Simple,0.5,0.2,0.35,0.275,False,0.32210880517959595,0.047108805179595925,True,False,False,False,True
p04012,Description_Simple,1.0,0.5,0.75,0.75,True,0.6015428900718689,0.1484571099281311,True,True,True,True,False
p02388,Description_Simple,0.9,0.5,0.7,0.7,True,0.6880466938018799,0.011953306198120073,True,True,True,True,False
p03239,Description_Simple,0.5,0.5,0.5,0.5,True,0.24751397967338562,0.2524860203266144,False,True,False,False,False
p02772,Description_Simple,0.0,0.0,0.0,0.0,False,0.7318752408027649,0.7318752408027649,False,False,True,False,False
p02916,Description_Simple,1.0,0.8,0.9,0.95,True,0.2728762924671173,0.6771237075328826,False,True,False,False,False
p02786,Description_Simple,0.0,0.2,0.1,0.05,False,0.27547258138656616,0.22547258138656617,True,False,False,False,True
p02571,Description_Simple,0.1,0.9,0.5,0.5,True,0.4127192497253418,0.0872807502746582,False,True,False,False,False
p02899,Description_Simple,0.0,0.0,0.0,0.0,False,0.19572672247886658,0.19572672247886658,True,False,False,False,True
p02717,Description_Simple,0.0,0.0,0.0,0.0,False,0.4222317636013031,0.4222317636013031,True,False,False,False,True
p02987,Description_Simple,0.0,0.0,0.0,0.0,False,0.5691421031951904,0.5691421031951904,False,False,True,False,False
p02945,Description_Simple,0.0,0.0,0.0,0.0,False,0.489474356174469,0.489474356174469,True,False,False,False,True
p02389,Description_Simple,0.5,0.5,0.5,0.5,True,0.3239460289478302,0.1760539710521698,False,True,False,False,False
p02719,Description_Simple,0.0,0.0,0.0,0.0,False,0.4357309639453888,0.4357309639453888,True,False,False,False,True
p03060,Description_Simple,0.0,0.5,0.25,0.25,False,0.2481195628643036,0.0018804371356964111,True,False,False,False,True
p02830,Description_Simple,0.0,0.5,0.25,0.25,False,0.40495264530181885,0.15495264530181885,True,False,False,False,True
p03316,Description_Simple,1.0,0.9,0.95,0.925,True,0.5853824019432068,0.33961759805679326,True,True,True,True,False
p02264,Description_Simple,0.0,0.0,0.0,0.0,False,0.67271888256073,0.67271888256073,False,False,True,False,False
p03775,Description_Simple,0.2,0.5,0.35,0.275,False,0.33752894401550293,0.06252894401550291,True,False,False,False,True
