Sub_Directory,Description_Type,Judge_1_Score,Judge_2_Score,Judge_3_Score,LLM_Average_Score,LLM_Consensus,ST_Similarity_Score,Score_Difference,Agreement,LLM_Success,ST_Success,Both_Success,Neither_Success
p00002,Description_Detailed,0.0,0.0,0.0,0.0,False,,0.0,,False,False,False,True
p00007,Description_Detailed,0.0,0.0,0.0,0.0,False,,0.0,,False,False,False,True
p00005,Description_Detailed,0.1,0.1,0.1,0.1,False,,0.1,,False,False,False,True
p00003,Description_Detailed,0.3,0.3,0.3,0.3,False,,0.3,,False,False,False,True
p00001,Description_Detailed,0.5,0.5,0.5,0.5,True,,0.5,,True,False,False,False
p00006,Description_Detailed,0.7,0.7,0.7,0.7,True,,0.7,,True,False,False,False
p00011,Description_Detailed,0.0,0.0,0.0,0.0,False,,0.0,,False,False,False,True
p02255,Description_Detailed,0.7,0.7,0.7,0.7,True,,0.7,,True,False,False,False
p02257,Description_Detailed,0.0,0.0,0.0,0.0,False,,0.0,,False,False,False,True
p02259,Description_Detailed,0.9,0.9,0.9,0.9,True,,0.9,,True,False,False,False
p02256,Description_Detailed,0.4,0.4,0.4,0.4,False,,0.4,,False,False,False,True
p02258,Description_Detailed,0.9,0.9,0.9,0.9,True,,0.9,,True,False,False,False
p02263,Description_Detailed,0.0,0.0,0.0,0.0,False,,0.0,,False,False,False,True
p02264,Description_Detailed,0.8,0.8,0.8,0.8,True,,0.8,,True,False,False,False
p02381,Description_Detailed,0.8,0.8,0.8,0.8,True,,0.8,,True,False,False,False
p02268,Description_Detailed,0.0,0.0,0.0,0.0,False,,0.0,,False,False,False,True
p02260,Description_Detailed,0.9,0.9,0.9,0.9,True,,0.9,,True,False,False,False
p02388,Description_Detailed,0.9,0.9,0.9,0.9,True,,0.9,,True,False,False,False
p02390,Description_Detailed,0.0,0.0,0.0,0.0,False,,0.0,,False,False,False,True
p02389,Description_Detailed,0.4,0.4,0.4,0.4,False,,0.4,,False,False,False,True
p02393,Description_Detailed,1.0,1.0,1.0,1.0,True,,1.0,,True,False,False,False
p02392,Description_Detailed,0.0,0.0,0.0,0.0,False,,0.0,,False,False,False,True
p02394,Description_Detailed,0.0,0.0,0.0,0.0,False,,0.0,,False,False,False,True
p02391,Description_Detailed,0.2,0.2,0.2,0.2,False,,0.2,,False,False,False,True
p02399,Description_Detailed,0.2,0.2,0.2,0.2,False,,0.2,,False,False,False,True
p02398,Description_Detailed,0.0,0.0,0.0,0.0,False,,0.0,,False,False,False,True
p02400,Description_Detailed,0.7,0.7,0.7,0.7,True,,0.7,,True,False,False,False
p02401,Description_Detailed,0.2,0.2,0.2,0.2,False,,0.2,,False,False,False,True
p02396,Description_Detailed,0.2,0.2,0.2,0.2,False,,0.2,,False,False,False,True
p02397,Description_Detailed,0.4,0.4,0.4,0.4,False,,0.4,,False,False,False,True
p02403,Description_Detailed,0.4,0.4,0.4,0.4,False,,0.4,,False,False,False,True
p02406,Description_Detailed,0.0,0.0,0.0,0.0,False,,0.0,,False,False,False,True
p02402,Description_Detailed,0.0,0.0,0.0,0.0,False,,0.0,,False,False,False,True
p02407,Description_Detailed,0.0,0.0,0.0,0.0,False,,0.0,,False,False,False,True
p02405,Description_Detailed,0.2,0.2,0.2,0.2,False,,0.2,,False,False,False,True
p02404,Description_Detailed,0.6,0.6,0.6,0.6,True,,0.6,,True,False,False,False
p02408,Description_Detailed,0.0,0.0,0.0,0.0,False,,0.0,,False,False,False,True
p02411,Description_Detailed,0.0,0.0,0.0,0.0,False,,0.0,,False,False,False,True
p02409,Description_Detailed,0.1,0.1,0.1,0.1,False,,0.1,,False,False,False,True
p02410,Description_Detailed,0.6,0.6,0.6,0.6,True,,0.6,,True,False,False,False
p02412,Description_Detailed,0.0,0.0,0.0,0.0,False,,0.0,,False,False,False,True
p02413,Description_Detailed,0.0,0.0,0.0,0.0,False,,0.0,,False,False,False,True
p02416,Description_Detailed,0.0,0.0,0.0,0.0,False,,0.0,,False,False,False,True
p02415,Description_Detailed,0.0,0.0,0.0,0.0,False,,0.0,,False,False,False,True
p02414,Description_Detailed,1.0,1.0,1.0,1.0,True,,1.0,,True,False,False,False
p02417,Description_Detailed,0.0,0.0,0.0,0.0,False,,0.0,,False,False,False,True
p02418,Description_Detailed,0.2,0.2,0.2,0.2,False,,0.2,,False,False,False,True
p02419,Description_Detailed,0.0,0.0,0.0,0.0,False,,0.0,,False,False,False,True
p02421,Description_Detailed,0.0,0.0,0.0,0.0,False,,0.0,,False,False,False,True
p02420,Description_Detailed,0.0,0.0,0.0,0.0,False,,0.0,,False,False,False,True
p02552,Description_Detailed,0.0,0.0,0.0,0.0,False,,0.0,,False,False,False,True
p02570,Description_Detailed,0.0,0.0,0.0,0.0,False,,0.0,,False,False,False,True
p02553,Description_Detailed,0.4,0.4,0.4,0.4,False,,0.4,,False,False,False,True
p02547,Description_Detailed,0.0,0.0,0.0,0.0,False,,0.0,,False,False,False,True
p02571,Description_Detailed,0.0,0.0,0.0,0.0,False,,0.0,,False,False,False,True
p02577,Description_Detailed,0.0,0.0,0.0,0.0,False,,0.0,,False,False,False,True
p02576,Description_Detailed,1.0,1.0,1.0,1.0,True,,1.0,,True,False,False,False
p02578,Description_Detailed,0.0,0.0,0.0,0.0,False,,0.0,,False,False,False,True
p02582,Description_Detailed,0.0,0.0,0.0,0.0,False,,0.0,,False,False,False,True
p02595,Description_Detailed,1.0,1.0,1.0,1.0,True,,1.0,,True,False,False,False
p02613,Description_Detailed,1.0,1.0,1.0,1.0,True,,1.0,,True,False,False,False
p02628,Description_Detailed,1.0,1.0,1.0,1.0,True,,1.0,,True,False,False,False
p02621,Description_Detailed,0.3,0.3,0.3,0.3,False,,0.3,,False,False,False,True
p02627,Description_Detailed,0.0,0.0,0.0,0.0,False,,0.0,,False,False,False,True
p02639,Description_Detailed,0.0,0.0,0.0,0.0,False,,0.0,,False,False,False,True
p02629,Description_Detailed,0.2,0.2,0.2,0.2,False,,0.2,,False,False,False,True
p02640,Description_Detailed,0.0,0.0,0.0,0.0,False,,0.0,,False,False,False,True
p02641,Description_Detailed,0.0,0.0,0.0,0.0,False,,0.0,,False,False,False,True
p02657,Description_Detailed,0.2,0.2,0.2,0.2,False,,0.2,,False,False,False,True
p02658,Description_Detailed,0.3,0.3,0.3,0.3,False,,0.3,,False,False,False,True
p02675,Description_Detailed,0.0,0.0,0.0,0.0,False,,0.0,,False,False,False,True
p02659,Description_Detailed,0.2,0.2,0.2,0.2,False,,0.2,,False,False,False,True
p02676,Description_Detailed,0.4,0.4,0.4,0.4,False,,0.4,,False,False,False,True
p02677,Description_Detailed,0.3,0.3,0.3,0.3,False,,0.3,,False,False,False,True
p02681,Description_Detailed,0.0,0.0,0.0,0.0,False,,0.0,,False,False,False,True
p02682,Description_Detailed,0.0,0.0,0.0,0.0,False,,0.0,,False,False,False,True
p02688,Description_Detailed,0.0,0.0,0.0,0.0,False,,0.0,,False,False,False,True
p02687,Description_Detailed,0.0,0.0,0.0,0.0,False,,0.0,,False,False,False,True
p02693,Description_Detailed,0.0,0.0,0.0,0.0,False,,0.0,,False,False,False,True
p02699,Description_Detailed,0.0,0.0,0.0,0.0,False,,0.0,,False,False,False,True
p02700,Description_Detailed,0.4,0.4,0.4,0.4,False,,0.4,,False,False,False,True
p02694,Description_Detailed,0.2,0.2,0.2,0.2,False,,0.2,,False,False,False,True
p02701,Description_Detailed,1.0,1.0,1.0,1.0,True,,1.0,,True,False,False,False
p02705,Description_Detailed,0.0,0.0,0.0,0.0,False,,0.0,,False,False,False,True
p02706,Description_Detailed,0.3,0.3,0.3,0.3,False,,0.3,,False,False,False,True
p02707,Description_Detailed,0.0,0.0,0.0,0.0,False,,0.0,,False,False,False,True
