model,GPT-4o,GPT-3.5,O4-mini,Gemini,Llama-70B,Mistral,DeepSeek-V3.1,DeepSeek-R1,DeepSeek-V4-Pro,QwenCoder,Qwen3.7,Claude-5,GLM-5,Kimi-K2.7,GPT-5
GPT-4o,75.9912,82.1586,84.5815,79.2952,81.7181,81.2775,85.2423,84.5815,84.8018,81.9383,87.4449,86.7841,86.3436,85.4626,82.8194
GPT-3.5,82.1586,65.859,82.8194,70.7048,72.6872,78.6344,84.3612,85.2423,85.022,78.6344,85.4626,86.3436,84.8018,84.3612,79.7357
O4-mini,84.5815,82.8194,76.652,79.2952,82.3789,83.0396,83.9207,83.7004,83.7004,84.141,84.5815,85.9031,84.141,83.0396,83.4802
Gemini,79.2952,70.7048,79.2952,23.5683,59.4714,72.9075,81.2775,80.3965,80.3965,72.0264,81.0573,83.9207,81.2775,79.9559,74.0088
Llama-70B,81.7181,72.6872,82.3789,59.4714,52.2026,74.8899,83.0396,83.2599,81.9383,74.2291,83.4802,85.4626,84.141,82.5991,75.9912
Mistral,81.2775,78.6344,83.0396,72.9075,74.8899,68.0617,82.8194,83.7004,82.5991,78.6344,85.4626,85.022,85.2423,84.5815,79.5154
DeepSeek-V3.1,85.2423,84.3612,83.9207,81.2775,83.0396,82.8194,78.4141,83.2599,83.0396,85.2423,86.1233,86.1233,84.8018,84.5815,83.7004
DeepSeek-R1,84.5815,85.2423,83.7004,80.3965,83.2599,83.7004,83.2599,77.533,84.141,85.2423,84.3612,85.9031,83.4802,83.9207,83.4802
DeepSeek-V4-Pro,84.8018,85.022,83.7004,80.3965,81.9383,82.5991,83.0396,84.141,77.0925,84.5815,86.5639,86.3436,84.5815,84.141,83.9207
QwenCoder,81.9383,78.6344,84.141,72.0264,74.2291,78.6344,85.2423,85.2423,84.5815,66.2996,86.5639,87.8855,85.022,84.8018,80.3965
Qwen3.7,87.4449,85.4626,84.5815,81.0573,83.4802,85.4626,86.1233,84.3612,86.5639,86.5639,78.6344,87.0044,84.5815,84.3612,85.2423
Claude-5,86.7841,86.3436,85.9031,83.9207,85.4626,85.022,86.1233,85.9031,86.3436,87.8855,87.0044,81.4978,86.1233,85.6828,85.9031
GLM-5,86.3436,84.8018,84.141,81.2775,84.141,85.2423,84.8018,83.4802,84.5815,85.022,84.5815,86.1233,77.7533,83.9207,84.5815
Kimi-K2.7,85.4626,84.3612,83.0396,79.9559,82.5991,84.5815,84.5815,83.9207,84.141,84.8018,84.3612,85.6828,83.9207,75.7709,83.9207
GPT-5,82.8194,79.7357,83.4802,74.0088,75.9912,79.5154,83.7004,83.4802,83.9207,80.3965,85.2423,85.9031,84.5815,83.9207,69.3833
