Sub_Directory,Description_Type,Judge_1_Score,Judge_2_Score,Judge_3_Score,LLM_Average_Score,LLM_Consensus,ST_Similarity_Score,Score_Difference,Agreement,LLM_Success,ST_Success,Both_Success,Neither_Success
mbpp_0189,Description_Simple,1.0,1.0,1.0,1.0,True,0.7689731121063232,0.23102688789367676,True,True,True,True,False
mbpp_0159,Description_Simple,0.2,0.2,0.2,0.2,False,0.4774371087551117,0.2774371087551117,True,False,False,False,True
mbpp_0771,Description_Simple,0.9,0.9,0.9,0.9,True,0.5279849171638489,0.37201508283615115,True,True,True,True,False
mbpp_0323,Description_Simple,0.8,0.8,0.8,0.8,True,0.4980200231075287,0.30197997689247136,False,True,False,False,False
mbpp_0245,Description_Simple,1.0,1.0,1.0,1.0,True,0.5213403105735779,0.4786596894264221,True,True,True,True,False
mbpp_0776,Description_Simple,0.0,0.0,0.0,0.0,False,0.5251560211181641,0.5251560211181641,False,False,True,False,False
mbpp_0039,Description_Simple,0.3,0.3,0.3,0.3,False,0.4339374601840973,0.1339374601840973,True,False,False,False,True
mbpp_0522,Description_Simple,1.0,1.0,1.0,1.0,True,0.8189761638641357,0.18102383613586426,True,True,True,True,False
mbpp_0123,Description_Simple,0.7,0.7,0.7,0.7,True,0.5975652933120728,0.1024347066879272,True,True,True,True,False
mbpp_0069,Description_Simple,1.0,1.0,1.0,1.0,True,0.5876672863960266,0.4123327136039734,True,True,True,True,False
mbpp_0223,Description_Simple,0.8,0.8,0.8,0.8,True,0.6080359220504761,0.19196407794952397,True,True,True,True,False
mbpp_0515,Description_Simple,0.9,0.9,0.9,0.9,True,0.4241102337837219,0.4758897662162781,False,True,False,False,False
mbpp_0408,Description_Simple,0.5,0.5,0.5,0.5,True,0.5081325769424438,0.008132576942443848,True,True,True,True,False
mbpp_0423,Description_Simple,1.0,1.0,1.0,1.0,True,0.6309962272644043,0.3690037727355957,True,True,True,True,False
mbpp_0838,Description_Simple,0.1,0.1,0.1,0.1,False,0.780236005783081,0.6802360057830811,False,False,True,False,False
mbpp_0747,Description_Simple,1.0,1.0,1.0,1.0,True,0.7759538888931274,0.22404611110687256,True,True,True,True,False
mbpp_0387,Description_Simple,0.1,0.1,0.1,0.1,False,0.5458820462226868,0.4458820462226868,False,False,True,False,False
mbpp_0940,Description_Simple,1.0,1.0,1.0,1.0,True,0.6401758193969727,0.35982418060302734,True,True,True,True,False
mbpp_0628,Description_Simple,0.1,0.1,0.1,0.1,False,0.5174729824066162,0.41747298240661623,False,False,True,False,False
mbpp_0315,Description_Simple,0.4,0.4,0.4,0.4,False,0.6643640995025635,0.26436409950256345,False,False,True,False,False
mbpp_0152,Description_Simple,1.0,1.0,1.0,1.0,True,0.6024892926216125,0.39751070737838745,True,True,True,True,False
mbpp_0901,Description_Simple,0.2,0.2,0.2,0.2,False,0.5691334009170532,0.3691334009170532,False,False,True,False,False
mbpp_0516,Description_Simple,1.0,1.0,1.0,1.0,True,0.6355581879615784,0.36444181203842163,True,True,True,True,False
mbpp_0834,Description_Simple,0.3,0.3,0.3,0.3,False,0.6464660167694092,0.3464660167694092,False,False,True,False,False
mbpp_0665,Description_Simple,0.0,0.0,0.0,0.0,False,0.6314117312431335,0.6314117312431335,False,False,True,False,False
mbpp_0501,Description_Simple,0.4,0.4,0.4,0.4,False,0.8185043334960938,0.41850433349609373,False,False,True,False,False
mbpp_0938,Description_Simple,0.3,0.3,0.3,0.3,False,0.6818764805793762,0.38187648057937623,False,False,True,False,False
mbpp_0898,Description_Simple,0.3,0.3,0.3,0.3,False,0.3309217095375061,0.030921709537506115,True,False,False,False,True
mbpp_0149,Description_Simple,1.0,1.0,1.0,1.0,True,0.7621033787727356,0.2378966212272644,True,True,True,True,False
mbpp_0822,Description_Simple,0.3,0.3,0.3,0.3,False,0.5577124953269958,0.25771249532699586,False,False,True,False,False
mbpp_0060,Description_Simple,0.4,0.4,0.4,0.4,False,0.611539363861084,0.21153936386108396,False,False,True,False,False
mbpp_0548,Description_Simple,1.0,1.0,1.0,1.0,True,0.6855725646018982,0.3144274353981018,True,True,True,True,False
mbpp_0524,Description_Simple,1.0,1.0,1.0,1.0,True,0.741866946220398,0.25813305377960205,True,True,True,True,False
mbpp_0468,Description_Simple,1.0,1.0,1.0,1.0,True,0.7470376491546631,0.2529623508453369,True,True,True,True,False
mbpp_0523,Description_Simple,0.7,0.7,0.7,0.7,True,0.44923895597457886,0.2507610440254211,False,True,False,False,False
mbpp_0550,Description_Simple,0.2,0.2,0.2,0.2,False,0.6878068447113037,0.4878068447113037,False,False,True,False,False
mbpp_0926,Description_Simple,1.0,1.0,1.0,1.0,True,0.5913243293762207,0.4086756706237793,True,True,True,True,False
mbpp_0755,Description_Simple,0.7,0.7,0.7,0.7,True,0.5382975935935974,0.16170240640640254,True,True,True,True,False
mbpp_0068,Description_Simple,1.0,1.0,1.0,1.0,True,0.8014609813690186,0.19853901863098145,True,True,True,True,False
mbpp_0881,Description_Simple,0.1,0.1,0.1,0.1,False,0.6288001537322998,0.5288001537322998,False,False,True,False,False
mbpp_0907,Description_Simple,1.0,1.0,1.0,1.0,True,0.6453465223312378,0.3546534776687622,True,True,True,True,False
