Sub_Directory,Description_Type,Judge_1_Score,Judge_2_Score,Judge_3_Score,LLM_Average_Score,LLM_Consensus,ST_Similarity_Score,Score_Difference,Agreement,LLM_Success,ST_Success,Both_Success,Neither_Success
p03493,Description_Simple,0.9,0.9,0.9,0.9,True,0.6000446677207947,0.29995533227920534,True,True,True,True,False
p02570,Description_Simple,0.9,0.7,0.8,0.8500000000000001,True,0.5015288591384888,0.3484711408615113,True,True,True,True,False
p02917,Description_Simple,0.6,0.6,0.6,0.6,True,0.5404549241065979,0.05954507589340208,True,True,True,True,False
p02910,Description_Simple,0.7,0.7,0.7,0.7,True,0.5158469080924988,0.18415309190750118,True,True,True,True,False
p03456,Description_Simple,0.9,0.9,0.9,0.9,True,0.7952929139137268,0.10470708608627322,True,True,True,True,False
p02921,Description_Simple,0.1,0.1,0.1,0.1,False,0.5713434815406799,0.47134348154067995,False,False,True,False,False
p03494,Description_Simple,0.9,0.9,0.9,0.9,True,0.5727298259735107,0.3272701740264893,True,True,True,True,False
p02381,Description_Simple,0.9,0.8,0.8500000000000001,0.875,True,0.6906771063804626,0.18432289361953735,True,True,True,True,False
p03059,Description_Simple,0.6,0.6,0.6,0.6,True,0.3431287407875061,0.2568712592124939,False,True,False,False,False
p03469,Description_Simple,0.6,0.6,0.6,0.6,True,0.6151370406150818,0.01513704061508181,True,True,True,True,False
p03035,Description_Simple,0.9,0.6,0.75,0.75,True,0.2602795660495758,0.4897204339504242,False,True,False,False,False
p02729,Description_Simple,0.6,0.6,0.6,0.6,True,0.4819025993347168,0.11809740066528318,False,True,False,False,False
p02711,Description_Simple,0.3,0.3,0.3,0.3,False,0.5232623815536499,0.2232623815536499,False,False,True,False,False
p02773,Description_Simple,0.9,0.9,0.9,0.9,True,0.6756609678268433,0.22433903217315676,True,True,True,True,False
p02988,Description_Simple,0.6,0.6,0.6,0.6,True,0.48504412174224854,0.11495587825775144,False,True,False,False,False
p02577,Description_Simple,0.9,0.9,0.9,0.9,True,0.7727068066596985,0.12729319334030154,True,True,True,True,False
p03434,Description_Simple,0.9,0.9,0.9,0.9,True,0.7843568921089172,0.11564310789108279,True,True,True,True,False
p02981,Description_Simple,0.2,0.2,0.2,0.2,False,0.2991176247596741,0.09911762475967406,True,False,False,False,True
p03854,Description_Simple,0.2,0.2,0.2,0.2,False,0.48577427864074707,0.28577427864074706,True,False,False,False,True
p02571,Description_Simple,0.6,0.6,0.6,0.6,True,0.4835173189640045,0.11648268103599546,False,True,False,False,False
p02772,Description_Simple,0.6,0.6,0.6,0.6,True,0.7589954733848572,0.1589954733848572,True,True,True,True,False
p03457,Description_Simple,0.9,0.9,0.9,0.9,True,0.620920717716217,0.279079282283783,True,True,True,True,False
p02388,Description_Simple,0.9,0.9,0.9,0.9,True,0.7770797610282898,0.12292023897171023,True,True,True,True,False
p04012,Description_Simple,0.9,0.9,0.9,0.9,True,0.7723913788795471,0.1276086211204529,True,True,True,True,False
p03239,Description_Simple,0.6,0.6,0.6,0.6,True,0.3734130859375,0.22658691406249998,False,True,False,False,False
p02582,Description_Simple,0.9,0.9,0.9,0.9,True,0.7971287965774536,0.10287120342254641,True,True,True,True,False
p02916,Description_Simple,0.9,0.9,0.9,0.9,True,0.5716804265975952,0.3283195734024048,True,True,True,True,False
p02911,Description_Simple,0.6,0.6,0.6,0.6,True,0.4897385239601135,0.11026147603988645,False,True,False,False,False
p02786,Description_Simple,0.9,0.9,0.9,0.9,True,0.3184397220611572,0.5815602779388428,False,True,False,False,False
p02718,Description_Simple,0.9,0.9,0.9,0.9,True,0.6471510529518127,0.2528489470481873,True,True,True,True,False
p02547,Description_Simple,0.6,0.6,0.6,0.6,True,0.6099796891212463,0.00997968912124636,True,True,True,True,False
p02576,Description_Simple,0.9,0.9,0.9,0.9,True,0.5785914659500122,0.3214085340499878,True,True,True,True,False
p02987,Description_Simple,0.9,0.9,0.9,0.9,True,0.6749315857887268,0.22506841421127322,True,True,True,True,False
p02717,Description_Simple,0.1,0.0,0.05,0.07500000000000001,False,0.4710296094417572,0.3960296094417572,True,False,False,False,True
p03435,Description_Simple,0.6,0.6,0.6,0.6,True,0.3900246024131775,0.2099753975868225,False,True,False,False,False
p02578,Description_Simple,0.9,0.9,0.9,0.9,True,0.6170048117637634,0.2829951882362366,True,True,True,True,False
p02389,Description_Simple,0.1,0.1,0.1,0.1,False,0.3466586768627167,0.24665867686271667,True,False,False,False,True
p02719,Description_Simple,0.8,0.6,0.7,0.6499999999999999,True,0.5330367684364319,0.11696323156356803,True,True,True,True,False
p03060,Description_Simple,0.4,0.4,0.4,0.4,False,0.4799737334251404,0.07997373342514036,True,False,False,False,True
p02830,Description_Simple,0.9,0.9,0.9,0.9,True,0.5189962387084961,0.38100376129150393,True,True,True,True,False
p02801,Description_Simple,0.9,0.9,0.9,0.9,True,0.6141650080680847,0.2858349919319153,True,True,True,True,False
p02264,Description_Simple,0.8,0.8,0.8,0.8,True,0.6873034238815308,0.11269657611846928,True,True,True,True,False
p02945,Description_Simple,0.9,0.9,0.9,0.9,True,0.5661879777908325,0.3338120222091675,True,True,True,True,False
p02989,Description_Simple,0.6,0.6,0.6,0.6,True,0.3707282543182373,0.22927174568176267,False,True,False,False,False
p03316,Description_Simple,0.6,0.6,0.6,0.6,True,0.8176684379577637,0.2176684379577637,True,True,True,True,False
p02263,Description_Simple,0.9,0.9,0.9,0.9,True,0.7444894909858704,0.15551050901412966,True,True,True,True,False
p03775,Description_Simple,0.9,0.9,0.9,0.9,True,0.5220808982849121,0.3779191017150879,True,True,True,True,False
p02899,Description_Simple,0.4,0.5,0.45,0.42500000000000004,False,0.31199368834495544,0.1130063116550446,True,False,False,False,True
