Sub_Directory,Description_Type,Judge_1_Score,Judge_2_Score,Judge_3_Score,LLM_Average_Score,LLM_Consensus,ST_Similarity_Score,Score_Difference,Agreement,LLM_Success,ST_Success,Both_Success,Neither_Success
mbpp_0635,Description_Simple,1.0,1.0,1.0,1.0,True,0.6264116764068604,0.37358832359313965,True,True,True,True,False
mbpp_0408,Description_Simple,0.4,0.4,0.4,0.4,False,0.49040988087654114,0.09040988087654112,True,False,False,False,True
mbpp_0342,Description_Simple,1.0,1.0,1.0,1.0,True,0.5913082957267761,0.4086917042732239,True,True,True,True,False
mbpp_0031,Description_Simple,0.9,0.9,0.9,0.9,True,0.6753284931182861,0.2246715068817139,True,True,True,True,False
mbpp_0159,Description_Simple,1.0,1.0,1.0,1.0,True,0.7147529125213623,0.2852470874786377,True,True,True,True,False
mbpp_0843,Description_Simple,1.0,1.0,1.0,1.0,True,0.6579460501670837,0.34205394983291626,True,True,True,True,False
mbpp_0771,Description_Simple,1.0,1.0,1.0,1.0,True,0.5763949155807495,0.4236050844192505,True,True,True,True,False
mbpp_0323,Description_Simple,1.0,1.0,1.0,1.0,True,0.6731961369514465,0.32680386304855347,True,True,True,True,False
mbpp_0189,Description_Simple,1.0,1.0,1.0,1.0,True,0.6640787720680237,0.3359212279319763,True,True,True,True,False
mbpp_0245,Description_Simple,1.0,1.0,1.0,1.0,True,0.656167209148407,0.343832790851593,True,True,True,True,False
mbpp_0004,Description_Simple,0.8,0.8,0.8,0.8,True,0.5808687806129456,0.2191312193870545,True,True,True,True,False
mbpp_0039,Description_Simple,0.7,0.7,0.7,0.7,True,0.5781446099281311,0.12185539007186885,True,True,True,True,False
mbpp_0069,Description_Simple,1.0,1.0,1.0,1.0,True,0.5812495350837708,0.41875046491622925,True,True,True,True,False
mbpp_0822,Description_Simple,0.1,0.1,0.1,0.1,False,0.7528057098388672,0.6528057098388672,False,False,True,False,False
mbpp_0496,Description_Simple,0.9,0.9,0.9,0.9,True,0.7422617673873901,0.15773823261260989,True,True,True,True,False
mbpp_0522,Description_Simple,1.0,1.0,1.0,1.0,True,0.6850686073303223,0.31493139266967773,True,True,True,True,False
mbpp_0209,Description_Simple,1.0,1.0,1.0,1.0,True,0.6226931810379028,0.37730681896209717,True,True,True,True,False
mbpp_0372,Description_Simple,1.0,1.0,1.0,1.0,True,0.7487608194351196,0.25123918056488037,True,True,True,True,False
mbpp_0108,Description_Simple,0.4,0.4,0.4,0.4,False,0.48903846740722656,0.08903846740722654,True,False,False,False,True
mbpp_0123,Description_Simple,1.0,1.0,1.0,1.0,True,0.6151160001754761,0.3848839998245239,True,True,True,True,False
mbpp_0515,Description_Simple,1.0,1.0,1.0,1.0,True,0.5412281155586243,0.45877188444137573,True,True,True,True,False
mbpp_0747,Description_Simple,1.0,1.0,1.0,1.0,True,0.7773048877716064,0.22269511222839355,True,True,True,True,False
mbpp_0776,Description_Simple,0.4,0.4,0.4,0.4,False,0.7210947275161743,0.3210947275161743,False,False,True,False,False
mbpp_0223,Description_Simple,1.0,1.0,1.0,1.0,True,0.7556952834129333,0.24430471658706665,True,True,True,True,False
mbpp_0423,Description_Simple,1.0,1.0,1.0,1.0,True,0.6139920949935913,0.3860079050064087,True,True,True,True,False
mbpp_0940,Description_Simple,1.0,1.0,1.0,1.0,True,0.6908970475196838,0.30910295248031616,True,True,True,True,False
mbpp_0838,Description_Simple,1.0,1.0,1.0,1.0,True,0.7073943614959717,0.2926056385040283,True,True,True,True,False
mbpp_0315,Description_Simple,1.0,1.0,1.0,1.0,True,0.7904694080352783,0.20953059196472168,True,True,True,True,False
mbpp_0501,Description_Simple,0.2,0.2,0.2,0.2,False,0.5652607679367065,0.36526076793670653,False,False,True,False,False
mbpp_0834,Description_Simple,1.0,1.0,1.0,1.0,True,0.7263407707214355,0.27365922927856445,True,True,True,True,False
mbpp_0074,Description_Simple,0.2,0.2,0.2,0.2,False,0.492654949426651,0.292654949426651,True,False,False,False,True
mbpp_0938,Description_Simple,1.0,1.0,1.0,1.0,True,0.6776860952377319,0.32231390476226807,True,True,True,True,False
mbpp_0524,Description_Simple,1.0,1.0,1.0,1.0,True,0.7950836420059204,0.2049163579940796,True,True,True,True,False
mbpp_0550,Description_Simple,0.2,0.2,0.2,0.2,False,0.6324131488800049,0.43241314888000487,False,False,True,False,False
mbpp_0306,Description_Simple,0.4,0.4,0.4,0.4,False,0.662908673286438,0.26290867328643797,False,False,True,False,False
mbpp_0901,Description_Simple,1.0,1.0,1.0,1.0,True,0.5889687538146973,0.41103124618530273,True,True,True,True,False
mbpp_0850,Description_Simple,0.2,0.2,0.2,0.2,False,0.5167808532714844,0.31678085327148436,False,False,True,False,False
mbpp_0523,Description_Simple,0.4,0.4,0.4,0.4,False,0.5066812634468079,0.10668126344680784,False,False,True,False,False
mbpp_0926,Description_Simple,0.7,0.7,0.7,0.7,True,0.5722655057907104,0.1277344942092895,True,True,True,True,False
mbpp_0811,Description_Simple,0.9,0.9,0.9,0.9,True,0.6054602861404419,0.2945397138595581,True,True,True,True,False
