Sub_Directory,Description_Type,LLM_GPT4o_Score,LLM_Claude_Score,LLM_Average_Score,LLM_Consensus,ST_Similarity_Score,Score_Difference,Agreement,LLM_Success,ST_Success,Both_Success,Neither_Success
p03220,Description_Fewshot,0.2,0.2,0.2,False,0.37067168951034546,0.17067168951034545,True,False,False,False,True
p03220,Description_Reason,0.1,0.9,0.5,True,0.37837207317352295,0.12162792682647705,False,True,False,False,False
p03220,Description_Simple,0.9,0.9,0.9,True,0.35098811984062195,0.5490118801593781,False,True,False,False,False
p02403,Description_Fewshot,0.9,0.9,0.9,True,0.5168436765670776,0.3831563234329224,True,True,True,True,False
p02403,Description_Reason,0.9,0.4,0.65,True,0.5408359169960022,0.10916408300399782,True,True,True,True,False
p02403,Description_Simple,0.2,0.9,0.55,True,0.4741653501987457,0.07583464980125432,False,True,False,False,False
p02418,Description_Fewshot,0.9,0.2,0.55,True,0.6876581907272339,0.13765819072723384,True,True,True,True,False
p02418,Description_Reason,0.9,0.7,0.8,True,0.5894441604614258,0.21055583953857426,True,True,True,True,False
p02418,Description_Simple,0.8,0.2,0.5,True,0.7529416084289551,0.2529416084289551,True,True,True,True,False
p02881,Description_Fewshot,0.2,0.2,0.2,False,0.40700268745422363,0.20700268745422362,True,False,False,False,True
p02881,Description_Reason,0.8,0.9,0.8500000000000001,True,0.4273363947868347,0.42266360521316537,False,True,False,False,False
p02881,Description_Simple,0.6,0.9,0.75,True,0.2828642725944519,0.4671357274055481,False,True,False,False,False
p03035,Description_Fewshot,0.9,0.2,0.55,True,0.32497912645339966,0.2250208735466004,False,True,False,False,False
p03035,Description_Reason,0.3,0.9,0.6,True,0.3579549789428711,0.24204502105712888,False,True,False,False,False
p03035,Description_Simple,0.1,0.1,0.1,False,0.3916499614715576,0.29164996147155764,True,False,False,False,True
p03001,Description_Fewshot,0.2,0.8,0.5,True,0.6081109642982483,0.10811096429824829,True,True,True,True,False
p03001,Description_Reason,0.1,0.2,0.15000000000000002,False,0.5336493849754333,0.3836493849754333,False,False,True,False,False
p03001,Description_Simple,0.2,0.2,0.2,False,0.4248887896537781,0.22488878965377807,True,False,False,False,True
p03835,Description_Fewshot,0.8,0.6,0.7,True,0.468928724527359,0.23107127547264095,False,True,False,False,False
p03835,Description_Reason,0.2,0.1,0.15000000000000002,False,0.4905594289302826,0.34055942893028257,True,False,False,False,True
p03835,Description_Simple,0.2,0.9,0.55,True,0.45485037565231323,0.09514962434768681,False,True,False,False,False
p02420,Description_Fewshot,0.9,0.8,0.8500000000000001,True,0.37856295704841614,0.47143704295158395,False,True,False,False,False
p02420,Description_Reason,0.4,0.2,0.30000000000000004,False,0.3781623840332031,0.07816238403320308,True,False,False,False,True
p02420,Description_Simple,0.9,0.2,0.55,True,0.33943644165992737,0.21056355834007268,False,True,False,False,False
p02255,Description_Fewshot,0.7,0.9,0.8,True,0.6326177716255188,0.16738222837448125,True,True,True,True,False
