Sub_Directory,Description_Type,Judge_1_Score,Judge_2_Score,Judge_3_Score,LLM_Average_Score,LLM_Consensus,ST_Similarity_Score,Score_Difference,Agreement,LLM_Success,ST_Success,Both_Success,Neither_Success
p00002,Description_Simple,0.0,0.0,0.0,0.0,False,0.27387478947639465,0.27387478947639465,True,False,False,False,True
p02255,Description_Simple,0.0,0.0,0.0,0.0,False,0.442105233669281,0.442105233669281,True,False,False,False,True
p00011,Description_Simple,0.0,0.0,0.0,0.0,False,0.3577152490615845,0.3577152490615845,True,False,False,False,True
p00007,Description_Simple,0.0,0.0,0.0,0.0,False,0.2595127522945404,0.2595127522945404,True,False,False,False,True
p00005,Description_Simple,0.0,0.1,0.05,0.025,False,0.7855872511863708,0.7605872511863708,False,False,True,False,False
p02257,Description_Simple,0.1,0.4,0.25,0.175,False,0.743864893913269,0.568864893913269,False,False,True,False,False
p02258,Description_Simple,0.4,0.0,0.2,0.2,False,0.6354823112487793,0.4354823112487793,False,False,True,False,False
p02256,Description_Simple,0.0,0.5,0.25,0.25,False,0.7785261273384094,0.5285261273384094,False,False,True,False,False
p02260,Description_Simple,0.6,0.5,0.55,0.575,True,0.7171647548675537,0.14216475486755376,True,True,True,True,False
p00003,Description_Simple,0.0,0.1,0.05,0.025,False,0.49462950229644775,0.46962950229644773,True,False,False,False,True
p02264,Description_Simple,0.2,0.4,0.30000000000000004,0.35000000000000003,False,0.5901604890823364,0.2401604890823364,False,False,True,False,False
p00006,Description_Simple,0.4,0.1,0.25,0.175,False,0.5167620182037354,0.34176201820373536,False,False,True,False,False
p02259,Description_Simple,0.45,0.6,0.525,0.5625,True,0.41872304677963257,0.14377695322036743,False,True,False,False,False
p00001,Description_Simple,0.5,0.5,0.5,0.5,True,0.6552226543426514,0.15522265434265137,True,True,True,True,False
p02263,Description_Simple,0.8,0.4,0.6000000000000001,0.6000000000000001,True,0.6418869495391846,0.04188694953918448,True,True,True,True,False
