model,GPT-4o,GPT-3.5,O4-mini,Gemini,Llama-70B,Mistral,DeepSeek-V3.1,DeepSeek-R1,DeepSeek-V4-Pro,QwenCoder,Qwen3.7,Claude-5,GLM-5,Kimi-K2.7,GPT-5
GPT-4o,1,0.626118,0.679567,0.661429,0.657658,0.596396,0.68123,0.641186,0.629984,0.625461,0.644578,0.663677,0.627312,0.632375,0.631068
GPT-3.5,0.626118,1,0.578295,0.561254,0.640385,0.548204,0.580488,0.534268,0.540323,0.589844,0.550681,0.565868,0.532006,0.545038,0.547697
O4-mini,0.679567,0.578295,1,0.766667,0.597826,0.545031,0.715994,0.72,0.670606,0.551724,0.74058,0.735795,0.745125,0.739385,0.682229
Gemini,0.661429,0.561254,0.766667,1,0.588235,0.537249,0.702778,0.711326,0.676838,0.527897,0.749658,0.740295,0.791386,0.727149,0.659722
Llama-70B,0.657658,0.640385,0.597826,0.588235,1,0.608527,0.614122,0.570978,0.578431,0.65,0.591398,0.589474,0.552068,0.552352,0.597315
Mistral,0.596396,0.548204,0.545031,0.537249,0.608527,1,0.573798,0.524564,0.537954,0.610998,0.541538,0.554711,0.527536,0.523883,0.558574
DeepSeek-V3.1,0.68123,0.580488,0.715994,0.702778,0.614122,0.573798,1,0.710123,0.730463,0.583893,0.739458,0.752608,0.731707,0.727685,0.691943
DeepSeek-R1,0.641186,0.534268,0.72,0.711326,0.570978,0.524564,0.710123,1,0.67378,0.548544,0.740686,0.733236,0.747851,0.744713,0.68323
DeepSeek-V4-Pro,0.629984,0.540323,0.670606,0.676838,0.578431,0.537954,0.730463,0.67378,1,0.552764,0.693452,0.753404,0.70977,0.686657,0.654631
QwenCoder,0.625461,0.589844,0.551724,0.527897,0.65,0.610998,0.583893,0.548544,0.552764,1,0.548137,0.566154,0.531387,0.554502,0.566038
Qwen3.7,0.644578,0.550681,0.74058,0.749658,0.591398,0.541538,0.739458,0.740686,0.693452,0.548137,1,0.770893,0.797432,0.762537,0.718654
Claude-5,0.663677,0.565868,0.735795,0.740295,0.589474,0.554711,0.752608,0.733236,0.753404,0.566154,0.770893,1,0.781641,0.752161,0.703869
GLM-5,0.627312,0.532006,0.745125,0.791386,0.552068,0.527536,0.731707,0.747851,0.70977,0.531387,0.797432,0.781641,1,0.763791,0.692086
Kimi-K2.7,0.632375,0.545038,0.739385,0.727149,0.552352,0.523883,0.727685,0.744713,0.686657,0.554502,0.762537,0.752161,0.763791,1,0.685888
GPT-5,0.631068,0.547697,0.682229,0.659722,0.597315,0.558574,0.691943,0.68323,0.654631,0.566038,0.718654,0.703869,0.692086,0.685888,1
