Sub_Directory,Description_Type,Judge_1_Score,Judge_2_Score,Judge_3_Score,LLM_Average_Score,LLM_Consensus,ST_Similarity_Score,Score_Difference,Agreement,LLM_Success,ST_Success,Both_Success,Neither_Success
mbpp_0323,Description_Simple,1.0,1.0,1.0,1.0,True,0.7163724899291992,0.2836275100708008,True,True,True,True,False
mbpp_0771,Description_Simple,0.4,0.4,0.4,0.4,False,0.39840251207351685,0.0015974879264831765,True,False,False,False,True
mbpp_0189,Description_Simple,1.0,1.0,1.0,1.0,True,0.588909387588501,0.411090612411499,True,True,True,True,False
mbpp_0159,Description_Simple,1.0,1.0,1.0,1.0,True,0.6182829141616821,0.38171708583831787,True,True,True,True,False
mbpp_0522,Description_Simple,1.0,1.0,1.0,1.0,True,0.7536215782165527,0.24637842178344727,True,True,True,True,False
mbpp_0039,Description_Simple,1.0,1.0,1.0,1.0,True,0.606255292892456,0.39374470710754395,True,True,True,True,False
mbpp_0776,Description_Simple,0.4,0.4,0.4,0.4,False,0.765714168548584,0.36571416854858396,False,False,True,False,False
mbpp_0245,Description_Simple,1.0,1.0,1.0,1.0,True,0.573865532875061,0.42613446712493896,True,True,True,True,False
mbpp_0069,Description_Simple,1.0,1.0,1.0,1.0,True,0.5274931192398071,0.47250688076019287,True,True,True,True,False
mbpp_0515,Description_Simple,1.0,1.0,1.0,1.0,True,0.5274990797042847,0.47250092029571533,True,True,True,True,False
mbpp_0223,Description_Simple,1.0,1.0,1.0,1.0,True,0.7436032295227051,0.2563967704772949,True,True,True,True,False
mbpp_0123,Description_Simple,1.0,1.0,1.0,1.0,True,0.6981877088546753,0.3018122911453247,True,True,True,True,False
mbpp_0408,Description_Simple,0.4,0.4,0.4,0.4,False,0.5531734824180603,0.15317348241806028,False,False,True,False,False
mbpp_0747,Description_Simple,0.9,0.9,0.9,0.9,True,0.7993841171264648,0.10061588287353518,True,True,True,True,False
mbpp_0423,Description_Simple,1.0,1.0,1.0,1.0,True,0.603219211101532,0.396780788898468,True,True,True,True,False
mbpp_0838,Description_Simple,1.0,1.0,1.0,1.0,True,0.7640260457992554,0.23597395420074463,True,True,True,True,False
mbpp_0940,Description_Simple,1.0,1.0,1.0,1.0,True,0.6943345069885254,0.3056654930114746,True,True,True,True,False
mbpp_0628,Description_Simple,0.5,0.5,0.5,0.5,True,0.7141008973121643,0.2141008973121643,True,True,True,True,False
mbpp_0315,Description_Simple,0.8,0.8,0.8,0.8,True,0.7531541585922241,0.04684584140777592,True,True,True,True,False
mbpp_0387,Description_Simple,1.0,1.0,1.0,1.0,True,0.7272350788116455,0.2727649211883545,True,True,True,True,False
mbpp_0901,Description_Simple,1.0,1.0,1.0,1.0,True,0.6159766316413879,0.38402336835861206,True,True,True,True,False
mbpp_0834,Description_Simple,1.0,1.0,1.0,1.0,True,0.8278182744979858,0.17218172550201416,True,True,True,True,False
mbpp_0152,Description_Simple,1.0,1.0,1.0,1.0,True,0.6678426861763,0.33215731382369995,True,True,True,True,False
mbpp_0516,Description_Simple,1.0,1.0,1.0,1.0,True,0.6316604018211365,0.3683395981788635,True,True,True,True,False
mbpp_0501,Description_Simple,0.4,0.4,0.4,0.4,False,0.6814560890197754,0.28145608901977537,False,False,True,False,False
mbpp_0665,Description_Simple,0.0,0.0,0.0,0.0,False,0.5334928631782532,0.5334928631782532,False,False,True,False,False
mbpp_0938,Description_Simple,1.0,1.0,1.0,1.0,True,0.635796308517456,0.36420369148254395,True,True,True,True,False
mbpp_0898,Description_Simple,0.2,0.2,0.2,0.2,False,0.5139968395233154,0.3139968395233154,False,False,True,False,False
mbpp_0149,Description_Simple,1.0,1.0,1.0,1.0,True,0.8142239451408386,0.18577605485916138,True,True,True,True,False
mbpp_0822,Description_Simple,0.3,0.3,0.3,0.3,False,0.5805714130401611,0.28057141304016114,False,False,True,False,False
mbpp_0548,Description_Simple,1.0,1.0,1.0,1.0,True,0.7016288042068481,0.29837119579315186,True,True,True,True,False
mbpp_0060,Description_Simple,0.4,0.4,0.4,0.4,False,0.8204817175865173,0.4204817175865173,False,False,True,False,False
mbpp_0524,Description_Simple,1.0,1.0,1.0,1.0,True,0.6177041530609131,0.3822958469390869,True,True,True,True,False
mbpp_0523,Description_Simple,0.6,0.6,0.6,0.6,True,0.44682472944259644,0.15317527055740354,False,True,False,False,False
mbpp_0468,Description_Simple,1.0,1.0,1.0,1.0,True,0.8188860416412354,0.18111395835876465,True,True,True,True,False
mbpp_0550,Description_Simple,0.2,0.2,0.2,0.2,False,0.4267546534538269,0.2267546534538269,True,False,False,False,True
mbpp_0068,Description_Simple,1.0,1.0,1.0,1.0,True,0.7683976292610168,0.23160237073898315,True,True,True,True,False
mbpp_0755,Description_Simple,0.7,0.7,0.7,0.7,True,0.4752438962459564,0.22475610375404353,False,True,False,False,False
mbpp_0926,Description_Simple,0.4,0.4,0.4,0.4,False,0.5688284039497375,0.16882840394973753,False,False,True,False,False
mbpp_0881,Description_Simple,0.6,0.6,0.6,0.6,True,0.6027383208274841,0.002738320827484153,True,True,True,True,False
mbpp_0907,Description_Simple,1.0,1.0,1.0,1.0,True,0.7384832501411438,0.2615167498588562,True,True,True,True,False
mbpp_0866,Description_Simple,1.0,1.0,1.0,1.0,True,0.7490642070770264,0.25093579292297363,True,True,True,True,False
